symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PM,2025-07-01 04:00:00+00:00,182.49,183.37,176.5,177.54,203003.0,4294.0,179.093277
PM,2025-07-02 04:00:00+00:00,176.46,178.08,175.13,175.91,219717.0,3902.0,176.51023
PM,2025-07-03 04:00:00+00:00,175.91,178.72,175.465,178.69,84329.0,1623.0,177.313696
PM,2025-07-07 04:00:00+00:00,179.35,181.445,178.24,181.15,172377.0,2820.0,180.547375
PM,2025-07-08 04:00:00+00:00,179.81,180.66,177.19,177.715,167103.0,3426.0,178.318867
PM,2025-07-09 04:00:00+00:00,179.24,179.24,176.39,177.97,173205.0,3312.0,177.133192
PM,2025-07-10 04:00:00+00:00,178.06,181.06,176.98,180.94,155602.0,2788.0,179.192708
PM,2025-07-11 04:00:00+00:00,179.41,180.12,178.125,179.84,132202.0,2730.0,179.291168
PM,2025-07-14 04:00:00+00:00,180.97,181.43,179.68,180.755,111856.0,2513.0,180.714287
PM,2025-07-15 04:00:00+00:00,180.47,181.33,179.365,180.88,140496.0,2626.0,180.538208
PM,2025-07-16 04:00:00+00:00,181.105,183.99,179.34,183.35,143007.0,3147.0,182.580759
PM,2025-07-17 04:00:00+00:00,182.975,183.32,178.18,179.2,283365.0,5307.0,179.737185
PM,2025-07-18 04:00:00+00:00,179.35,179.6,178.17,178.725,149590.0,3006.0,178.941828
PM,2025-07-21 04:00:00+00:00,178.065,181.24,177.785,180.63,193939.0,3988.0,180.210276
PM,2025-07-22 04:00:00+00:00,168.865,170.2,162.99,165.28,740349.0,8725.0,167.096
PM,2025-07-23 04:00:00+00:00,163.61,165.44,161.43,164.555,344369.0,6580.0,164.227054
PM,2025-07-24 04:00:00+00:00,163.7,164.06,160.58,161.03,342711.0,6543.0,161.656055
PM,2025-07-25 04:00:00+00:00,161.73,162.96,160.81,160.94,140595.0,2711.0,161.416482
PM,2025-07-28 04:00:00+00:00,159.625,160.27,155.73,157.74,364138.0,6040.0,157.333181
PM,2025-07-29 04:00:00+00:00,158.575,162.85,158.08,162.8,472545.0,5866.0,161.722863
PM,2025-07-30 04:00:00+00:00,162.595,164.39,162.07,162.1,295964.0,4627.0,163.127424
PM,2025-07-31 04:00:00+00:00,161.915,165.06,161.28,164.09,292881.0,5565.0,163.630615
