symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RF,2025-07-01 04:00:00+00:00,23.36,24.315,23.36,24.17,501412.0,2810.0,24.019954
RF,2025-07-02 04:00:00+00:00,24.265,24.615,24.12,24.56,399797.0,2661.0,24.446049
RF,2025-07-03 04:00:00+00:00,24.725,24.98,24.6,24.79,203465.0,1794.0,24.832055
RF,2025-07-07 04:00:00+00:00,24.66,24.915,24.41,24.59,329800.0,2668.0,24.607345
RF,2025-07-08 04:00:00+00:00,24.67,24.825,24.585,24.67,325846.0,2352.0,24.709064
RF,2025-07-09 04:00:00+00:00,24.82,24.955,24.595,24.65,273912.0,2055.0,24.72631
RF,2025-07-10 04:00:00+00:00,24.65,25.03,24.6,24.85,319356.0,3123.0,24.894379
RF,2025-07-11 04:00:00+00:00,24.65,24.805,24.51,24.67,185113.0,1491.0,24.694041
RF,2025-07-14 04:00:00+00:00,24.64,24.79,24.52,24.71,206928.0,1673.0,24.636925
RF,2025-07-15 04:00:00+00:00,24.64,24.71,23.955,23.995,354507.0,2497.0,24.259932
RF,2025-07-16 04:00:00+00:00,24.17,24.2,23.68,24.08,480308.0,3281.0,23.976621
RF,2025-07-17 04:00:00+00:00,24.035,24.605,23.99,24.56,459089.0,2925.0,24.430259
RF,2025-07-18 04:00:00+00:00,25.53,26.155,25.46,26.0,878156.0,6506.0,25.830847
RF,2025-07-21 04:00:00+00:00,26.04,26.415,25.88,26.04,551635.0,3080.0,26.164202
RF,2025-07-22 04:00:00+00:00,26.225,26.44,26.095,26.2,378477.0,2461.0,26.242782
RF,2025-07-23 04:00:00+00:00,26.36,26.445,26.2,26.38,481904.0,3135.0,26.348515
RF,2025-07-24 04:00:00+00:00,26.41,26.64,26.27,26.31,443858.0,3299.0,26.49444
RF,2025-07-25 04:00:00+00:00,26.275,26.45,25.865,26.42,295449.0,2539.0,26.222135
RF,2025-07-28 04:00:00+00:00,26.49,26.49,26.175,26.29,297748.0,2131.0,26.332108
RF,2025-07-29 04:00:00+00:00,26.445,26.46,26.16,26.21,326929.0,2213.0,26.300598
RF,2025-07-30 04:00:00+00:00,26.325,26.35,25.545,25.69,566607.0,3513.0,25.926025
RF,2025-07-31 04:00:00+00:00,25.745,25.745,25.24,25.32,417757.0,2830.0,25.475148
