symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RSG,2025-07-01 04:00:00+00:00,245.805,246.07,242.33,244.65,52217.0,1761.0,244.804176
RSG,2025-07-02 04:00:00+00:00,241.985,241.985,236.41,237.675,129160.0,2466.0,238.054134
RSG,2025-07-03 04:00:00+00:00,238.9,240.93,237.305,240.78,88426.0,1482.0,239.815198
RSG,2025-07-07 04:00:00+00:00,240.915,242.41,240.585,242.35,68947.0,1729.0,241.616349
RSG,2025-07-08 04:00:00+00:00,240.22,241.57,239.08,239.29,106654.0,2502.0,239.84195
RSG,2025-07-09 04:00:00+00:00,238.755,241.09,237.995,240.5,66498.0,1724.0,240.174913
RSG,2025-07-10 04:00:00+00:00,240.155,241.305,238.61,240.03,91107.0,1923.0,240.382846
RSG,2025-07-11 04:00:00+00:00,239.5,242.53,239.155,241.19,52922.0,1566.0,241.077933
RSG,2025-07-14 04:00:00+00:00,241.295,245.26,241.045,244.27,34183.0,1060.0,243.727339
RSG,2025-07-15 04:00:00+00:00,244.16,244.16,241.78,241.86,34580.0,1453.0,242.987114
RSG,2025-07-16 04:00:00+00:00,240.55,241.24,238.37,241.22,52414.0,1636.0,239.945435
RSG,2025-07-17 04:00:00+00:00,241.38,241.93,238.55,240.05,75552.0,1577.0,240.040576
RSG,2025-07-18 04:00:00+00:00,240.5,242.09,239.98,240.47,27546.0,913.0,240.652285
RSG,2025-07-21 04:00:00+00:00,239.17,241.3,238.97,240.01,35388.0,1005.0,240.3993
RSG,2025-07-22 04:00:00+00:00,240.58,242.71,240.58,242.28,31146.0,958.0,241.83926
RSG,2025-07-23 04:00:00+00:00,241.655,243.605,240.95,243.05,42486.0,1188.0,242.524016
RSG,2025-07-24 04:00:00+00:00,242.48,245.84,242.395,245.04,34078.0,1188.0,244.985731
RSG,2025-07-25 04:00:00+00:00,245.645,246.2,244.7,245.03,45422.0,1206.0,245.191713
RSG,2025-07-28 04:00:00+00:00,244.425,244.55,241.24,241.42,32126.0,1179.0,242.668442
RSG,2025-07-29 04:00:00+00:00,243.22,246.19,242.01,246.13,56393.0,1624.0,244.776133
RSG,2025-07-30 04:00:00+00:00,240.875,240.875,231.47,231.72,115367.0,2911.0,236.099466
RSG,2025-07-31 04:00:00+00:00,232.5,234.52,230.4,230.65,139094.0,3069.0,232.485794
