symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SWK,2025-07-01 04:00:00+00:00,67.4,72.235,67.29,70.4,148415.0,2219.0,70.716425
SWK,2025-07-02 04:00:00+00:00,70.625,71.93,69.795,71.53,102427.0,2053.0,71.224126
SWK,2025-07-03 04:00:00+00:00,71.39,71.78,70.925,71.09,40120.0,884.0,71.316464
SWK,2025-07-07 04:00:00+00:00,70.7,71.44,69.14,69.32,89485.0,1654.0,69.924478
SWK,2025-07-08 04:00:00+00:00,70.53,73.08,70.53,71.68,129239.0,2147.0,72.038357
SWK,2025-07-09 04:00:00+00:00,72.305,73.0,71.545,72.89,52751.0,1102.0,72.451218
SWK,2025-07-10 04:00:00+00:00,72.965,75.23,72.885,73.86,146756.0,2245.0,74.493657
SWK,2025-07-11 04:00:00+00:00,72.765,73.26,72.105,72.86,58196.0,1093.0,72.950857
SWK,2025-07-14 04:00:00+00:00,72.46,72.46,71.045,71.59,70383.0,1363.0,71.767957
SWK,2025-07-15 04:00:00+00:00,72.29,72.73,69.72,69.79,52426.0,1027.0,70.814501
SWK,2025-07-16 04:00:00+00:00,70.05,70.09,68.32,69.53,67649.0,1588.0,69.313476
SWK,2025-07-17 04:00:00+00:00,69.8,70.965,69.58,70.84,93143.0,1618.0,70.250692
SWK,2025-07-18 04:00:00+00:00,71.22,71.36,69.43,70.14,56561.0,1306.0,70.05808
SWK,2025-07-21 04:00:00+00:00,70.64,70.88,69.545,69.58,55515.0,1224.0,70.161205
SWK,2025-07-22 04:00:00+00:00,70.69,73.09,70.655,72.81,74340.0,1382.0,72.100342
SWK,2025-07-23 04:00:00+00:00,74.17,74.77,73.82,74.065,63599.0,1368.0,74.257076
SWK,2025-07-24 04:00:00+00:00,73.215,73.685,72.26,72.69,49231.0,1345.0,72.817347
SWK,2025-07-25 04:00:00+00:00,72.72,74.09,72.255,73.925,61934.0,1603.0,73.45861
SWK,2025-07-28 04:00:00+00:00,73.68,74.9,73.23,73.92,111498.0,2435.0,74.210656
SWK,2025-07-29 04:00:00+00:00,68.22,69.72,66.665,68.65,264447.0,3861.0,68.225845
SWK,2025-07-30 04:00:00+00:00,68.35,69.54,67.09,67.78,153305.0,2758.0,68.639792
SWK,2025-07-31 04:00:00+00:00,67.325,68.89,66.94,67.68,122247.0,2581.0,68.062361
