symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SYF,2025-07-01 04:00:00+00:00,66.86,68.655,66.635,68.21,202224.0,2629.0,68.021327
SYF,2025-07-02 04:00:00+00:00,68.31,69.59,68.23,69.435,188651.0,2922.0,69.190851
SYF,2025-07-03 04:00:00+00:00,69.42,70.55,69.42,70.14,164289.0,2224.0,70.282341
SYF,2025-07-07 04:00:00+00:00,69.98,70.34,68.87,69.7,118854.0,2612.0,69.542783
SYF,2025-07-08 04:00:00+00:00,70.085,70.4,69.295,69.31,177104.0,3062.0,69.656884
SYF,2025-07-09 04:00:00+00:00,69.775,70.39,69.575,70.18,136202.0,2253.0,69.999724
SYF,2025-07-10 04:00:00+00:00,70.4,71.86,70.4,71.14,162246.0,2793.0,71.369938
SYF,2025-07-11 04:00:00+00:00,70.64,70.96,70.12,70.59,95183.0,1824.0,70.542255
SYF,2025-07-14 04:00:00+00:00,70.53,70.995,70.38,70.915,90682.0,1597.0,70.787546
SYF,2025-07-15 04:00:00+00:00,70.72,70.725,68.54,68.54,102598.0,1723.0,69.229167
SYF,2025-07-16 04:00:00+00:00,69.02,69.51,67.85,69.33,66769.0,1251.0,69.054298
SYF,2025-07-17 04:00:00+00:00,69.89,70.385,69.41,70.22,83884.0,1582.0,70.113974
SYF,2025-07-18 04:00:00+00:00,70.35,70.54,69.24,70.06,112536.0,1748.0,69.781408
SYF,2025-07-21 04:00:00+00:00,70.5,70.645,69.19,69.43,174282.0,3250.0,69.784007
SYF,2025-07-22 04:00:00+00:00,68.88,71.2,68.285,70.68,231452.0,3465.0,70.280074
SYF,2025-07-23 04:00:00+00:00,71.91,72.685,70.645,72.07,196792.0,2391.0,71.770301
SYF,2025-07-24 04:00:00+00:00,72.18,72.68,71.58,71.805,135900.0,1984.0,72.122735
SYF,2025-07-25 04:00:00+00:00,72.03,73.41,71.56,72.91,91365.0,1505.0,72.748567
SYF,2025-07-28 04:00:00+00:00,73.08,73.24,72.58,72.85,48068.0,1231.0,72.835745
SYF,2025-07-29 04:00:00+00:00,73.17,73.745,71.01,71.3,172678.0,2637.0,71.883508
SYF,2025-07-30 04:00:00+00:00,71.49,71.71,69.73,70.28,124862.0,2196.0,70.510179
SYF,2025-07-31 04:00:00+00:00,70.3,71.045,69.45,69.7,143358.0,2312.0,70.169412
