symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SYY,2025-07-01 04:00:00+00:00,75.965,77.69,75.785,77.37,95146.0,2239.0,77.175268
SYY,2025-07-02 04:00:00+00:00,77.56,77.755,76.81,77.665,110349.0,2507.0,77.365838
SYY,2025-07-03 04:00:00+00:00,76.52,77.26,76.34,77.09,54547.0,1104.0,76.973664
SYY,2025-07-07 04:00:00+00:00,77.09,77.1,76.275,76.73,128106.0,2671.0,76.606571
SYY,2025-07-08 04:00:00+00:00,76.905,77.16,76.42,76.555,56275.0,1608.0,76.678256
SYY,2025-07-09 04:00:00+00:00,76.41,76.535,75.925,76.33,75427.0,1427.0,76.245977
SYY,2025-07-10 04:00:00+00:00,76.23,78.145,76.12,77.46,80224.0,1700.0,77.568118
SYY,2025-07-11 04:00:00+00:00,77.39,77.575,76.375,76.82,95639.0,1975.0,76.824659
SYY,2025-07-14 04:00:00+00:00,76.65,77.73,76.65,77.7,66651.0,1430.0,77.354451
SYY,2025-07-15 04:00:00+00:00,77.81,78.175,76.355,76.355,142745.0,2277.0,76.886951
SYY,2025-07-16 04:00:00+00:00,76.85,77.47,76.315,77.3,82264.0,1566.0,76.991331
SYY,2025-07-17 04:00:00+00:00,77.37,78.06,76.58,77.91,108833.0,1879.0,77.546664
SYY,2025-07-18 04:00:00+00:00,77.97,78.805,77.97,78.42,99857.0,1909.0,78.386517
SYY,2025-07-21 04:00:00+00:00,78.495,79.2,78.475,78.72,81046.0,1710.0,78.89348
SYY,2025-07-22 04:00:00+00:00,79.44,80.23,79.035,80.22,71541.0,1895.0,79.772926
SYY,2025-07-23 04:00:00+00:00,80.325,81.44,80.325,80.79,78121.0,1904.0,80.932048
SYY,2025-07-24 04:00:00+00:00,80.96,80.96,79.87,79.87,176595.0,2827.0,80.40057
SYY,2025-07-25 04:00:00+00:00,80.035,80.61,79.755,80.33,109297.0,2055.0,80.278387
SYY,2025-07-28 04:00:00+00:00,80.03,80.93,80.02,80.34,123128.0,2346.0,80.425809
SYY,2025-07-29 04:00:00+00:00,79.63,79.63,75.835,78.49,307282.0,4927.0,77.90508
SYY,2025-07-30 04:00:00+00:00,78.855,80.73,78.855,80.08,104842.0,1955.0,80.029329
SYY,2025-07-31 04:00:00+00:00,79.55,80.23,79.41,79.605,106324.0,2454.0,79.809219
