symbol,timestamp,open,high,low,close,volume,trade_count,vwap
T,2025-07-01 04:00:00+00:00,29.04,29.19,28.7,28.875,1300386.0,5147.0,28.874922
T,2025-07-02 04:00:00+00:00,28.81,29.025,28.29,28.31,1306434.0,5071.0,28.545662
T,2025-07-03 04:00:00+00:00,28.265,28.41,28.16,28.33,779465.0,2615.0,28.328648
T,2025-07-07 04:00:00+00:00,28.435,28.47,28.225,28.41,789939.0,4092.0,28.3441
T,2025-07-08 04:00:00+00:00,28.24,28.455,28.085,28.305,1231720.0,4822.0,28.316075
T,2025-07-09 04:00:00+00:00,28.33,28.36,27.965,28.11,1149798.0,4795.0,28.135192
T,2025-07-10 04:00:00+00:00,27.76,27.815,27.48,27.6,1003758.0,4696.0,27.632406
T,2025-07-11 04:00:00+00:00,27.545,27.545,26.615,26.965,1532235.0,5033.0,26.948822
T,2025-07-14 04:00:00+00:00,27.02,27.49,27.02,27.18,1064505.0,4719.0,27.217109
T,2025-07-15 04:00:00+00:00,26.925,27.11,26.79,27.0,554871.0,3050.0,26.970087
T,2025-07-16 04:00:00+00:00,27.02,27.1,26.9,26.95,631983.0,4445.0,26.996882
T,2025-07-17 04:00:00+00:00,26.8,27.045,26.78,27.02,730288.0,4460.0,26.937006
T,2025-07-18 04:00:00+00:00,26.97,27.04,26.805,26.93,940764.0,4957.0,26.924826
T,2025-07-21 04:00:00+00:00,27.4,27.69,27.26,27.4,974392.0,5733.0,27.451637
T,2025-07-22 04:00:00+00:00,27.43,27.76,27.22,27.41,1436787.0,6309.0,27.402352
T,2025-07-23 04:00:00+00:00,26.17,27.75,25.89,27.75,2318841.0,9389.0,27.208992
T,2025-07-24 04:00:00+00:00,27.8,28.17,27.73,27.945,1816224.0,7940.0,27.935673
T,2025-07-25 04:00:00+00:00,27.925,28.345,27.76,28.02,1300671.0,4896.0,28.109732
T,2025-07-28 04:00:00+00:00,27.92,27.92,27.54,27.6,1347234.0,5306.0,27.64982
T,2025-07-29 04:00:00+00:00,27.625,27.92,27.32,27.42,1077338.0,4845.0,27.563176
T,2025-07-30 04:00:00+00:00,27.28,27.705,27.25,27.51,1132457.0,4932.0,27.512547
T,2025-07-31 04:00:00+00:00,27.415,27.715,27.32,27.4,1511235.0,6078.0,27.501469
