symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TECH,2025-07-01 04:00:00+00:00,50.79,53.95,49.94,52.06,110346.0,1685.0,51.744235
TECH,2025-07-02 04:00:00+00:00,52.165,53.22,51.99,53.2,105790.0,1755.0,52.86485
TECH,2025-07-03 04:00:00+00:00,53.215,53.54,52.73,53.13,59976.0,1150.0,53.209086
TECH,2025-07-07 04:00:00+00:00,52.495,52.71,50.99,51.545,141719.0,2493.0,51.69458
TECH,2025-07-08 04:00:00+00:00,51.7,53.4,51.34,52.68,98707.0,1942.0,52.458241
TECH,2025-07-09 04:00:00+00:00,53.08,53.55,51.875,52.59,86668.0,1901.0,52.575748
TECH,2025-07-10 04:00:00+00:00,52.585,55.52,52.585,54.37,127669.0,2849.0,54.909311
TECH,2025-07-11 04:00:00+00:00,53.67,54.365,53.6,54.135,67227.0,1330.0,54.052031
TECH,2025-07-14 04:00:00+00:00,53.545,53.63,52.405,52.62,70969.0,1693.0,52.964135
TECH,2025-07-15 04:00:00+00:00,53.1,53.1,51.29,51.415,72362.0,1554.0,51.841086
TECH,2025-07-16 04:00:00+00:00,51.6,52.01,50.74,51.785,53219.0,1156.0,51.362213
TECH,2025-07-17 04:00:00+00:00,52.28,53.32,51.68,53.29,64969.0,1696.0,52.823874
TECH,2025-07-18 04:00:00+00:00,53.845,53.845,51.76,52.025,138615.0,1868.0,52.324306
TECH,2025-07-21 04:00:00+00:00,51.57,51.57,49.885,50.285,156449.0,2647.0,50.469894
TECH,2025-07-22 04:00:00+00:00,50.68,53.52,50.68,53.12,90310.0,1517.0,52.763347
TECH,2025-07-23 04:00:00+00:00,55.775,55.84,54.43,55.3,148988.0,2297.0,55.358577
TECH,2025-07-24 04:00:00+00:00,54.92,58.64,54.81,58.465,224327.0,3317.0,58.056622
TECH,2025-07-25 04:00:00+00:00,58.91,59.5,57.82,58.78,186911.0,3051.0,58.799903
TECH,2025-07-28 04:00:00+00:00,58.815,60.05,58.38,58.57,141488.0,2561.0,59.301465
TECH,2025-07-29 04:00:00+00:00,58.34,58.895,57.485,57.87,118999.0,2154.0,58.039569
TECH,2025-07-30 04:00:00+00:00,58.015,58.33,57.11,57.685,112672.0,2379.0,57.649467
TECH,2025-07-31 04:00:00+00:00,56.72,57.68,54.61,54.73,143091.0,2118.0,56.150163
