symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TFC,2025-07-01 04:00:00+00:00,42.83,44.39,42.83,44.2,340514.0,3511.0,43.940481
TFC,2025-07-02 04:00:00+00:00,44.34,45.075,44.165,45.0,244394.0,3092.0,44.692098
TFC,2025-07-03 04:00:00+00:00,45.135,45.775,45.135,45.54,214435.0,2570.0,45.609134
TFC,2025-07-07 04:00:00+00:00,45.3,45.82,44.92,45.19,231711.0,3398.0,45.284872
TFC,2025-07-08 04:00:00+00:00,45.45,45.765,45.265,45.415,464229.0,4606.0,45.552624
TFC,2025-07-09 04:00:00+00:00,45.54,45.78,45.01,45.15,278786.0,3565.0,45.252607
TFC,2025-07-10 04:00:00+00:00,45.11,45.89,45.11,45.49,256984.0,3020.0,45.611771
TFC,2025-07-11 04:00:00+00:00,45.015,45.785,44.89,45.43,221397.0,2482.0,45.463478
TFC,2025-07-14 04:00:00+00:00,45.37,45.69,45.22,45.66,268856.0,3465.0,45.523484
TFC,2025-07-15 04:00:00+00:00,45.455,45.775,44.33,44.36,294373.0,3370.0,44.90099
TFC,2025-07-16 04:00:00+00:00,44.63,44.79,43.83,44.34,540982.0,5525.0,44.311039
TFC,2025-07-17 04:00:00+00:00,44.36,45.155,44.36,45.05,541034.0,5022.0,44.87935
TFC,2025-07-18 04:00:00+00:00,44.84,45.12,44.01,44.27,512445.0,5741.0,44.395062
TFC,2025-07-21 04:00:00+00:00,44.72,45.5,44.655,44.75,271212.0,3105.0,45.050479
TFC,2025-07-22 04:00:00+00:00,44.94,45.285,44.575,45.2,270372.0,2845.0,45.037132
TFC,2025-07-23 04:00:00+00:00,45.475,46.0,45.22,45.85,339983.0,3776.0,45.63027
TFC,2025-07-24 04:00:00+00:00,45.77,46.12,45.47,45.49,236333.0,3064.0,45.758437
TFC,2025-07-25 04:00:00+00:00,45.47,45.695,44.83,45.64,334793.0,3384.0,45.474868
TFC,2025-07-28 04:00:00+00:00,45.615,45.675,44.84,45.07,262354.0,3039.0,45.056167
TFC,2025-07-29 04:00:00+00:00,45.26,45.33,44.68,44.76,258994.0,3148.0,44.900749
TFC,2025-07-30 04:00:00+00:00,44.8,44.95,43.89,44.28,354593.0,3765.0,44.400971
TFC,2025-07-31 04:00:00+00:00,44.07,44.28,43.585,43.72,240649.0,2347.0,43.921463
