symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TPR,2025-07-01 04:00:00+00:00,87.1,89.15,86.77,86.91,147967.0,2817.0,87.996841
TPR,2025-07-02 04:00:00+00:00,86.585,87.73,84.885,86.47,155545.0,2846.0,86.187863
TPR,2025-07-03 04:00:00+00:00,86.68,90.785,86.68,90.13,334788.0,4618.0,90.087266
TPR,2025-07-07 04:00:00+00:00,90.55,92.6,90.51,92.48,214415.0,4371.0,91.893753
TPR,2025-07-08 04:00:00+00:00,92.94,93.375,90.73,92.235,149416.0,3105.0,91.938719
TPR,2025-07-09 04:00:00+00:00,93.47,95.6,92.91,95.3,230864.0,4190.0,94.653588
TPR,2025-07-10 04:00:00+00:00,95.985,98.24,95.96,97.64,221811.0,4410.0,97.356601
TPR,2025-07-11 04:00:00+00:00,97.3,98.64,96.885,98.435,184286.0,3360.0,97.915926
TPR,2025-07-14 04:00:00+00:00,99.135,101.73,99.03,101.62,226884.0,3945.0,100.610253
TPR,2025-07-15 04:00:00+00:00,101.2,101.82,99.69,101.58,196930.0,2856.0,101.02222
TPR,2025-07-16 04:00:00+00:00,101.7,102.095,100.02,100.66,146138.0,2839.0,101.002317
TPR,2025-07-17 04:00:00+00:00,101.025,102.28,100.2,102.15,145703.0,3019.0,101.652891
TPR,2025-07-18 04:00:00+00:00,102.54,104.195,102.05,103.4,125913.0,2640.0,103.49463
TPR,2025-07-21 04:00:00+00:00,103.695,107.395,103.695,106.41,276440.0,4435.0,106.355813
TPR,2025-07-22 04:00:00+00:00,106.725,107.16,103.93,106.3,167856.0,3480.0,105.437285
TPR,2025-07-23 04:00:00+00:00,107.335,109.55,107.335,109.16,144979.0,3339.0,108.672165
TPR,2025-07-24 04:00:00+00:00,109.07,109.32,107.63,108.46,124072.0,2739.0,108.653719
TPR,2025-07-25 04:00:00+00:00,109.76,109.83,107.11,108.31,130116.0,2228.0,108.241547
TPR,2025-07-28 04:00:00+00:00,108.895,110.43,108.555,110.43,83001.0,2387.0,109.888287
TPR,2025-07-29 04:00:00+00:00,108.045,108.26,105.79,107.42,131751.0,3349.0,107.393097
TPR,2025-07-30 04:00:00+00:00,107.32,108.81,107.295,108.15,108703.0,2884.0,108.16314
TPR,2025-07-31 04:00:00+00:00,108.38,109.335,107.67,108.08,117989.0,2962.0,108.394938
