symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VZ,2025-07-01 04:00:00+00:00,43.43,43.875,43.21,43.66,859841.0,6926.0,43.623711
VZ,2025-07-02 04:00:00+00:00,43.82,44.025,43.445,43.6,492459.0,4290.0,43.726304
VZ,2025-07-03 04:00:00+00:00,43.71,43.74,43.42,43.52,320689.0,2442.0,43.557871
VZ,2025-07-07 04:00:00+00:00,43.505,43.52,42.675,42.82,702568.0,5211.0,42.913861
VZ,2025-07-08 04:00:00+00:00,42.81,43.23,42.56,43.07,614920.0,5385.0,43.007416
VZ,2025-07-09 04:00:00+00:00,42.985,43.055,42.475,42.61,476580.0,4333.0,42.691917
VZ,2025-07-10 04:00:00+00:00,41.865,42.175,41.71,42.005,559213.0,3970.0,42.001148
VZ,2025-07-11 04:00:00+00:00,41.975,41.975,41.49,41.62,599298.0,5138.0,41.662356
VZ,2025-07-14 04:00:00+00:00,41.55,41.84,41.49,41.59,394740.0,3611.0,41.665563
VZ,2025-07-15 04:00:00+00:00,41.39,41.61,41.105,41.245,443392.0,4653.0,41.269268
VZ,2025-07-16 04:00:00+00:00,41.24,41.45,41.16,41.24,465202.0,3501.0,41.297016
VZ,2025-07-17 04:00:00+00:00,41.2,41.345,40.835,40.98,512533.0,3751.0,40.994149
VZ,2025-07-18 04:00:00+00:00,40.98,41.115,40.695,40.795,867670.0,6385.0,40.842129
VZ,2025-07-21 04:00:00+00:00,42.05,43.075,41.685,42.51,1196163.0,8536.0,42.592664
VZ,2025-07-22 04:00:00+00:00,42.81,43.47,42.565,42.94,891412.0,6981.0,42.965406
VZ,2025-07-23 04:00:00+00:00,42.43,42.87,42.05,42.86,1116080.0,6717.0,42.583648
VZ,2025-07-24 04:00:00+00:00,42.87,43.35,42.765,43.13,619575.0,4635.0,43.095842
VZ,2025-07-25 04:00:00+00:00,43.035,43.19,42.755,43.1,461509.0,3428.0,43.00133
VZ,2025-07-28 04:00:00+00:00,42.945,42.945,42.235,42.36,728847.0,4806.0,42.405238
VZ,2025-07-29 04:00:00+00:00,42.465,42.96,42.41,42.73,813277.0,4993.0,42.696021
VZ,2025-07-30 04:00:00+00:00,42.65,42.885,42.46,42.63,943138.0,5263.0,42.701919
VZ,2025-07-31 04:00:00+00:00,42.25,43.105,42.195,42.77,1015852.0,6315.0,42.843663
