symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WMB,2025-07-01 04:00:00+00:00,62.625,62.625,58.32,58.74,807706.0,8592.0,59.650221
WMB,2025-07-02 04:00:00+00:00,58.73,59.495,57.915,59.17,386542.0,5124.0,58.886201
WMB,2025-07-03 04:00:00+00:00,59.195,59.195,58.19,58.7,257485.0,2910.0,58.700886
WMB,2025-07-07 04:00:00+00:00,58.43,59.13,58.26,58.48,181190.0,3093.0,58.571116
WMB,2025-07-08 04:00:00+00:00,58.31,58.31,56.675,57.67,310811.0,4392.0,57.436519
WMB,2025-07-09 04:00:00+00:00,57.94,58.315,57.17,57.845,279020.0,5396.0,57.849332
WMB,2025-07-10 04:00:00+00:00,57.65,57.82,56.51,57.79,348535.0,4010.0,57.26571
WMB,2025-07-11 04:00:00+00:00,57.75,58.46,57.72,58.23,223694.0,2617.0,58.192888
WMB,2025-07-14 04:00:00+00:00,57.955,59.11,57.88,59.065,180603.0,2572.0,58.816955
WMB,2025-07-15 04:00:00+00:00,58.79,58.865,57.46,58.36,168291.0,2780.0,58.168471
WMB,2025-07-16 04:00:00+00:00,58.45,58.91,58.19,58.48,243075.0,3848.0,58.524437
WMB,2025-07-17 04:00:00+00:00,57.915,58.545,57.555,58.115,234998.0,3282.0,58.111528
WMB,2025-07-18 04:00:00+00:00,58.275,59.965,58.275,59.355,340380.0,5490.0,59.469411
WMB,2025-07-21 04:00:00+00:00,58.86,59.15,57.575,57.67,464419.0,5680.0,57.899183
WMB,2025-07-22 04:00:00+00:00,57.895,58.07,57.335,57.35,285907.0,3969.0,57.518236
WMB,2025-07-23 04:00:00+00:00,57.21,57.89,56.97,57.72,392368.0,4709.0,57.496716
WMB,2025-07-24 04:00:00+00:00,57.625,58.92,57.58,58.75,291452.0,3677.0,58.417096
WMB,2025-07-25 04:00:00+00:00,58.435,58.56,57.73,57.83,243715.0,4031.0,57.984993
WMB,2025-07-28 04:00:00+00:00,58.05,58.14,57.245,57.54,247782.0,3299.0,57.533618
WMB,2025-07-29 04:00:00+00:00,57.81,59.03,57.81,58.91,350082.0,4619.0,58.730682
WMB,2025-07-30 04:00:00+00:00,58.735,59.335,58.71,59.26,308217.0,3959.0,59.082619
WMB,2025-07-31 04:00:00+00:00,59.2,60.67,59.1,59.95,356198.0,4837.0,60.036467
