symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XEL,2025-07-01 04:00:00+00:00,68.47,68.97,66.88,68.72,148374.0,2381.0,68.218864
XEL,2025-07-02 04:00:00+00:00,68.295,68.295,67.015,67.56,124632.0,1740.0,67.680327
XEL,2025-07-03 04:00:00+00:00,67.395,68.425,67.395,68.19,52692.0,969.0,68.17021
XEL,2025-07-07 04:00:00+00:00,68.06,68.24,67.49,67.87,92746.0,1615.0,67.861459
XEL,2025-07-08 04:00:00+00:00,67.17,67.82,66.6,67.6,44723.0,1012.0,67.382568
XEL,2025-07-09 04:00:00+00:00,67.57,68.045,67.14,67.835,82191.0,1745.0,67.703406
XEL,2025-07-10 04:00:00+00:00,67.5,68.465,67.41,68.44,77837.0,1463.0,68.167868
XEL,2025-07-11 04:00:00+00:00,67.93,68.98,67.855,68.61,95974.0,1484.0,68.679097
XEL,2025-07-14 04:00:00+00:00,68.47,69.205,68.39,69.17,51446.0,1093.0,68.869412
XEL,2025-07-15 04:00:00+00:00,68.83,69.12,68.05,68.31,51654.0,1241.0,68.518051
XEL,2025-07-16 04:00:00+00:00,68.35,69.37,68.35,69.18,99248.0,1646.0,69.023147
XEL,2025-07-17 04:00:00+00:00,69.025,69.78,69.025,69.66,49429.0,1393.0,69.533086
XEL,2025-07-18 04:00:00+00:00,70.045,70.85,70.045,70.4,128934.0,1830.0,70.429144
XEL,2025-07-21 04:00:00+00:00,70.72,71.79,70.5,71.57,94783.0,1685.0,71.51929
XEL,2025-07-22 04:00:00+00:00,71.61,73.105,71.61,73.07,104266.0,1839.0,72.743913
XEL,2025-07-23 04:00:00+00:00,73.11,73.48,72.075,72.47,151286.0,2566.0,72.459072
XEL,2025-07-24 04:00:00+00:00,72.55,72.98,72.12,72.785,75205.0,1502.0,72.719338
XEL,2025-07-25 04:00:00+00:00,72.92,73.05,72.46,72.63,106995.0,1662.0,72.728935
XEL,2025-07-28 04:00:00+00:00,72.57,72.57,71.015,71.13,132919.0,2071.0,71.596582
XEL,2025-07-29 04:00:00+00:00,71.255,72.36,71.115,72.36,126093.0,2054.0,71.972266
XEL,2025-07-30 04:00:00+00:00,72.24,73.23,72.24,72.44,246516.0,3732.0,72.744301
XEL,2025-07-31 04:00:00+00:00,72.67,73.855,72.67,73.46,149329.0,2513.0,73.363847
