symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ENPH,2025-07-01 13:30:00+00:00,39.73,39.95,39.66,39.95,1052.0,18.0,39.768333
ENPH,2025-07-01 13:31:00+00:00,40.04,40.04,40.04,40.04,381.0,6.0,40.04
ENPH,2025-07-01 13:32:00+00:00,39.855,39.895,39.83,39.895,637.0,8.0,39.868
ENPH,2025-07-01 13:33:00+00:00,40.07,40.165,39.85,39.85,954.0,13.0,40.0325
ENPH,2025-07-01 13:34:00+00:00,39.91,40.32,39.91,40.32,306.0,4.0,40.046667
ENPH,2025-07-01 13:35:00+00:00,40.23,40.23,39.915,39.915,1319.0,18.0,40.1165
ENPH,2025-07-01 13:36:00+00:00,40.07,40.14,40.07,40.14,939.0,10.0,40.113311
ENPH,2025-07-01 13:37:00+00:00,40.14,40.41,40.14,40.41,651.0,7.0,40.258333
ENPH,2025-07-01 13:38:00+00:00,40.36,40.44,40.305,40.44,1412.0,14.0,40.341977
ENPH,2025-07-01 13:39:00+00:00,40.38,40.38,40.35,40.35,1300.0,9.0,40.3525
ENPH,2025-07-01 13:40:00+00:00,40.405,40.405,40.34,40.395,806.0,8.0,40.3875
ENPH,2025-07-01 13:41:00+00:00,40.14,40.14,39.965,40.01,1697.0,23.0,40.029259
ENPH,2025-07-01 13:42:00+00:00,39.98,39.98,39.96,39.96,905.0,11.0,39.9725
ENPH,2025-07-01 13:43:00+00:00,39.96,39.97,39.89,39.96,851.0,11.0,39.948333
ENPH,2025-07-01 13:44:00+00:00,39.96,40.055,39.91,40.055,691.0,9.0,39.981
ENPH,2025-07-01 13:45:00+00:00,40.1,40.14,40.1,40.14,600.0,7.0,40.108
ENPH,2025-07-01 13:46:00+00:00,40.11,40.165,40.08,40.1,1255.0,13.0,40.115
ENPH,2025-07-01 13:48:00+00:00,40.235,40.26,40.19,40.23,1674.0,20.0,40.233571
ENPH,2025-07-01 13:49:00+00:00,40.11,40.11,40.075,40.08,639.0,11.0,40.08625
ENPH,2025-07-01 13:50:00+00:00,40.08,40.08,40.08,40.08,815.0,13.0,40.08
ENPH,2025-07-01 13:52:00+00:00,40.335,40.335,40.24,40.305,1020.0,12.0,40.282222
ENPH,2025-07-01 13:53:00+00:00,40.29,40.335,40.11,40.11,2683.0,34.0,40.210364
ENPH,2025-07-01 13:54:00+00:00,39.975,40.02,39.975,40.02,700.0,11.0,39.989
ENPH,2025-07-01 13:55:00+00:00,39.94,39.94,39.875,39.875,395.0,7.0,39.9075
ENPH,2025-07-01 13:57:00+00:00,39.865,39.865,39.795,39.795,427.0,6.0,39.833333
ENPH,2025-07-01 13:59:00+00:00,39.725,39.795,39.725,39.755,1214.0,13.0,39.761275
ENPH,2025-07-01 14:00:00+00:00,39.8,39.915,39.8,39.81,2242.0,20.0,39.861561
ENPH,2025-07-01 14:01:00+00:00,39.665,39.665,39.65,39.65,301.0,5.0,39.6575
ENPH,2025-07-01 14:02:00+00:00,39.605,39.62,39.6,39.62,802.0,11.0,39.605
ENPH,2025-07-01 14:03:00+00:00,39.57,39.61,39.545,39.61,1995.0,23.0,39.57
ENPH,2025-07-01 14:04:00+00:00,39.6,39.62,39.425,39.45,1867.0,27.0,39.519268
