symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EVRG,2025-07-01 13:33:00+00:00,69.16,69.16,69.16,69.16,100.0,1.0,69.16
EVRG,2025-07-01 13:34:00+00:00,69.09,69.09,69.09,69.09,100.0,1.0,69.09
EVRG,2025-07-01 13:35:00+00:00,69.02,69.08,69.02,69.08,200.0,2.0,69.05
EVRG,2025-07-01 13:37:00+00:00,69.245,69.29,69.245,69.29,330.0,4.0,69.271667
EVRG,2025-07-01 13:39:00+00:00,69.21,69.21,69.2,69.2,202.0,3.0,69.205
EVRG,2025-07-01 13:40:00+00:00,69.16,69.16,69.16,69.16,132.0,3.0,69.16
EVRG,2025-07-01 13:41:00+00:00,69.23,69.23,69.23,69.23,100.0,1.0,69.23
EVRG,2025-07-01 13:42:00+00:00,69.22,69.22,69.22,69.22,101.0,2.0,69.22
EVRG,2025-07-01 13:46:00+00:00,69.125,69.125,69.125,69.125,180.0,5.0,69.125
EVRG,2025-07-01 13:49:00+00:00,69.095,69.15,69.095,69.15,676.0,11.0,69.121
EVRG,2025-07-01 13:50:00+00:00,69.17,69.185,69.17,69.185,200.0,2.0,69.1775
EVRG,2025-07-01 13:51:00+00:00,69.17,69.17,69.17,69.17,100.0,1.0,69.17
EVRG,2025-07-01 13:52:00+00:00,69.16,69.16,69.115,69.115,201.0,3.0,69.1375
EVRG,2025-07-01 13:53:00+00:00,69.15,69.15,69.15,69.15,225.0,3.0,69.15
EVRG,2025-07-01 13:54:00+00:00,69.17,69.2,69.17,69.2,361.0,7.0,69.185
EVRG,2025-07-01 13:57:00+00:00,69.17,69.17,69.17,69.17,320.0,7.0,69.17
EVRG,2025-07-01 14:00:00+00:00,69.12,69.12,69.12,69.12,170.0,3.0,69.12
EVRG,2025-07-01 14:06:00+00:00,69.02,69.02,69.02,69.02,202.0,4.0,69.02
EVRG,2025-07-01 14:08:00+00:00,68.96,68.96,68.96,68.96,100.0,1.0,68.96
EVRG,2025-07-01 14:09:00+00:00,68.91,68.91,68.91,68.91,101.0,2.0,68.91
EVRG,2025-07-01 14:14:00+00:00,68.91,68.91,68.91,68.91,100.0,1.0,68.91
