symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EXPE,2025-07-01 13:34:00+00:00,168.77,169.22,168.77,169.22,362.0,4.0,168.987523
EXPE,2025-07-01 13:35:00+00:00,169.48,170.185,169.48,170.185,492.0,5.0,169.9275
EXPE,2025-07-01 13:36:00+00:00,169.595,169.595,169.595,169.595,390.0,5.0,169.595
EXPE,2025-07-01 13:38:00+00:00,169.085,169.085,169.085,169.085,290.0,2.0,169.085
EXPE,2025-07-01 13:42:00+00:00,169.73,169.73,169.675,169.675,400.0,3.0,169.6975
EXPE,2025-07-01 13:43:00+00:00,169.76,169.76,169.76,169.76,100.0,1.0,169.76
EXPE,2025-07-01 13:46:00+00:00,170.17,170.17,170.17,170.17,235.0,5.0,170.17
EXPE,2025-07-01 13:48:00+00:00,169.97,169.97,169.895,169.895,437.0,7.0,169.914036
EXPE,2025-07-01 13:49:00+00:00,169.92,170.26,169.92,170.26,388.0,9.0,170.115319
EXPE,2025-07-01 13:50:00+00:00,170.19,170.19,170.19,170.19,480.0,15.0,170.19
EXPE,2025-07-01 13:51:00+00:00,170.45,170.45,170.42,170.42,612.0,12.0,170.435
EXPE,2025-07-01 13:52:00+00:00,170.1,170.18,170.08,170.18,363.0,4.0,170.12
EXPE,2025-07-01 13:54:00+00:00,170.12,170.12,170.12,170.12,125.0,2.0,170.12
EXPE,2025-07-01 13:56:00+00:00,170.275,170.275,170.275,170.275,298.0,13.0,170.275
EXPE,2025-07-01 13:57:00+00:00,170.89,170.89,170.89,170.89,235.0,11.0,170.89
EXPE,2025-07-01 13:58:00+00:00,170.48,170.48,170.48,170.48,492.0,14.0,170.48
EXPE,2025-07-01 14:01:00+00:00,170.59,170.605,170.59,170.605,571.0,13.0,170.598304
EXPE,2025-07-01 14:04:00+00:00,170.7,170.71,170.69,170.69,661.0,9.0,170.6975
EXPE,2025-07-01 14:05:00+00:00,170.69,170.69,170.33,170.39,694.0,11.0,170.558
EXPE,2025-07-01 14:06:00+00:00,170.37,170.37,170.37,170.37,265.0,4.0,170.37
EXPE,2025-07-01 14:09:00+00:00,170.53,170.53,170.53,170.53,147.0,4.0,170.53
EXPE,2025-07-01 14:10:00+00:00,170.41,170.41,170.41,170.41,515.0,11.0,170.41
EXPE,2025-07-01 14:11:00+00:00,170.55,170.55,170.55,170.55,274.0,5.0,170.55
EXPE,2025-07-01 14:13:00+00:00,170.535,170.535,170.51,170.51,942.0,10.0,170.523305
EXPE,2025-07-01 14:15:00+00:00,170.52,170.63,170.52,170.6,2160.0,22.0,170.572813
EXPE,2025-07-01 14:16:00+00:00,170.635,170.84,170.635,170.77,2455.0,22.0,170.772135
EXPE,2025-07-01 14:19:00+00:00,170.42,170.65,170.42,170.65,2123.0,22.0,170.5483
EXPE,2025-07-01 14:21:00+00:00,170.79,170.79,170.79,170.79,298.0,9.0,170.79
EXPE,2025-07-01 14:23:00+00:00,170.54,170.54,170.54,170.54,187.0,4.0,170.54
EXPE,2025-07-01 14:28:00+00:00,169.86,169.86,169.86,169.86,213.0,6.0,169.86
EXPE,2025-07-01 14:29:00+00:00,169.79,169.79,169.73,169.78,1577.0,27.0,169.775833
EXPE,2025-07-01 14:30:00+00:00,169.825,169.89,169.825,169.89,672.0,8.0,169.866051
EXPE,2025-07-01 14:31:00+00:00,169.81,169.92,169.81,169.92,454.0,6.0,169.865
EXPE,2025-07-01 14:33:00+00:00,169.82,169.82,169.66,169.66,466.0,8.0,169.713333
EXPE,2025-07-01 14:34:00+00:00,169.66,169.66,169.66,169.66,187.0,9.0,169.66
EXPE,2025-07-01 14:35:00+00:00,169.63,169.75,169.63,169.75,1605.0,13.0,169.736267
EXPE,2025-07-01 14:36:00+00:00,169.78,169.78,169.775,169.775,320.0,5.0,169.7775
EXPE,2025-07-01 14:37:00+00:00,169.62,169.62,169.62,169.62,293.0,9.0,169.62
EXPE,2025-07-01 14:39:00+00:00,169.41,169.41,169.3,169.39,423.0,8.0,169.366667
EXPE,2025-07-01 14:40:00+00:00,169.255,169.28,169.21,169.21,756.0,11.0,169.23454
EXPE,2025-07-01 14:41:00+00:00,169.21,169.31,169.205,169.29,1855.0,20.0,169.24
EXPE,2025-07-01 14:42:00+00:00,169.3,169.395,169.3,169.395,606.0,8.0,169.375
EXPE,2025-07-01 14:44:00+00:00,169.35,169.35,169.35,169.35,197.0,4.0,169.35
EXPE,2025-07-01 14:46:00+00:00,169.245,169.3,169.245,169.3,338.0,7.0,169.2725
EXPE,2025-07-01 14:47:00+00:00,169.38,169.63,169.37,169.63,1597.0,17.0,169.494667
EXPE,2025-07-01 14:48:00+00:00,169.63,169.63,169.625,169.625,350.0,6.0,169.626667
EXPE,2025-07-01 14:49:00+00:00,169.63,169.63,169.63,169.63,782.0,13.0,169.63
EXPE,2025-07-01 14:50:00+00:00,169.54,169.54,169.54,169.54,427.0,13.0,169.54
EXPE,2025-07-01 14:51:00+00:00,169.62,169.815,169.62,169.815,1100.0,20.0,169.664444
EXPE,2025-07-01 14:52:00+00:00,169.875,170.0,169.875,169.95,856.0,17.0,169.931273
