symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EXR,2025-07-01 13:30:00+00:00,147.28,147.51,147.28,147.51,357.0,3.0,147.408852
EXR,2025-07-01 13:35:00+00:00,147.835,147.935,147.835,147.89,1400.0,19.0,147.9025
EXR,2025-07-01 13:38:00+00:00,148.035,148.035,148.035,148.035,300.0,1.0,148.035
EXR,2025-07-01 13:40:00+00:00,147.97,147.98,147.96,147.98,682.0,9.0,147.97
EXR,2025-07-01 13:41:00+00:00,147.97,147.98,147.87,147.93,719.0,9.0,147.948571
EXR,2025-07-01 13:44:00+00:00,147.595,147.595,147.33,147.33,400.0,4.0,147.48
EXR,2025-07-01 13:45:00+00:00,147.57,147.995,147.57,147.995,300.0,3.0,147.801667
EXR,2025-07-01 13:47:00+00:00,148.11,148.11,148.11,148.11,100.0,1.0,148.11
EXR,2025-07-01 13:54:00+00:00,148.52,148.52,148.49,148.49,675.0,13.0,148.505
EXR,2025-07-01 13:55:00+00:00,148.38,148.38,148.37,148.37,361.0,6.0,148.375
EXR,2025-07-01 13:56:00+00:00,148.19,148.19,148.19,148.19,210.0,5.0,148.19
EXR,2025-07-01 14:02:00+00:00,148.375,148.375,148.26,148.26,1876.0,24.0,148.309353
EXR,2025-07-01 14:03:00+00:00,148.2,148.25,148.2,148.25,365.0,6.0,148.221552
EXR,2025-07-01 14:05:00+00:00,148.18,148.18,148.18,148.18,205.0,4.0,148.18
EXR,2025-07-01 14:06:00+00:00,148.235,148.235,148.235,148.235,100.0,1.0,148.235
EXR,2025-07-01 14:09:00+00:00,148.25,148.25,148.2,148.2,260.0,5.0,148.225
EXR,2025-07-01 14:10:00+00:00,148.135,148.135,148.135,148.135,138.0,3.0,148.135
EXR,2025-07-01 14:14:00+00:00,148.155,148.155,148.155,148.155,101.0,2.0,148.155
EXR,2025-07-01 14:15:00+00:00,148.12,148.12,148.12,148.12,105.0,2.0,148.12
EXR,2025-07-01 14:17:00+00:00,148.27,148.27,148.27,148.27,100.0,1.0,148.27
EXR,2025-07-01 14:19:00+00:00,148.345,148.37,148.345,148.37,400.0,4.0,148.35875
EXR,2025-07-01 14:20:00+00:00,148.35,148.37,148.3,148.37,1045.0,13.0,148.34
EXR,2025-07-01 14:21:00+00:00,148.54,148.54,148.54,148.54,188.0,5.0,148.54
EXR,2025-07-01 14:22:00+00:00,148.58,148.58,148.58,148.58,100.0,1.0,148.58
EXR,2025-07-01 14:24:00+00:00,148.765,148.765,148.765,148.765,160.0,4.0,148.765
EXR,2025-07-01 14:26:00+00:00,148.93,148.93,148.93,148.93,112.0,2.0,148.93
EXR,2025-07-01 14:27:00+00:00,149.105,149.19,149.105,149.19,300.0,2.0,149.133333
EXR,2025-07-01 14:28:00+00:00,149.14,149.22,149.14,149.22,200.0,2.0,149.18
EXR,2025-07-01 14:29:00+00:00,149.27,149.3,149.26,149.28,1470.0,27.0,149.274545
EXR,2025-07-01 14:30:00+00:00,149.3,149.3,149.29,149.29,383.0,5.0,149.293333
EXR,2025-07-01 14:33:00+00:00,149.57,149.57,149.57,149.57,200.0,2.0,149.57
EXR,2025-07-01 14:37:00+00:00,149.56,149.56,149.56,149.56,102.0,2.0,149.56
EXR,2025-07-01 14:40:00+00:00,149.76,149.76,149.76,149.76,256.0,3.0,149.76
EXR,2025-07-01 14:42:00+00:00,150.14,150.14,150.01,150.01,628.0,14.0,150.096667
EXR,2025-07-01 14:47:00+00:00,150.24,150.24,150.24,150.24,259.0,8.0,150.24
EXR,2025-07-01 14:48:00+00:00,150.115,150.115,150.015,150.015,237.0,5.0,150.065
EXR,2025-07-01 14:49:00+00:00,150.085,150.085,149.96,149.96,204.0,3.0,150.0225
EXR,2025-07-01 14:50:00+00:00,150.01,150.01,150.01,150.01,124.0,2.0,150.01
EXR,2025-07-01 14:51:00+00:00,149.975,149.975,149.975,149.975,300.0,3.0,149.975
EXR,2025-07-01 14:52:00+00:00,150.045,150.045,150.02,150.02,804.0,12.0,150.0275
EXR,2025-07-01 14:55:00+00:00,150.12,150.12,150.12,150.12,204.0,7.0,150.12
EXR,2025-07-01 14:59:00+00:00,150.05,150.08,149.86,149.86,652.0,15.0,150.016
EXR,2025-07-01 15:00:00+00:00,150.0,150.0,150.0,150.0,105.0,2.0,150.0
EXR,2025-07-01 15:02:00+00:00,150.15,150.15,150.15,150.15,146.0,3.0,150.15
EXR,2025-07-01 15:04:00+00:00,150.11,150.11,150.11,150.11,104.0,3.0,150.11
EXR,2025-07-01 15:05:00+00:00,150.17,150.17,150.17,150.17,156.0,2.0,150.17
EXR,2025-07-01 15:07:00+00:00,150.5,150.5,150.5,150.5,153.0,2.0,150.5
EXR,2025-07-01 15:10:00+00:00,150.8,150.8,150.8,150.8,430.0,6.0,150.8
EXR,2025-07-01 15:11:00+00:00,150.84,150.84,150.84,150.84,298.0,10.0,150.84
EXR,2025-07-01 15:12:00+00:00,150.91,150.91,150.91,150.91,100.0,1.0,150.91
EXR,2025-07-01 15:13:00+00:00,151.09,151.09,151.09,151.09,179.0,8.0,151.09
EXR,2025-07-01 15:14:00+00:00,151.035,151.16,151.035,151.16,352.0,11.0,151.0975
EXR,2025-07-01 15:15:00+00:00,151.28,151.28,151.28,151.28,131.0,6.0,151.28
EXR,2025-07-01 15:18:00+00:00,151.305,151.305,151.305,151.305,104.0,3.0,151.305
EXR,2025-07-01 15:19:00+00:00,151.285,151.285,151.285,151.285,275.0,5.0,151.285
EXR,2025-07-01 15:20:00+00:00,151.13,151.13,151.13,151.13,252.0,8.0,151.13
EXR,2025-07-01 15:22:00+00:00,151.15,151.225,151.15,151.225,639.0,19.0,151.2
EXR,2025-07-01 15:23:00+00:00,151.265,151.265,151.265,151.265,495.0,10.0,151.265
EXR,2025-07-01 15:27:00+00:00,151.32,151.32,151.32,151.32,682.0,11.0,151.32
EXR,2025-07-01 15:28:00+00:00,151.33,151.33,151.315,151.315,225.0,7.0,151.3225
EXR,2025-07-01 15:29:00+00:00,151.305,151.305,151.23,151.25,439.0,7.0,151.2725
EXR,2025-07-01 15:30:00+00:00,151.285,151.285,151.285,151.285,290.0,6.0,151.285
EXR,2025-07-01 15:31:00+00:00,151.28,151.28,151.28,151.28,100.0,1.0,151.28
EXR,2025-07-01 15:32:00+00:00,151.28,151.28,151.28,151.28,441.0,11.0,151.28
EXR,2025-07-01 15:33:00+00:00,151.24,151.24,151.24,151.24,395.0,10.0,151.24
EXR,2025-07-01 15:34:00+00:00,151.09,151.18,151.09,151.18,309.0,5.0,151.135
EXR,2025-07-01 15:35:00+00:00,151.26,151.26,151.26,151.26,157.0,4.0,151.26
EXR,2025-07-01 15:38:00+00:00,151.34,151.34,151.28,151.28,463.0,7.0,151.316667
EXR,2025-07-01 15:39:00+00:00,151.32,151.34,151.32,151.34,212.0,4.0,151.33
EXR,2025-07-01 15:41:00+00:00,151.02,151.02,150.96,150.96,544.0,6.0,151.008
EXR,2025-07-01 15:43:00+00:00,150.815,150.815,150.815,150.815,101.0,2.0,150.815
EXR,2025-07-01 15:47:00+00:00,151.08,151.11,151.08,151.11,204.0,3.0,151.095
EXR,2025-07-01 15:49:00+00:00,151.25,151.25,151.25,151.25,357.0,11.0,151.25
