symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FAST,2025-07-01 13:30:00+00:00,41.96,42.03,41.96,41.99,2803.0,27.0,42.0014
FAST,2025-07-01 13:31:00+00:00,42.0,42.0,41.97,41.975,585.0,7.0,41.984
FAST,2025-07-01 13:32:00+00:00,41.955,41.955,41.92,41.92,1063.0,8.0,41.9455
FAST,2025-07-01 13:33:00+00:00,41.965,41.965,41.93,41.94,1106.0,8.0,41.934091
FAST,2025-07-01 13:35:00+00:00,41.93,41.97,41.93,41.95,797.0,8.0,41.945714
FAST,2025-07-01 13:36:00+00:00,41.95,41.95,41.92,41.94,1225.0,11.0,41.929167
FAST,2025-07-01 13:37:00+00:00,41.93,41.935,41.9,41.9,1463.0,15.0,41.92875
FAST,2025-07-01 13:38:00+00:00,41.91,41.94,41.91,41.94,400.0,5.0,41.92
FAST,2025-07-01 13:39:00+00:00,41.95,41.96,41.95,41.96,290.0,4.0,41.955
FAST,2025-07-01 13:40:00+00:00,41.97,41.97,41.925,41.925,600.0,6.0,41.955
FAST,2025-07-01 13:41:00+00:00,41.945,41.945,41.9,41.9,1088.0,6.0,41.9315
FAST,2025-07-01 13:42:00+00:00,41.905,41.905,41.855,41.855,2165.0,28.0,41.876213
FAST,2025-07-01 13:43:00+00:00,41.85,41.85,41.83,41.83,600.0,6.0,41.841653
FAST,2025-07-01 13:44:00+00:00,41.785,41.785,41.75,41.78,1956.0,25.0,41.765938
FAST,2025-07-01 13:45:00+00:00,41.79,41.8,41.79,41.8,370.0,4.0,41.793333
FAST,2025-07-01 13:46:00+00:00,41.78,41.8,41.78,41.8,435.0,6.0,41.78768
FAST,2025-07-01 13:47:00+00:00,41.78,41.79,41.77,41.79,780.0,8.0,41.781667
FAST,2025-07-01 13:48:00+00:00,41.81,41.83,41.81,41.825,785.0,10.0,41.81875
FAST,2025-07-01 13:49:00+00:00,41.81,41.85,41.81,41.85,873.0,11.0,41.83
FAST,2025-07-01 13:51:00+00:00,41.885,41.9,41.88,41.9,517.0,6.0,41.88625
FAST,2025-07-01 13:52:00+00:00,41.85,41.85,41.805,41.805,628.0,5.0,41.819167
FAST,2025-07-01 13:54:00+00:00,41.84,41.84,41.84,41.84,272.0,4.0,41.84
FAST,2025-07-01 13:55:00+00:00,41.85,41.85,41.825,41.825,600.0,7.0,41.83
FAST,2025-07-01 13:56:00+00:00,41.825,41.84,41.825,41.84,774.0,11.0,41.8325
FAST,2025-07-01 13:57:00+00:00,41.815,41.85,41.815,41.84,771.0,11.0,41.826429
FAST,2025-07-01 13:58:00+00:00,41.85,41.86,41.85,41.86,300.0,3.0,41.853333
FAST,2025-07-01 13:59:00+00:00,41.855,41.865,41.85,41.85,400.0,4.0,41.8575
FAST,2025-07-01 14:00:00+00:00,41.85,41.9,41.85,41.88,2834.0,23.0,41.868456
FAST,2025-07-01 14:01:00+00:00,41.91,41.92,41.9,41.92,1500.0,19.0,41.910915
FAST,2025-07-01 14:02:00+00:00,41.9,41.97,41.9,41.97,634.0,6.0,41.917915
FAST,2025-07-01 14:03:00+00:00,41.96,41.96,41.96,41.96,100.0,1.0,41.96
FAST,2025-07-01 14:05:00+00:00,42.01,42.01,42.01,42.01,335.0,6.0,42.01
FAST,2025-07-01 14:08:00+00:00,42.09,42.09,42.08,42.08,314.0,7.0,42.083333
FAST,2025-07-01 14:09:00+00:00,42.12,42.13,42.12,42.13,703.0,7.0,42.121563
FAST,2025-07-01 14:10:00+00:00,42.13,42.13,42.13,42.13,898.0,13.0,42.13
FAST,2025-07-01 14:11:00+00:00,42.18,42.23,42.18,42.23,1082.0,10.0,42.215
FAST,2025-07-01 14:12:00+00:00,42.22,42.22,42.22,42.22,141.0,4.0,42.22
FAST,2025-07-01 14:13:00+00:00,42.28,42.28,42.28,42.28,792.0,14.0,42.28
