symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FE,2025-07-01 13:30:00+00:00,40.305,40.39,40.305,40.325,1083.0,9.0,40.351624
FE,2025-07-01 13:31:00+00:00,40.37,40.43,40.37,40.43,795.0,6.0,40.421465
FE,2025-07-01 13:32:00+00:00,40.41,40.41,40.34,40.34,2859.0,19.0,40.371698
FE,2025-07-01 13:33:00+00:00,40.32,40.32,40.32,40.32,274.0,4.0,40.32
FE,2025-07-01 13:34:00+00:00,40.32,40.32,40.32,40.32,579.0,7.0,40.32
FE,2025-07-01 13:35:00+00:00,40.315,40.315,40.315,40.315,104.0,2.0,40.315
FE,2025-07-01 13:36:00+00:00,40.375,40.375,40.325,40.325,400.0,2.0,40.3625
FE,2025-07-01 13:37:00+00:00,40.35,40.365,40.35,40.355,4470.0,19.0,40.356708
FE,2025-07-01 13:38:00+00:00,40.36,40.445,40.36,40.445,1900.0,7.0,40.370789
FE,2025-07-01 13:39:00+00:00,40.46,40.46,40.46,40.46,110.0,2.0,40.46
FE,2025-07-01 13:43:00+00:00,40.44,40.44,40.44,40.44,302.0,4.0,40.44
FE,2025-07-01 13:45:00+00:00,40.4,40.4,40.4,40.4,207.0,5.0,40.4
FE,2025-07-01 13:46:00+00:00,40.37,40.37,40.34,40.34,781.0,9.0,40.354643
FE,2025-07-01 13:47:00+00:00,40.36,40.36,40.35,40.35,800.0,2.0,40.35875
FE,2025-07-01 13:50:00+00:00,40.33,40.33,40.33,40.33,101.0,2.0,40.33
FE,2025-07-01 13:52:00+00:00,40.31,40.31,40.31,40.31,837.0,6.0,40.31
FE,2025-07-01 13:53:00+00:00,40.315,40.315,40.315,40.315,411.0,5.0,40.315
FE,2025-07-01 13:54:00+00:00,40.315,40.32,40.315,40.32,325.0,3.0,40.316538
FE,2025-07-01 13:56:00+00:00,40.32,40.32,40.32,40.32,700.0,1.0,40.32
FE,2025-07-01 13:57:00+00:00,40.3,40.3,40.3,40.3,100.0,1.0,40.3
FE,2025-07-01 13:58:00+00:00,40.3,40.3,40.3,40.3,400.0,3.0,40.3
FE,2025-07-01 13:59:00+00:00,40.3,40.3,40.29,40.295,989.0,11.0,40.295135
FE,2025-07-01 14:00:00+00:00,40.31,40.31,40.31,40.31,137.0,4.0,40.31
FE,2025-07-01 14:01:00+00:00,40.3,40.3,40.29,40.29,900.0,4.0,40.291463
FE,2025-07-01 14:02:00+00:00,40.23,40.235,40.23,40.235,427.0,5.0,40.233462
FE,2025-07-01 14:03:00+00:00,40.24,40.24,40.22,40.22,232.0,5.0,40.23
FE,2025-07-01 14:04:00+00:00,40.23,40.23,40.22,40.22,1000.0,2.0,40.225
FE,2025-07-01 14:05:00+00:00,40.18,40.18,40.18,40.18,235.0,2.0,40.18
FE,2025-07-01 14:07:00+00:00,40.1,40.12,40.1,40.12,571.0,6.0,40.116
FE,2025-07-01 14:08:00+00:00,40.09,40.09,40.09,40.09,375.0,3.0,40.09
FE,2025-07-01 14:09:00+00:00,40.06,40.09,40.06,40.09,245.0,4.0,40.075
FE,2025-07-01 14:10:00+00:00,40.055,40.055,40.055,40.055,291.0,2.0,40.055
FE,2025-07-01 14:11:00+00:00,40.05,40.06,40.05,40.06,226.0,3.0,40.055556
FE,2025-07-01 14:12:00+00:00,40.06,40.06,40.06,40.06,331.0,8.0,40.06
FE,2025-07-01 14:13:00+00:00,40.04,40.04,40.04,40.04,111.0,3.0,40.04
FE,2025-07-01 14:14:00+00:00,40.02,40.04,40.02,40.04,601.0,4.0,40.023333
FE,2025-07-01 14:15:00+00:00,40.04,40.06,40.035,40.035,761.0,11.0,40.041429
FE,2025-07-01 14:16:00+00:00,40.05,40.05,40.04,40.04,825.0,7.0,40.042427
FE,2025-07-01 14:17:00+00:00,40.05,40.065,40.03,40.03,5814.0,29.0,40.063279
FE,2025-07-01 14:19:00+00:00,39.98,39.98,39.97,39.97,240.0,3.0,39.974444
FE,2025-07-01 14:20:00+00:00,39.94,39.94,39.935,39.935,248.0,4.0,39.937183
FE,2025-07-01 14:21:00+00:00,39.965,39.98,39.965,39.97,525.0,6.0,39.971
FE,2025-07-01 14:22:00+00:00,39.98,40.0,39.98,40.0,274.0,4.0,39.99
FE,2025-07-01 14:23:00+00:00,40.01,40.015,40.01,40.015,200.0,2.0,40.0125
FE,2025-07-01 14:24:00+00:00,40.035,40.07,40.03,40.07,1006.0,10.0,40.054
FE,2025-07-01 14:25:00+00:00,40.04,40.05,40.04,40.05,200.0,2.0,40.045
FE,2025-07-01 14:26:00+00:00,40.085,40.1,40.085,40.1,707.0,10.0,40.095714
FE,2025-07-01 14:27:00+00:00,40.11,40.11,40.11,40.11,204.0,7.0,40.11
FE,2025-07-01 14:29:00+00:00,40.165,40.165,40.165,40.165,101.0,2.0,40.165
FE,2025-07-01 14:30:00+00:00,40.16,40.17,40.16,40.17,551.0,6.0,40.162
FE,2025-07-01 14:31:00+00:00,40.18,40.19,40.18,40.18,597.0,6.0,40.183361
FE,2025-07-01 14:32:00+00:00,40.19,40.2,40.19,40.2,861.0,6.0,40.191176
FE,2025-07-01 14:33:00+00:00,40.2,40.23,40.2,40.23,450.0,5.0,40.215
FE,2025-07-01 14:34:00+00:00,40.23,40.23,40.21,40.21,200.0,2.0,40.22
FE,2025-07-01 14:35:00+00:00,40.21,40.21,40.21,40.21,836.0,5.0,40.21
FE,2025-07-01 14:37:00+00:00,40.26,40.26,40.26,40.26,430.0,6.0,40.26
FE,2025-07-01 14:38:00+00:00,40.28,40.29,40.28,40.29,401.0,5.0,40.2825
FE,2025-07-01 14:39:00+00:00,40.31,40.32,40.31,40.32,700.0,3.0,40.311429
FE,2025-07-01 14:40:00+00:00,40.33,40.35,40.33,40.35,300.0,3.0,40.336667
FE,2025-07-01 14:41:00+00:00,40.37,40.38,40.37,40.38,200.0,2.0,40.375
FE,2025-07-01 14:42:00+00:00,40.38,40.38,40.38,40.38,227.0,2.0,40.38
FE,2025-07-01 14:44:00+00:00,40.395,40.4,40.39,40.39,1089.0,9.0,40.391463
FE,2025-07-01 14:45:00+00:00,40.39,40.41,40.39,40.41,1489.0,8.0,40.397982
FE,2025-07-01 14:46:00+00:00,40.42,40.43,40.42,40.43,204.0,6.0,40.425
FE,2025-07-01 14:47:00+00:00,40.42,40.42,40.41,40.41,276.0,9.0,40.415
FE,2025-07-01 14:49:00+00:00,40.35,40.35,40.35,40.35,101.0,2.0,40.35
FE,2025-07-01 14:50:00+00:00,40.31,40.31,40.31,40.31,198.0,1.0,40.31
FE,2025-07-01 14:51:00+00:00,40.31,40.32,40.29,40.29,900.0,5.0,40.302222
FE,2025-07-01 14:52:00+00:00,40.28,40.28,40.28,40.28,199.0,2.0,40.28
FE,2025-07-01 14:53:00+00:00,40.295,40.295,40.295,40.295,200.0,1.0,40.295
FE,2025-07-01 14:54:00+00:00,40.29,40.31,40.29,40.31,603.0,6.0,40.298333
FE,2025-07-01 14:55:00+00:00,40.32,40.33,40.32,40.32,505.0,6.0,40.326
FE,2025-07-01 14:56:00+00:00,40.33,40.34,40.33,40.33,500.0,5.0,40.334
FE,2025-07-01 14:57:00+00:00,40.345,40.35,40.34,40.34,800.0,5.0,40.344375
FE,2025-07-01 14:58:00+00:00,40.35,40.36,40.35,40.36,1100.0,6.0,40.359091
FE,2025-07-01 14:59:00+00:00,40.37,40.37,40.37,40.37,440.0,7.0,40.37
FE,2025-07-01 15:00:00+00:00,40.37,40.39,40.37,40.39,593.0,2.0,40.386627
FE,2025-07-01 15:01:00+00:00,40.4,40.41,40.395,40.395,361.0,4.0,40.403017
FE,2025-07-01 15:02:00+00:00,40.39,40.42,40.39,40.42,2037.0,15.0,40.402143
FE,2025-07-01 15:03:00+00:00,40.41,40.42,40.41,40.42,901.0,6.0,40.411111
FE,2025-07-01 15:04:00+00:00,40.42,40.42,40.42,40.42,198.0,5.0,40.42
