symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FI,2025-07-01 13:30:00+00:00,171.595,171.595,171.595,171.595,143.0,6.0,171.595
FI,2025-07-01 13:31:00+00:00,171.595,171.655,171.54,171.655,1112.0,36.0,171.597755
FI,2025-07-01 13:32:00+00:00,171.74,171.74,171.585,171.67,896.0,19.0,171.655
FI,2025-07-01 13:33:00+00:00,171.155,171.215,171.155,171.215,689.0,14.0,171.17
FI,2025-07-01 13:34:00+00:00,171.32,171.555,171.32,171.555,1224.0,20.0,171.495366
FI,2025-07-01 13:35:00+00:00,171.705,171.705,171.695,171.695,330.0,6.0,171.7
FI,2025-07-01 13:36:00+00:00,171.415,171.415,171.38,171.38,1098.0,18.0,171.405
FI,2025-07-01 13:37:00+00:00,171.41,171.5,171.295,171.305,805.0,16.0,171.365
FI,2025-07-01 13:38:00+00:00,171.3,171.3,171.3,171.3,100.0,1.0,171.3
FI,2025-07-01 13:39:00+00:00,171.45,171.55,171.45,171.55,327.0,5.0,171.5
FI,2025-07-01 13:40:00+00:00,171.63,171.63,171.63,171.63,100.0,1.0,171.63
FI,2025-07-01 13:41:00+00:00,171.74,171.74,171.65,171.65,890.0,18.0,171.7
FI,2025-07-01 13:42:00+00:00,171.51,171.51,171.415,171.505,1109.0,17.0,171.46881
FI,2025-07-01 13:43:00+00:00,171.66,171.66,171.615,171.615,300.0,3.0,171.635179
FI,2025-07-01 13:44:00+00:00,171.605,171.605,171.605,171.605,156.0,3.0,171.605
FI,2025-07-01 13:45:00+00:00,171.77,171.77,171.77,171.77,138.0,2.0,171.77
FI,2025-07-01 13:46:00+00:00,171.85,171.85,171.85,171.85,111.0,2.0,171.85
FI,2025-07-01 13:47:00+00:00,171.9,171.9,171.69,171.69,360.0,3.0,171.76
FI,2025-07-01 13:48:00+00:00,171.45,171.475,171.45,171.475,615.0,5.0,171.458333
FI,2025-07-01 13:49:00+00:00,171.52,171.52,171.52,171.52,331.0,5.0,171.52
FI,2025-07-01 13:50:00+00:00,171.48,171.48,170.9,170.91,3376.0,33.0,171.048003
FI,2025-07-01 13:51:00+00:00,170.91,170.92,170.91,170.91,1908.0,19.0,170.91281
FI,2025-07-01 13:52:00+00:00,170.94,171.5,170.94,171.5,4757.0,40.0,171.053375
FI,2025-07-01 13:53:00+00:00,171.51,171.51,171.51,171.51,300.0,2.0,171.51
FI,2025-07-01 13:54:00+00:00,171.505,171.51,171.505,171.505,501.0,5.0,171.506
FI,2025-07-01 13:55:00+00:00,171.43,171.43,171.37,171.405,370.0,11.0,171.399688
FI,2025-07-01 13:56:00+00:00,171.37,171.42,171.37,171.4,1054.0,14.0,171.400854
FI,2025-07-01 13:57:00+00:00,171.3,171.31,171.29,171.31,775.0,7.0,171.304286
FI,2025-07-01 13:59:00+00:00,171.27,171.27,171.06,171.06,1596.0,20.0,171.150064
FI,2025-07-01 14:00:00+00:00,171.125,171.365,171.12,171.285,618.0,9.0,171.215833
FI,2025-07-01 14:02:00+00:00,171.175,171.175,171.175,171.175,320.0,4.0,171.175
FI,2025-07-01 14:03:00+00:00,171.145,171.265,171.145,171.265,353.0,7.0,171.205
