symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FRT,2025-07-01 13:39:00+00:00,93.815,93.815,93.815,93.815,154.0,2.0,93.815
FRT,2025-07-01 13:41:00+00:00,93.85,93.85,93.85,93.85,100.0,1.0,93.85
FRT,2025-07-01 13:43:00+00:00,93.805,93.805,93.805,93.805,100.0,1.0,93.805
FRT,2025-07-01 13:46:00+00:00,93.9,93.9,93.9,93.9,211.0,2.0,93.9
FRT,2025-07-01 13:48:00+00:00,93.87,93.87,93.87,93.87,100.0,1.0,93.87
FRT,2025-07-01 13:50:00+00:00,94.02,94.02,94.02,94.02,100.0,1.0,94.02
FRT,2025-07-01 13:51:00+00:00,93.995,93.995,93.995,93.995,599.0,2.0,93.995
FRT,2025-07-01 13:52:00+00:00,94.045,94.045,94.045,94.045,100.0,1.0,94.045
FRT,2025-07-01 13:53:00+00:00,93.96,93.96,93.96,93.96,138.0,2.0,93.96
FRT,2025-07-01 13:54:00+00:00,93.88,93.88,93.88,93.88,138.0,2.0,93.88
FRT,2025-07-01 13:58:00+00:00,93.82,93.82,93.82,93.82,100.0,1.0,93.82
FRT,2025-07-01 14:07:00+00:00,93.92,93.95,93.92,93.95,463.0,9.0,93.933393
FRT,2025-07-01 14:15:00+00:00,94.04,94.04,94.04,94.04,119.0,2.0,94.04
FRT,2025-07-01 14:34:00+00:00,94.78,94.78,94.78,94.78,500.0,1.0,94.78
FRT,2025-07-01 14:37:00+00:00,94.885,94.885,94.885,94.885,102.0,2.0,94.885
FRT,2025-07-01 14:39:00+00:00,94.99,94.99,94.99,94.99,319.0,6.0,94.99
FRT,2025-07-01 14:48:00+00:00,95.095,95.095,95.095,95.095,256.0,6.0,95.095
FRT,2025-07-01 14:54:00+00:00,95.135,95.135,95.135,95.135,100.0,1.0,95.135
FRT,2025-07-01 15:00:00+00:00,95.07,95.07,95.07,95.07,100.0,1.0,95.07
FRT,2025-07-01 15:05:00+00:00,95.26,95.26,95.26,95.26,132.0,2.0,95.26
FRT,2025-07-01 15:07:00+00:00,95.34,95.34,95.33,95.33,200.0,2.0,95.335
FRT,2025-07-01 15:12:00+00:00,95.5,95.5,95.5,95.5,100.0,1.0,95.5
FRT,2025-07-01 15:18:00+00:00,95.56,95.56,95.56,95.56,100.0,1.0,95.56
FRT,2025-07-01 15:20:00+00:00,95.585,95.585,95.585,95.585,100.0,1.0,95.585
FRT,2025-07-01 15:22:00+00:00,95.59,95.59,95.58,95.58,204.0,3.0,95.585
FRT,2025-07-01 15:36:00+00:00,95.38,95.41,95.38,95.41,341.0,6.0,95.39
FRT,2025-07-01 15:56:00+00:00,95.36,95.36,95.36,95.36,125.0,3.0,95.36
FRT,2025-07-01 15:58:00+00:00,95.44,95.44,95.44,95.44,171.0,6.0,95.44
FRT,2025-07-01 16:01:00+00:00,95.6,95.6,95.6,95.6,100.0,1.0,95.6
FRT,2025-07-01 16:04:00+00:00,95.72,95.72,95.72,95.72,104.0,2.0,95.72
FRT,2025-07-01 16:07:00+00:00,95.78,95.79,95.78,95.79,878.0,12.0,95.788571
FRT,2025-07-01 16:08:00+00:00,95.88,95.88,95.825,95.825,336.0,5.0,95.8525
FRT,2025-07-01 16:09:00+00:00,95.87,95.87,95.87,95.87,179.0,2.0,95.87
FRT,2025-07-01 16:10:00+00:00,95.8,95.8,95.8,95.8,110.0,2.0,95.8
FRT,2025-07-01 16:11:00+00:00,95.75,95.77,95.75,95.77,560.0,7.0,95.76
FRT,2025-07-01 16:16:00+00:00,95.86,95.86,95.86,95.86,200.0,2.0,95.86
FRT,2025-07-01 16:18:00+00:00,95.9,95.9,95.9,95.9,150.0,2.0,95.9
FRT,2025-07-01 16:19:00+00:00,95.9,95.9,95.9,95.9,214.0,3.0,95.9
FRT,2025-07-01 16:20:00+00:00,95.905,95.91,95.905,95.91,212.0,5.0,95.9075
FRT,2025-07-01 16:23:00+00:00,95.88,95.88,95.88,95.88,580.0,11.0,95.88
FRT,2025-07-01 16:27:00+00:00,95.88,95.88,95.88,95.88,100.0,1.0,95.88
FRT,2025-07-01 16:35:00+00:00,95.81,95.81,95.81,95.81,239.0,6.0,95.81
FRT,2025-07-01 16:38:00+00:00,95.85,95.85,95.85,95.85,131.0,5.0,95.85
FRT,2025-07-01 16:43:00+00:00,95.43,95.43,95.43,95.43,224.0,1.0,95.43
FRT,2025-07-01 16:44:00+00:00,95.3,95.3,95.3,95.3,324.0,8.0,95.3
FRT,2025-07-01 16:50:00+00:00,95.27,95.27,95.27,95.27,760.0,9.0,95.27
FRT,2025-07-01 17:04:00+00:00,95.01,95.01,95.01,95.01,102.0,2.0,95.01
FRT,2025-07-01 17:05:00+00:00,94.92,94.92,94.92,94.92,241.0,4.0,94.92
FRT,2025-07-01 17:23:00+00:00,94.995,94.995,94.995,94.995,100.0,1.0,94.995
FRT,2025-07-01 17:43:00+00:00,94.84,94.84,94.84,94.84,173.0,7.0,94.84
FRT,2025-07-01 17:44:00+00:00,94.88,94.88,94.88,94.88,294.0,3.0,94.88
FRT,2025-07-01 18:05:00+00:00,94.61,94.61,94.61,94.61,100.0,1.0,94.61
FRT,2025-07-01 18:22:00+00:00,94.75,94.75,94.75,94.75,100.0,1.0,94.75
FRT,2025-07-01 18:24:00+00:00,94.745,94.745,94.745,94.745,160.0,2.0,94.745
FRT,2025-07-01 18:28:00+00:00,94.75,94.75,94.75,94.75,238.0,6.0,94.75
FRT,2025-07-01 18:30:00+00:00,94.73,94.73,94.73,94.73,100.0,1.0,94.73
FRT,2025-07-01 18:34:00+00:00,94.75,94.79,94.75,94.79,211.0,8.0,94.77
FRT,2025-07-01 18:39:00+00:00,94.71,94.71,94.71,94.71,202.0,3.0,94.71
FRT,2025-07-01 18:42:00+00:00,94.69,94.695,94.69,94.695,1003.0,19.0,94.692585
FRT,2025-07-01 18:43:00+00:00,94.7,94.7,94.7,94.7,134.0,2.0,94.7
FRT,2025-07-01 18:50:00+00:00,94.76,94.76,94.76,94.76,179.0,9.0,94.76
FRT,2025-07-01 18:51:00+00:00,94.775,94.775,94.775,94.775,137.0,4.0,94.775
