symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GEHC,2025-07-01 13:30:00+00:00,73.735,73.89,73.735,73.89,537.0,6.0,73.797
GEHC,2025-07-01 13:33:00+00:00,73.97,73.97,73.97,73.97,229.0,4.0,73.97
GEHC,2025-07-01 13:35:00+00:00,74.0,74.0,74.0,74.0,100.0,1.0,74.0
GEHC,2025-07-01 13:36:00+00:00,73.99,73.99,73.99,73.99,100.0,1.0,73.99
GEHC,2025-07-01 13:37:00+00:00,74.14,74.14,74.14,74.14,117.0,2.0,74.14
GEHC,2025-07-01 13:38:00+00:00,74.015,74.015,74.015,74.015,110.0,2.0,74.015
GEHC,2025-07-01 13:42:00+00:00,74.105,74.105,74.105,74.105,105.0,2.0,74.105
GEHC,2025-07-01 13:47:00+00:00,74.055,74.055,74.055,74.055,138.0,2.0,74.055
GEHC,2025-07-01 13:49:00+00:00,74.025,74.025,74.025,74.025,400.0,6.0,74.025
GEHC,2025-07-01 13:51:00+00:00,74.11,74.11,74.11,74.11,350.0,6.0,74.11
GEHC,2025-07-01 13:58:00+00:00,74.095,74.095,74.095,74.095,101.0,2.0,74.095
GEHC,2025-07-01 13:59:00+00:00,74.105,74.105,74.105,74.105,146.0,3.0,74.105
GEHC,2025-07-01 14:01:00+00:00,74.045,74.045,74.045,74.045,134.0,3.0,74.045
GEHC,2025-07-01 14:02:00+00:00,74.155,74.155,74.155,74.155,101.0,2.0,74.155
GEHC,2025-07-01 14:04:00+00:00,74.42,74.42,74.42,74.42,101.0,2.0,74.42
GEHC,2025-07-01 14:06:00+00:00,74.43,74.43,74.43,74.43,140.0,3.0,74.43
GEHC,2025-07-01 14:07:00+00:00,74.26,74.26,74.26,74.26,100.0,1.0,74.26
GEHC,2025-07-01 14:09:00+00:00,74.26,74.26,74.23,74.23,204.0,4.0,74.245
GEHC,2025-07-01 14:11:00+00:00,74.37,74.37,74.37,74.37,119.0,3.0,74.37
GEHC,2025-07-01 14:13:00+00:00,74.41,74.41,74.41,74.41,163.0,6.0,74.41
GEHC,2025-07-01 14:15:00+00:00,74.41,74.41,74.41,74.41,105.0,2.0,74.41
GEHC,2025-07-01 14:16:00+00:00,74.43,74.43,74.43,74.43,100.0,1.0,74.43
GEHC,2025-07-01 14:18:00+00:00,74.44,74.44,74.44,74.44,107.0,2.0,74.44
GEHC,2025-07-01 14:19:00+00:00,74.41,74.41,74.41,74.41,232.0,4.0,74.41
GEHC,2025-07-01 14:20:00+00:00,74.49,74.49,74.49,74.49,144.0,7.0,74.49
GEHC,2025-07-01 14:21:00+00:00,74.43,74.49,74.43,74.49,600.0,3.0,74.446667
GEHC,2025-07-01 14:22:00+00:00,74.565,74.565,74.565,74.565,125.0,4.0,74.565
GEHC,2025-07-01 14:23:00+00:00,74.54,74.54,74.54,74.54,163.0,4.0,74.54
GEHC,2025-07-01 14:24:00+00:00,74.46,74.46,74.46,74.46,115.0,4.0,74.46
GEHC,2025-07-01 14:25:00+00:00,74.485,74.485,74.485,74.485,224.0,5.0,74.485
GEHC,2025-07-01 14:26:00+00:00,74.55,74.55,74.55,74.55,105.0,2.0,74.55
GEHC,2025-07-01 14:28:00+00:00,74.55,74.56,74.55,74.56,352.0,15.0,74.555
GEHC,2025-07-01 14:30:00+00:00,74.67,74.67,74.67,74.67,100.0,1.0,74.67
