symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GEN,2025-07-01 13:30:00+00:00,29.42,29.485,29.42,29.45,2868.0,18.0,29.457054
GEN,2025-07-01 13:31:00+00:00,29.44,29.44,29.44,29.44,150.0,1.0,29.44
GEN,2025-07-01 13:32:00+00:00,29.495,29.55,29.495,29.55,861.0,9.0,29.512442
GEN,2025-07-01 13:33:00+00:00,29.55,29.55,29.54,29.55,401.0,6.0,29.546667
GEN,2025-07-01 13:34:00+00:00,29.58,29.58,29.57,29.57,530.0,8.0,29.5775
GEN,2025-07-01 13:35:00+00:00,29.58,29.58,29.58,29.58,120.0,3.0,29.58
GEN,2025-07-01 13:37:00+00:00,29.63,29.63,29.62,29.62,1001.0,9.0,29.625
GEN,2025-07-01 13:38:00+00:00,29.62,29.62,29.57,29.57,1900.0,13.0,29.615135
GEN,2025-07-01 13:40:00+00:00,29.58,29.58,29.58,29.58,101.0,2.0,29.58
GEN,2025-07-01 13:41:00+00:00,29.59,29.59,29.59,29.59,130.0,4.0,29.59
GEN,2025-07-01 13:43:00+00:00,29.63,29.63,29.62,29.62,774.0,11.0,29.625
GEN,2025-07-01 13:46:00+00:00,29.56,29.56,29.56,29.56,187.0,5.0,29.56
GEN,2025-07-01 13:47:00+00:00,29.56,29.56,29.56,29.56,201.0,4.0,29.56
GEN,2025-07-01 13:49:00+00:00,29.59,29.59,29.59,29.59,100.0,1.0,29.59
GEN,2025-07-01 13:50:00+00:00,29.59,29.59,29.58,29.59,869.0,8.0,29.585397
GEN,2025-07-01 13:51:00+00:00,29.595,29.61,29.59,29.61,1570.0,12.0,29.595734
GEN,2025-07-01 13:52:00+00:00,29.62,29.62,29.59,29.59,773.0,10.0,29.605493
GEN,2025-07-01 13:54:00+00:00,29.6,29.6,29.59,29.59,300.0,4.0,29.595
GEN,2025-07-01 13:55:00+00:00,29.595,29.6,29.59,29.59,950.0,9.0,29.594375
GEN,2025-07-01 13:56:00+00:00,29.595,29.61,29.58,29.58,1409.0,11.0,29.5975
GEN,2025-07-01 13:58:00+00:00,29.55,29.55,29.55,29.55,200.0,2.0,29.55
GEN,2025-07-01 14:00:00+00:00,29.54,29.59,29.54,29.59,1435.0,15.0,29.568824
GEN,2025-07-01 14:01:00+00:00,29.59,29.61,29.59,29.61,1989.0,18.0,29.6
GEN,2025-07-01 14:02:00+00:00,29.6,29.6,29.6,29.6,1140.0,11.0,29.6
GEN,2025-07-01 14:03:00+00:00,29.59,29.59,29.585,29.59,616.0,8.0,29.589
GEN,2025-07-01 14:04:00+00:00,29.605,29.605,29.595,29.595,550.0,6.0,29.597016
GEN,2025-07-01 14:05:00+00:00,29.625,29.635,29.625,29.635,464.0,6.0,29.627538
GEN,2025-07-01 14:06:00+00:00,29.64,29.64,29.64,29.64,400.0,6.0,29.64
GEN,2025-07-01 14:07:00+00:00,29.625,29.625,29.62,29.62,200.0,2.0,29.6225
GEN,2025-07-01 14:08:00+00:00,29.61,29.61,29.61,29.61,600.0,6.0,29.61
GEN,2025-07-01 14:09:00+00:00,29.61,29.61,29.6,29.6,382.0,4.0,29.606667
GEN,2025-07-01 14:10:00+00:00,29.59,29.59,29.585,29.585,540.0,8.0,29.588333
GEN,2025-07-01 14:11:00+00:00,29.61,29.61,29.595,29.595,600.0,3.0,29.606667
GEN,2025-07-01 14:13:00+00:00,29.63,29.63,29.63,29.63,163.0,3.0,29.63
GEN,2025-07-01 14:14:00+00:00,29.6,29.6,29.6,29.6,267.0,3.0,29.6
GEN,2025-07-01 14:15:00+00:00,29.61,29.62,29.61,29.62,221.0,3.0,29.615
GEN,2025-07-01 14:16:00+00:00,29.635,29.635,29.635,29.635,104.0,2.0,29.635
GEN,2025-07-01 14:17:00+00:00,29.655,29.665,29.655,29.665,1177.0,12.0,29.662368
GEN,2025-07-01 14:18:00+00:00,29.67,29.67,29.665,29.665,2100.0,10.0,29.665476
GEN,2025-07-01 14:19:00+00:00,29.68,29.68,29.66,29.66,598.0,9.0,29.668
GEN,2025-07-01 14:20:00+00:00,29.65,29.66,29.65,29.66,347.0,4.0,29.653333
GEN,2025-07-01 14:21:00+00:00,29.64,29.645,29.64,29.645,417.0,5.0,29.643333
GEN,2025-07-01 14:22:00+00:00,29.63,29.63,29.63,29.63,245.0,7.0,29.63
