symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HCA,2025-07-01 13:30:00+00:00,383.87,384.13,383.87,384.13,869.0,33.0,384.0
HCA,2025-07-01 13:31:00+00:00,384.265,384.265,384.265,384.265,436.0,13.0,384.265
HCA,2025-07-01 13:32:00+00:00,385.79,385.79,384.4,384.4,1546.0,25.0,385.216178
HCA,2025-07-01 13:36:00+00:00,384.42,384.42,384.42,384.42,100.0,1.0,384.42
HCA,2025-07-01 13:41:00+00:00,384.78,384.78,384.78,384.78,242.0,7.0,384.78
HCA,2025-07-01 13:44:00+00:00,384.75,384.75,384.685,384.685,443.0,14.0,384.7175
HCA,2025-07-01 13:46:00+00:00,384.36,384.36,384.36,384.36,300.0,7.0,384.36
HCA,2025-07-01 13:47:00+00:00,384.815,384.815,384.56,384.56,1047.0,20.0,384.729375
HCA,2025-07-01 13:49:00+00:00,384.14,384.14,384.14,384.14,200.0,2.0,384.14
HCA,2025-07-01 13:51:00+00:00,385.2,385.2,385.2,385.2,272.0,5.0,385.2
HCA,2025-07-01 13:54:00+00:00,385.01,385.01,384.99,384.99,200.0,2.0,385.0
HCA,2025-07-01 13:55:00+00:00,385.24,385.24,384.73,384.73,1496.0,29.0,385.175556
HCA,2025-07-01 13:56:00+00:00,384.46,384.46,384.44,384.44,525.0,10.0,384.45
HCA,2025-07-01 14:00:00+00:00,383.52,383.765,383.52,383.765,201.0,3.0,383.6425
HCA,2025-07-01 14:02:00+00:00,384.21,384.21,384.21,384.21,100.0,1.0,384.21
HCA,2025-07-01 14:03:00+00:00,384.28,384.28,384.28,384.28,101.0,2.0,384.28
HCA,2025-07-01 14:04:00+00:00,384.27,384.27,384.18,384.18,397.0,8.0,384.236667
HCA,2025-07-01 14:05:00+00:00,384.02,384.02,384.02,384.02,250.0,9.0,384.02
HCA,2025-07-01 14:08:00+00:00,384.7,384.7,384.69,384.69,1633.0,28.0,384.699091
HCA,2025-07-01 14:09:00+00:00,384.64,384.64,384.64,384.64,105.0,3.0,384.64
HCA,2025-07-01 14:10:00+00:00,384.77,384.77,384.77,384.77,556.0,27.0,384.77
HCA,2025-07-01 14:13:00+00:00,385.35,385.35,385.35,385.35,201.0,4.0,385.35
HCA,2025-07-01 14:14:00+00:00,385.09,385.09,385.09,385.09,737.0,13.0,385.09
HCA,2025-07-01 14:15:00+00:00,385.09,385.09,384.4,384.4,641.0,17.0,384.86
HCA,2025-07-01 14:20:00+00:00,385.12,385.12,385.09,385.09,500.0,11.0,385.105
HCA,2025-07-01 14:21:00+00:00,385.16,385.16,385.16,385.16,200.0,5.0,385.16
HCA,2025-07-01 14:24:00+00:00,385.38,385.38,385.38,385.38,212.0,6.0,385.38
HCA,2025-07-01 14:25:00+00:00,385.34,385.34,385.34,385.34,725.0,14.0,385.34
HCA,2025-07-01 14:30:00+00:00,386.33,386.53,386.33,386.53,537.0,18.0,386.43
HCA,2025-07-01 14:33:00+00:00,387.19,387.285,387.185,387.22,1531.0,29.0,387.235
HCA,2025-07-01 14:35:00+00:00,387.69,387.69,387.52,387.545,938.0,16.0,387.569
HCA,2025-07-01 14:37:00+00:00,387.595,388.015,387.595,388.01,651.0,10.0,387.929
HCA,2025-07-01 14:38:00+00:00,388.01,388.01,388.01,388.01,215.0,10.0,388.01
HCA,2025-07-01 14:40:00+00:00,387.83,387.83,387.83,387.83,381.0,14.0,387.83
HCA,2025-07-01 14:41:00+00:00,387.96,387.96,387.96,387.96,305.0,4.0,387.96
HCA,2025-07-01 14:44:00+00:00,388.21,388.21,387.97,387.97,487.0,12.0,388.056667
HCA,2025-07-01 14:45:00+00:00,387.99,387.99,387.99,387.99,100.0,1.0,387.99
HCA,2025-07-01 14:47:00+00:00,388.23,388.23,388.23,388.23,233.0,5.0,388.23
HCA,2025-07-01 14:51:00+00:00,388.185,388.185,388.185,388.185,196.0,7.0,388.185
HCA,2025-07-01 14:59:00+00:00,388.355,388.355,388.355,388.355,701.0,8.0,388.355
HCA,2025-07-01 15:00:00+00:00,388.07,388.07,388.05,388.05,339.0,20.0,388.06
HCA,2025-07-01 15:01:00+00:00,388.23,388.23,388.23,388.23,200.0,3.0,388.23
HCA,2025-07-01 15:03:00+00:00,388.39,388.39,388.38,388.38,508.0,13.0,388.385
HCA,2025-07-01 15:04:00+00:00,388.4,388.51,388.4,388.47,395.0,5.0,388.46
HCA,2025-07-01 15:08:00+00:00,388.75,388.75,388.75,388.75,102.0,2.0,388.75
HCA,2025-07-01 15:09:00+00:00,388.97,389.15,388.97,389.15,400.0,4.0,389.105
HCA,2025-07-01 15:10:00+00:00,389.175,389.175,389.03,389.11,825.0,12.0,389.119375
HCA,2025-07-01 15:13:00+00:00,389.6,389.6,389.6,389.6,109.0,4.0,389.6
HCA,2025-07-01 15:17:00+00:00,390.52,390.52,390.52,390.52,150.0,2.0,390.52
HCA,2025-07-01 15:18:00+00:00,390.16,390.16,390.14,390.14,674.0,16.0,390.146667
HCA,2025-07-01 15:19:00+00:00,390.14,390.14,389.79,389.79,1169.0,19.0,389.997143
HCA,2025-07-01 15:20:00+00:00,389.79,389.79,389.79,389.79,210.0,3.0,389.79
HCA,2025-07-01 15:23:00+00:00,389.94,389.94,389.85,389.85,469.0,8.0,389.895
HCA,2025-07-01 15:24:00+00:00,389.81,389.81,389.81,389.81,250.0,6.0,389.81
HCA,2025-07-01 15:25:00+00:00,389.96,389.96,389.96,389.96,101.0,2.0,389.96
HCA,2025-07-01 15:26:00+00:00,389.745,389.745,389.69,389.69,200.0,2.0,389.7175
HCA,2025-07-01 15:27:00+00:00,390.0,390.01,390.0,390.0,462.0,8.0,390.003333
HCA,2025-07-01 15:28:00+00:00,389.96,389.96,389.89,389.89,612.0,8.0,389.908333
HCA,2025-07-01 15:29:00+00:00,390.03,390.03,390.01,390.01,203.0,3.0,390.02
HCA,2025-07-01 15:31:00+00:00,389.785,389.785,389.58,389.58,1530.0,32.0,389.758333
HCA,2025-07-01 15:37:00+00:00,388.64,388.64,388.64,388.64,306.0,5.0,388.64
HCA,2025-07-01 15:41:00+00:00,388.69,388.69,388.69,388.69,114.0,5.0,388.69
HCA,2025-07-01 15:43:00+00:00,388.49,388.53,388.49,388.53,304.0,6.0,388.51
HCA,2025-07-01 15:46:00+00:00,389.07,389.07,389.07,389.07,171.0,3.0,389.07
HCA,2025-07-01 15:48:00+00:00,389.4,389.55,389.29,389.29,2419.0,20.0,389.531193
HCA,2025-07-01 15:49:00+00:00,389.215,389.215,389.215,389.215,100.0,1.0,389.215
HCA,2025-07-01 15:50:00+00:00,387.92,387.92,387.92,387.92,260.0,9.0,387.92
HCA,2025-07-01 15:52:00+00:00,388.425,388.425,388.395,388.395,272.0,4.0,388.41
HCA,2025-07-01 15:53:00+00:00,388.56,388.56,388.56,388.56,200.0,3.0,388.56
HCA,2025-07-01 15:55:00+00:00,388.76,388.875,388.76,388.875,398.0,8.0,388.830769
HCA,2025-07-01 15:57:00+00:00,389.13,389.13,389.115,389.115,617.0,15.0,389.1225
HCA,2025-07-01 15:58:00+00:00,388.81,389.46,388.81,389.46,1500.0,11.0,389.364357
HCA,2025-07-01 16:00:00+00:00,388.87,388.87,388.87,388.87,105.0,2.0,388.87
HCA,2025-07-01 16:01:00+00:00,388.65,388.65,388.65,388.65,102.0,2.0,388.65
HCA,2025-07-01 16:04:00+00:00,389.01,389.03,388.76,388.76,446.0,17.0,388.933333
