symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HLT,2025-07-01 13:30:00+00:00,264.905,264.905,264.905,264.905,231.0,4.0,264.905
HLT,2025-07-01 13:31:00+00:00,265.95,265.95,265.95,265.95,530.0,9.0,265.95
HLT,2025-07-01 13:33:00+00:00,266.775,266.92,266.775,266.8,404.0,5.0,266.825
HLT,2025-07-01 13:34:00+00:00,266.96,267.02,266.96,267.02,562.0,8.0,266.998182
HLT,2025-07-01 13:35:00+00:00,267.32,267.32,267.32,267.32,322.0,5.0,267.32
HLT,2025-07-01 13:36:00+00:00,267.875,267.99,267.58,267.765,1387.0,12.0,267.761012
HLT,2025-07-01 13:37:00+00:00,267.69,267.73,267.69,267.73,594.0,11.0,267.71
HLT,2025-07-01 13:38:00+00:00,267.56,267.56,267.37,267.37,479.0,7.0,267.493099
HLT,2025-07-01 13:39:00+00:00,267.18,267.18,267.18,267.18,276.0,5.0,267.18
HLT,2025-07-01 13:40:00+00:00,267.05,267.17,267.05,267.13,601.0,8.0,267.103333
HLT,2025-07-01 13:41:00+00:00,267.165,267.165,267.165,267.165,289.0,9.0,267.165
HLT,2025-07-01 13:43:00+00:00,267.8,267.81,267.55,267.61,980.0,14.0,267.6925
HLT,2025-07-01 13:44:00+00:00,267.56,267.69,267.56,267.69,650.0,11.0,267.640867
HLT,2025-07-01 13:45:00+00:00,267.74,267.74,267.74,267.74,206.0,4.0,267.74
HLT,2025-07-01 13:47:00+00:00,268.35,268.35,268.35,268.35,220.0,5.0,268.35
HLT,2025-07-01 13:50:00+00:00,268.43,268.43,268.43,268.43,231.0,10.0,268.43
HLT,2025-07-01 13:51:00+00:00,268.57,268.57,268.57,268.57,423.0,9.0,268.57
HLT,2025-07-01 13:54:00+00:00,268.145,268.3,268.145,268.3,698.0,10.0,268.233231
HLT,2025-07-01 13:56:00+00:00,268.43,268.43,268.42,268.42,536.0,7.0,268.427214
HLT,2025-07-01 13:57:00+00:00,268.06,268.06,268.06,268.06,452.0,10.0,268.06
HLT,2025-07-01 13:58:00+00:00,268.25,268.43,268.25,268.43,1106.0,11.0,268.286842
HLT,2025-07-01 13:59:00+00:00,268.42,268.425,268.36,268.36,716.0,9.0,268.409733
HLT,2025-07-01 14:00:00+00:00,268.27,268.58,268.27,268.58,774.0,18.0,268.454494
HLT,2025-07-01 14:03:00+00:00,269.54,269.54,269.045,269.045,1140.0,17.0,269.152718
HLT,2025-07-01 14:04:00+00:00,268.8,268.8,268.8,268.8,229.0,9.0,268.8
HLT,2025-07-01 14:06:00+00:00,268.785,269.12,268.785,269.12,952.0,21.0,268.876142
HLT,2025-07-01 14:09:00+00:00,269.44,269.44,269.44,269.44,145.0,4.0,269.44
HLT,2025-07-01 14:10:00+00:00,268.93,268.93,268.92,268.92,690.0,17.0,268.925
HLT,2025-07-01 14:11:00+00:00,268.93,269.03,268.92,268.92,1089.0,14.0,268.94125
HLT,2025-07-01 14:13:00+00:00,268.97,268.97,268.97,268.97,222.0,5.0,268.97
HLT,2025-07-01 14:15:00+00:00,268.95,269.01,268.95,269.0,1398.0,18.0,268.962627
HLT,2025-07-01 14:16:00+00:00,269.255,269.4,269.12,269.12,1686.0,20.0,269.292108
HLT,2025-07-01 14:18:00+00:00,269.08,269.1,269.01,269.07,711.0,15.0,269.072
HLT,2025-07-01 14:19:00+00:00,268.955,269.01,268.955,269.01,235.0,4.0,268.9825
HLT,2025-07-01 14:20:00+00:00,269.03,269.03,269.02,269.02,200.0,2.0,269.025
HLT,2025-07-01 14:21:00+00:00,269.02,269.025,268.91,268.98,2232.0,23.0,268.980079
HLT,2025-07-01 14:22:00+00:00,268.95,268.95,268.95,268.95,917.0,12.0,268.95
HLT,2025-07-01 14:23:00+00:00,268.975,268.975,268.6,268.62,2664.0,22.0,268.943261
HLT,2025-07-01 14:25:00+00:00,268.48,268.5,268.48,268.5,368.0,9.0,268.49
HLT,2025-07-01 14:26:00+00:00,268.34,268.34,268.34,268.34,222.0,5.0,268.34
HLT,2025-07-01 14:27:00+00:00,268.17,268.17,267.925,267.925,522.0,11.0,268.088333
HLT,2025-07-01 14:29:00+00:00,268.11,268.11,268.11,268.11,259.0,8.0,268.11
HLT,2025-07-01 14:32:00+00:00,268.37,268.37,268.37,268.37,151.0,4.0,268.37
HLT,2025-07-01 14:34:00+00:00,268.27,268.27,268.27,268.27,889.0,15.0,268.27
HLT,2025-07-01 14:35:00+00:00,268.275,268.275,268.275,268.275,101.0,2.0,268.275
HLT,2025-07-01 14:37:00+00:00,268.33,268.33,268.33,268.33,361.0,8.0,268.33
HLT,2025-07-01 14:39:00+00:00,268.225,268.225,268.225,268.225,185.0,6.0,268.225
HLT,2025-07-01 14:40:00+00:00,267.835,267.835,267.835,267.835,237.0,3.0,267.835
HLT,2025-07-01 14:42:00+00:00,267.98,267.98,267.98,267.98,258.0,4.0,267.98
HLT,2025-07-01 14:44:00+00:00,267.66,267.785,267.66,267.785,219.0,5.0,267.7225
HLT,2025-07-01 14:45:00+00:00,267.755,267.755,267.755,267.755,117.0,2.0,267.755
HLT,2025-07-01 14:46:00+00:00,267.72,267.72,267.72,267.72,100.0,1.0,267.72
HLT,2025-07-01 14:47:00+00:00,267.945,267.945,267.945,267.945,230.0,6.0,267.945
HLT,2025-07-01 14:48:00+00:00,267.89,267.9,267.89,267.9,200.0,2.0,267.895
HLT,2025-07-01 14:49:00+00:00,267.63,267.66,267.63,267.66,582.0,11.0,267.6375
HLT,2025-07-01 14:50:00+00:00,267.5,267.59,267.48,267.59,638.0,9.0,267.524
HLT,2025-07-01 14:51:00+00:00,267.87,267.87,267.85,267.85,380.0,9.0,267.86
HLT,2025-07-01 14:55:00+00:00,268.17,268.41,268.17,268.41,709.0,9.0,268.351429
