symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HST,2025-07-01 13:31:00+00:00,15.355,15.355,15.355,15.355,191.0,8.0,15.355
HST,2025-07-01 13:32:00+00:00,15.385,15.385,15.385,15.385,1505.0,11.0,15.385
HST,2025-07-01 13:33:00+00:00,15.37,15.37,15.34,15.34,700.0,8.0,15.365696
HST,2025-07-01 13:35:00+00:00,15.365,15.365,15.365,15.365,103.0,3.0,15.365
HST,2025-07-01 13:36:00+00:00,15.37,15.37,15.37,15.37,402.0,5.0,15.37
HST,2025-07-01 13:37:00+00:00,15.36,15.37,15.36,15.365,1726.0,7.0,15.367173
HST,2025-07-01 13:38:00+00:00,15.34,15.34,15.33,15.34,505.0,9.0,15.334
HST,2025-07-01 13:39:00+00:00,15.35,15.355,15.35,15.355,201.0,3.0,15.3525
HST,2025-07-01 13:40:00+00:00,15.36,15.36,15.36,15.36,302.0,4.0,15.36
HST,2025-07-01 13:41:00+00:00,15.395,15.4,15.385,15.385,1443.0,13.0,15.391431
HST,2025-07-01 13:42:00+00:00,15.38,15.39,15.38,15.39,435.0,8.0,15.383333
HST,2025-07-01 13:43:00+00:00,15.395,15.395,15.39,15.39,497.0,8.0,15.393333
HST,2025-07-01 13:44:00+00:00,15.375,15.38,15.36,15.36,1607.0,21.0,15.371923
HST,2025-07-01 13:45:00+00:00,15.37,15.39,15.37,15.39,1228.0,16.0,15.378333
HST,2025-07-01 13:46:00+00:00,15.385,15.39,15.38,15.38,1615.0,20.0,15.385357
HST,2025-07-01 13:47:00+00:00,15.4,15.4,15.38,15.38,1105.0,12.0,15.390455
HST,2025-07-01 13:48:00+00:00,15.39,15.4,15.39,15.4,1102.0,10.0,15.397273
HST,2025-07-01 13:49:00+00:00,15.41,15.42,15.41,15.42,837.0,10.0,15.415714
HST,2025-07-01 13:50:00+00:00,15.425,15.425,15.425,15.425,142.0,3.0,15.425
HST,2025-07-01 13:51:00+00:00,15.435,15.435,15.435,15.435,195.0,2.0,15.435
HST,2025-07-01 13:52:00+00:00,15.465,15.465,15.44,15.44,711.0,6.0,15.46
HST,2025-07-01 13:53:00+00:00,15.445,15.445,15.445,15.445,103.0,3.0,15.445
HST,2025-07-01 13:55:00+00:00,15.44,15.44,15.42,15.42,604.0,11.0,15.436
HST,2025-07-01 13:57:00+00:00,15.43,15.43,15.43,15.43,274.0,4.0,15.43
HST,2025-07-01 13:58:00+00:00,15.435,15.435,15.43,15.435,1273.0,7.0,15.433
HST,2025-07-01 13:59:00+00:00,15.44,15.44,15.44,15.44,223.0,5.0,15.44
HST,2025-07-01 14:00:00+00:00,15.43,15.445,15.43,15.445,358.0,5.0,15.438151
HST,2025-07-01 14:02:00+00:00,15.455,15.455,15.45,15.45,600.0,6.0,15.450833
HST,2025-07-01 14:03:00+00:00,15.46,15.46,15.45,15.45,750.0,7.0,15.451429
HST,2025-07-01 14:05:00+00:00,15.46,15.48,15.46,15.48,529.0,9.0,15.465
HST,2025-07-01 14:06:00+00:00,15.47,15.47,15.47,15.47,682.0,7.0,15.47
HST,2025-07-01 14:07:00+00:00,15.48,15.48,15.48,15.48,102.0,2.0,15.48
HST,2025-07-01 14:08:00+00:00,15.465,15.465,15.465,15.465,100.0,1.0,15.465
HST,2025-07-01 14:10:00+00:00,15.465,15.465,15.46,15.46,300.0,3.0,15.463333
HST,2025-07-01 14:11:00+00:00,15.48,15.48,15.47,15.47,505.0,4.0,15.475
HST,2025-07-01 14:12:00+00:00,15.475,15.475,15.475,15.475,100.0,1.0,15.475
HST,2025-07-01 14:13:00+00:00,15.485,15.485,15.485,15.485,370.0,4.0,15.485
HST,2025-07-01 14:14:00+00:00,15.485,15.485,15.485,15.485,100.0,1.0,15.485
HST,2025-07-01 14:15:00+00:00,15.475,15.48,15.475,15.48,2642.0,18.0,15.477041
HST,2025-07-01 14:17:00+00:00,15.485,15.49,15.485,15.49,1700.0,12.0,15.489412
HST,2025-07-01 14:18:00+00:00,15.505,15.505,15.505,15.505,100.0,1.0,15.505
HST,2025-07-01 14:19:00+00:00,15.51,15.51,15.51,15.51,100.0,1.0,15.51
HST,2025-07-01 14:21:00+00:00,15.52,15.525,15.515,15.525,1304.0,8.0,15.51778
HST,2025-07-01 14:22:00+00:00,15.54,15.545,15.54,15.54,489.0,4.0,15.5425
HST,2025-07-01 14:23:00+00:00,15.545,15.555,15.54,15.555,497.0,5.0,15.54625
HST,2025-07-01 14:24:00+00:00,15.57,15.57,15.565,15.565,1591.0,5.0,15.565318
HST,2025-07-01 14:25:00+00:00,15.56,15.56,15.56,15.56,1043.0,8.0,15.56
HST,2025-07-01 14:26:00+00:00,15.565,15.58,15.565,15.58,301.0,3.0,15.570119
HST,2025-07-01 14:27:00+00:00,15.58,15.58,15.57,15.57,637.0,7.0,15.5725
HST,2025-07-01 14:29:00+00:00,15.57,15.57,15.57,15.57,913.0,9.0,15.57
HST,2025-07-01 14:30:00+00:00,15.56,15.575,15.56,15.575,1350.0,12.0,15.568846
HST,2025-07-01 14:31:00+00:00,15.58,15.58,15.58,15.58,200.0,2.0,15.58
HST,2025-07-01 14:34:00+00:00,15.6,15.6,15.6,15.6,225.0,4.0,15.6
HST,2025-07-01 14:35:00+00:00,15.59,15.595,15.59,15.595,2289.0,9.0,15.593409
HST,2025-07-01 14:37:00+00:00,15.6,15.6,15.59,15.59,1242.0,7.0,15.599091
HST,2025-07-01 14:38:00+00:00,15.61,15.61,15.61,15.61,1993.0,11.0,15.61
HST,2025-07-01 14:39:00+00:00,15.62,15.625,15.62,15.625,700.0,5.0,15.620714
HST,2025-07-01 14:40:00+00:00,15.61,15.61,15.61,15.61,400.0,3.0,15.61
HST,2025-07-01 14:41:00+00:00,15.63,15.63,15.63,15.63,530.0,4.0,15.63
HST,2025-07-01 14:42:00+00:00,15.635,15.64,15.635,15.64,739.0,8.0,15.638333
HST,2025-07-01 14:43:00+00:00,15.63,15.63,15.63,15.63,100.0,1.0,15.63
HST,2025-07-01 14:44:00+00:00,15.645,15.645,15.645,15.645,277.0,3.0,15.645
HST,2025-07-01 14:45:00+00:00,15.62,15.63,15.62,15.63,777.0,5.0,15.628571
HST,2025-07-01 14:46:00+00:00,15.65,15.66,15.645,15.66,1201.0,7.0,15.65125
HST,2025-07-01 14:47:00+00:00,15.655,15.655,15.655,15.655,300.0,2.0,15.655
HST,2025-07-01 14:48:00+00:00,15.655,15.655,15.655,15.655,1200.0,5.0,15.655
HST,2025-07-01 14:49:00+00:00,15.665,15.67,15.665,15.67,200.0,2.0,15.6675
HST,2025-07-01 14:50:00+00:00,15.665,15.675,15.66,15.675,1405.0,8.0,15.666852
HST,2025-07-01 14:53:00+00:00,15.675,15.69,15.675,15.69,1102.0,7.0,15.681874
HST,2025-07-01 14:54:00+00:00,15.7,15.705,15.7,15.705,503.0,4.0,15.701382
HST,2025-07-01 14:55:00+00:00,15.71,15.72,15.71,15.72,1096.0,6.0,15.714052
HST,2025-07-01 14:56:00+00:00,15.745,15.77,15.745,15.76,1016.0,14.0,15.761
HST,2025-07-01 14:58:00+00:00,15.77,15.77,15.77,15.77,942.0,7.0,15.77
HST,2025-07-01 14:59:00+00:00,15.775,15.775,15.775,15.775,1524.0,2.0,15.775
HST,2025-07-01 15:00:00+00:00,15.77,15.775,15.765,15.775,1732.0,11.0,15.770294
HST,2025-07-01 15:01:00+00:00,15.79,15.79,15.79,15.79,1201.0,6.0,15.79
HST,2025-07-01 15:04:00+00:00,15.8,15.81,15.8,15.81,1660.0,15.0,15.80875
HST,2025-07-01 15:06:00+00:00,15.84,15.845,15.84,15.845,519.0,5.0,15.843998
HST,2025-07-01 15:07:00+00:00,15.84,15.84,15.81,15.81,832.0,6.0,15.818125
