symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HSY,2025-07-01 13:30:00+00:00,166.04,166.04,166.04,166.04,186.0,5.0,166.04
HSY,2025-07-01 13:31:00+00:00,167.78,168.06,167.78,168.06,376.0,5.0,167.946667
HSY,2025-07-01 13:32:00+00:00,168.35,168.65,168.35,168.575,650.0,5.0,168.550833
HSY,2025-07-01 13:35:00+00:00,170.2,170.2,170.2,170.2,123.0,5.0,170.2
HSY,2025-07-01 13:36:00+00:00,169.17,169.17,169.17,169.17,212.0,6.0,169.17
HSY,2025-07-01 13:38:00+00:00,169.765,169.765,169.765,169.765,107.0,3.0,169.765
HSY,2025-07-01 13:39:00+00:00,170.09,170.09,170.075,170.075,200.0,2.0,170.0825
HSY,2025-07-01 13:40:00+00:00,170.5,170.515,170.455,170.455,300.0,3.0,170.49
HSY,2025-07-01 13:42:00+00:00,170.725,170.725,170.59,170.59,310.0,4.0,170.68
HSY,2025-07-01 13:43:00+00:00,170.66,170.92,170.66,170.92,303.0,4.0,170.833333
HSY,2025-07-01 13:46:00+00:00,170.66,170.66,170.66,170.66,100.0,1.0,170.66
HSY,2025-07-01 13:47:00+00:00,170.695,170.695,170.635,170.635,1202.0,12.0,170.683901
HSY,2025-07-01 13:48:00+00:00,170.67,170.735,170.67,170.735,717.0,11.0,170.725071
HSY,2025-07-01 13:49:00+00:00,170.79,170.875,170.79,170.85,1555.0,19.0,170.852648
HSY,2025-07-01 13:51:00+00:00,171.05,171.05,171.05,171.05,368.0,6.0,171.05
HSY,2025-07-01 13:52:00+00:00,171.18,171.22,171.17,171.17,435.0,7.0,171.185
HSY,2025-07-01 13:53:00+00:00,171.175,171.2,171.175,171.18,870.0,13.0,171.181429
HSY,2025-07-01 13:54:00+00:00,171.3,171.33,171.3,171.3,505.0,8.0,171.31
HSY,2025-07-01 13:57:00+00:00,170.705,170.705,170.705,170.705,152.0,3.0,170.705
HSY,2025-07-01 14:00:00+00:00,169.895,169.935,169.895,169.895,940.0,10.0,169.912143
HSY,2025-07-01 14:01:00+00:00,170.9,170.9,170.9,170.9,238.0,2.0,170.9
HSY,2025-07-01 14:02:00+00:00,170.96,170.96,170.96,170.96,430.0,3.0,170.96
HSY,2025-07-01 14:04:00+00:00,170.965,170.965,170.965,170.965,105.0,2.0,170.965
HSY,2025-07-01 14:05:00+00:00,171.0,171.0,170.85,170.995,650.0,7.0,170.964246
HSY,2025-07-01 14:06:00+00:00,171.1,171.1,171.1,171.1,162.0,4.0,171.1
HSY,2025-07-01 14:07:00+00:00,171.3,171.305,171.3,171.305,1353.0,13.0,171.30375
HSY,2025-07-01 14:09:00+00:00,171.33,171.46,171.305,171.46,1264.0,16.0,171.343235
HSY,2025-07-01 14:10:00+00:00,171.475,171.475,171.45,171.45,404.0,5.0,171.45625
