symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HWM,2025-07-01 13:30:00+00:00,184.325,184.42,183.89,184.42,2556.0,29.0,184.316686
HWM,2025-07-01 13:31:00+00:00,185.07,185.125,185.07,185.125,876.0,13.0,185.088519
HWM,2025-07-01 13:32:00+00:00,185.445,185.445,185.445,185.445,529.0,12.0,185.445
HWM,2025-07-01 13:34:00+00:00,185.35,185.35,185.35,185.35,248.0,4.0,185.35
HWM,2025-07-01 13:35:00+00:00,185.175,185.335,185.1,185.1,6010.0,48.0,185.185445
HWM,2025-07-01 13:36:00+00:00,185.055,185.26,185.055,185.26,340.0,5.0,185.123333
HWM,2025-07-01 13:37:00+00:00,184.82,184.82,184.82,184.82,804.0,10.0,184.82
HWM,2025-07-01 13:39:00+00:00,184.96,185.08,184.96,185.08,500.0,6.0,185.01
HWM,2025-07-01 13:42:00+00:00,185.105,185.105,185.105,185.105,200.0,2.0,185.105
HWM,2025-07-01 13:43:00+00:00,185.095,185.29,185.095,185.11,1319.0,11.0,185.175433
HWM,2025-07-01 13:44:00+00:00,185.07,185.07,185.07,185.07,133.0,3.0,185.07
HWM,2025-07-01 13:45:00+00:00,185.27,185.295,185.27,185.295,327.0,5.0,185.2825
HWM,2025-07-01 13:46:00+00:00,185.31,185.36,185.305,185.36,301.0,4.0,185.325
HWM,2025-07-01 13:47:00+00:00,185.4,185.405,185.37,185.405,678.0,11.0,185.397141
HWM,2025-07-01 13:49:00+00:00,185.265,185.265,185.265,185.265,209.0,4.0,185.265
HWM,2025-07-01 13:50:00+00:00,185.37,185.37,185.32,185.32,516.0,11.0,185.345
HWM,2025-07-01 13:51:00+00:00,185.24,185.5,185.24,185.5,1197.0,11.0,185.307
HWM,2025-07-01 13:52:00+00:00,185.68,185.74,185.68,185.74,231.0,5.0,185.71
HWM,2025-07-01 13:53:00+00:00,185.8,185.87,185.8,185.87,783.0,19.0,185.835
HWM,2025-07-01 13:54:00+00:00,185.82,185.82,185.82,185.82,470.0,7.0,185.82
HWM,2025-07-01 13:55:00+00:00,185.955,185.955,185.955,185.955,263.0,9.0,185.955
HWM,2025-07-01 13:56:00+00:00,186.01,186.08,186.01,186.08,791.0,10.0,186.057124
HWM,2025-07-01 13:57:00+00:00,185.9,185.9,185.9,185.9,157.0,3.0,185.9
HWM,2025-07-01 13:58:00+00:00,185.82,185.84,185.82,185.84,415.0,8.0,185.832126
HWM,2025-07-01 13:59:00+00:00,185.845,185.845,185.72,185.72,2593.0,33.0,185.781738
HWM,2025-07-01 14:00:00+00:00,185.89,185.95,185.89,185.95,494.0,10.0,185.92
HWM,2025-07-01 14:01:00+00:00,186.185,186.275,186.185,186.265,1856.0,16.0,186.253315
HWM,2025-07-01 14:02:00+00:00,186.09,186.09,186.09,186.09,926.0,11.0,186.09
HWM,2025-07-01 14:03:00+00:00,186.09,186.09,186.09,186.09,944.0,17.0,186.09
HWM,2025-07-01 14:04:00+00:00,185.965,185.97,185.965,185.97,300.0,4.0,185.9675
HWM,2025-07-01 14:07:00+00:00,186.01,186.03,186.01,186.03,548.0,7.0,186.023333
HWM,2025-07-01 14:08:00+00:00,185.9,185.9,185.9,185.9,351.0,8.0,185.9
HWM,2025-07-01 14:09:00+00:00,185.755,185.755,185.755,185.755,131.0,2.0,185.755
HWM,2025-07-01 14:10:00+00:00,185.62,185.62,185.62,185.62,175.0,2.0,185.62
HWM,2025-07-01 14:12:00+00:00,185.47,185.49,185.46,185.46,420.0,5.0,185.47
HWM,2025-07-01 14:13:00+00:00,185.4,185.485,185.4,185.485,372.0,6.0,185.4425
HWM,2025-07-01 14:15:00+00:00,185.405,185.42,185.405,185.42,236.0,4.0,185.4125
HWM,2025-07-01 14:17:00+00:00,185.315,185.315,185.175,185.175,534.0,9.0,185.205862
HWM,2025-07-01 14:18:00+00:00,185.07,185.08,185.065,185.08,1208.0,18.0,185.070708
HWM,2025-07-01 14:19:00+00:00,184.9,184.965,184.875,184.965,2291.0,22.0,184.901309
HWM,2025-07-01 14:20:00+00:00,184.89,184.89,184.735,184.735,2201.0,25.0,184.835542
HWM,2025-07-01 14:21:00+00:00,184.73,184.73,184.185,184.19,4712.0,68.0,184.525197
HWM,2025-07-01 14:22:00+00:00,184.14,184.25,183.95,184.01,1360.0,24.0,184.114444
HWM,2025-07-01 14:23:00+00:00,183.485,183.51,182.86,183.28,2587.0,32.0,183.242619
HWM,2025-07-01 14:24:00+00:00,183.25,183.46,183.25,183.45,799.0,15.0,183.3575
HWM,2025-07-01 14:26:00+00:00,183.84,183.84,183.84,183.84,481.0,17.0,183.84
HWM,2025-07-01 14:27:00+00:00,184.15,184.15,183.975,183.975,981.0,7.0,184.088025
