symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IPG,2025-07-01 13:33:00+00:00,24.66,24.66,24.66,24.66,1100.0,3.0,24.66
IPG,2025-07-01 13:34:00+00:00,24.63,24.68,24.63,24.68,307.0,5.0,24.646667
IPG,2025-07-01 13:35:00+00:00,24.66,24.67,24.655,24.66,1200.0,5.0,24.659583
IPG,2025-07-01 13:36:00+00:00,24.685,24.685,24.685,24.685,100.0,1.0,24.685
IPG,2025-07-01 13:37:00+00:00,24.705,24.71,24.69,24.69,1500.0,6.0,24.695667
IPG,2025-07-01 13:38:00+00:00,24.705,24.705,24.705,24.705,1000.0,1.0,24.705
IPG,2025-07-01 13:40:00+00:00,24.7,24.73,24.7,24.73,243.0,3.0,24.715
IPG,2025-07-01 13:41:00+00:00,24.7,24.7,24.7,24.7,1200.0,6.0,24.7
IPG,2025-07-01 13:42:00+00:00,24.74,24.78,24.74,24.78,991.0,9.0,24.758163
IPG,2025-07-01 13:43:00+00:00,24.79,24.81,24.79,24.81,809.0,6.0,24.795714
IPG,2025-07-01 13:44:00+00:00,24.8,24.81,24.8,24.8,2900.0,12.0,24.803448
IPG,2025-07-01 13:45:00+00:00,24.82,24.83,24.78,24.79,1425.0,15.0,24.800844
IPG,2025-07-01 13:46:00+00:00,24.785,24.785,24.78,24.78,400.0,4.0,24.78125
IPG,2025-07-01 13:47:00+00:00,24.77,24.775,24.77,24.775,200.0,2.0,24.7725
IPG,2025-07-01 13:49:00+00:00,24.78,24.785,24.78,24.78,400.0,4.0,24.78125
IPG,2025-07-01 13:50:00+00:00,24.76,24.76,24.745,24.745,707.0,4.0,24.753571
IPG,2025-07-01 13:51:00+00:00,24.725,24.725,24.72,24.725,1100.0,4.0,24.724545
IPG,2025-07-01 13:52:00+00:00,24.725,24.725,24.725,24.725,129.0,2.0,24.725
IPG,2025-07-01 13:53:00+00:00,24.72,24.72,24.695,24.7,1934.0,17.0,24.700882
IPG,2025-07-01 13:54:00+00:00,24.67,24.69,24.67,24.69,700.0,8.0,24.6775
IPG,2025-07-01 13:55:00+00:00,24.66,24.7,24.66,24.7,3226.0,27.0,24.683055
IPG,2025-07-01 13:56:00+00:00,24.7,24.7,24.68,24.68,825.0,16.0,24.69
IPG,2025-07-01 13:57:00+00:00,24.68,24.68,24.68,24.68,932.0,11.0,24.68
IPG,2025-07-01 13:58:00+00:00,24.665,24.67,24.665,24.67,555.0,11.0,24.667561
IPG,2025-07-01 13:59:00+00:00,24.635,24.635,24.62,24.62,2469.0,46.0,24.630909
IPG,2025-07-01 14:00:00+00:00,24.62,24.68,24.62,24.68,2907.0,43.0,24.661297
IPG,2025-07-01 14:01:00+00:00,24.67,24.7,24.67,24.69,6068.0,65.0,24.687897
IPG,2025-07-01 14:02:00+00:00,24.69,24.69,24.63,24.63,2873.0,51.0,24.67251
IPG,2025-07-01 14:03:00+00:00,24.65,24.665,24.65,24.665,1662.0,21.0,24.663636
IPG,2025-07-01 14:04:00+00:00,24.65,24.66,24.65,24.66,2699.0,32.0,24.659002
IPG,2025-07-01 14:05:00+00:00,24.665,24.7,24.66,24.7,4210.0,41.0,24.675158
IPG,2025-07-01 14:06:00+00:00,24.7,24.75,24.7,24.75,5074.0,65.0,24.729857
IPG,2025-07-01 14:07:00+00:00,24.745,24.745,24.74,24.74,343.0,7.0,24.7425
