symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IRM,2025-07-01 13:30:00+00:00,102.57,103.0,102.49,102.74,1301.0,20.0,102.632
IRM,2025-07-01 13:31:00+00:00,102.84,102.84,102.58,102.58,402.0,6.0,102.645
IRM,2025-07-01 13:32:00+00:00,102.57,102.57,102.56,102.56,472.0,3.0,102.562119
IRM,2025-07-01 13:33:00+00:00,102.48,102.48,102.48,102.48,116.0,4.0,102.48
IRM,2025-07-01 13:35:00+00:00,101.955,102.15,101.955,102.09,415.0,6.0,102.0375
IRM,2025-07-01 13:36:00+00:00,102.2,102.2,102.2,102.2,201.0,4.0,102.2
IRM,2025-07-01 13:37:00+00:00,102.22,102.22,102.22,102.22,100.0,1.0,102.22
IRM,2025-07-01 13:38:00+00:00,102.26,102.26,101.95,102.02,511.0,10.0,102.045
IRM,2025-07-01 13:39:00+00:00,102.02,102.17,102.02,102.17,453.0,7.0,102.12
IRM,2025-07-01 13:40:00+00:00,101.97,101.97,101.95,101.95,530.0,6.0,101.954854
IRM,2025-07-01 13:45:00+00:00,101.4,101.65,101.4,101.65,936.0,17.0,101.481064
IRM,2025-07-01 13:46:00+00:00,101.74,101.89,101.74,101.83,1178.0,11.0,101.834499
IRM,2025-07-01 13:47:00+00:00,101.815,101.815,101.79,101.79,335.0,5.0,101.806667
IRM,2025-07-01 13:49:00+00:00,101.735,101.75,101.66,101.66,417.0,8.0,101.702092
IRM,2025-07-01 13:50:00+00:00,101.75,101.89,101.75,101.89,893.0,18.0,101.809675
IRM,2025-07-01 13:51:00+00:00,101.89,101.89,101.89,101.89,365.0,6.0,101.89
IRM,2025-07-01 13:52:00+00:00,101.86,101.86,101.855,101.855,213.0,3.0,101.8575
IRM,2025-07-01 13:53:00+00:00,101.76,101.77,101.755,101.755,1073.0,12.0,101.761112
IRM,2025-07-01 13:55:00+00:00,101.73,101.73,101.71,101.71,488.0,12.0,101.717663
IRM,2025-07-01 13:56:00+00:00,101.59,101.615,101.59,101.615,551.0,8.0,101.5975
IRM,2025-07-01 13:57:00+00:00,101.67,101.795,101.595,101.71,4047.0,44.0,101.70315
IRM,2025-07-01 13:58:00+00:00,101.62,101.665,101.62,101.665,202.0,3.0,101.6425
IRM,2025-07-01 13:59:00+00:00,101.48,101.48,101.48,101.48,570.0,9.0,101.48
IRM,2025-07-01 14:00:00+00:00,101.49,101.49,101.465,101.465,329.0,5.0,101.4775
IRM,2025-07-01 14:01:00+00:00,101.54,101.54,101.415,101.415,928.0,13.0,101.517789
IRM,2025-07-01 14:02:00+00:00,101.535,101.535,101.535,101.535,182.0,12.0,101.535
IRM,2025-07-01 14:03:00+00:00,101.42,101.42,101.25,101.33,757.0,10.0,101.351153
IRM,2025-07-01 14:04:00+00:00,101.19,101.19,101.19,101.19,427.0,11.0,101.19
IRM,2025-07-01 14:05:00+00:00,101.14,101.41,101.14,101.37,619.0,8.0,101.298333
IRM,2025-07-01 14:06:00+00:00,101.35,101.35,101.35,101.35,219.0,5.0,101.35
IRM,2025-07-01 14:07:00+00:00,101.31,101.31,101.31,101.31,100.0,1.0,101.31
IRM,2025-07-01 14:08:00+00:00,101.115,101.17,101.115,101.17,538.0,15.0,101.133966
IRM,2025-07-01 14:10:00+00:00,100.75,100.75,100.75,100.75,141.0,5.0,100.75
IRM,2025-07-01 14:11:00+00:00,100.76,100.76,100.76,100.76,103.0,3.0,100.76
IRM,2025-07-01 14:13:00+00:00,100.64,100.69,100.64,100.69,427.0,13.0,100.665
IRM,2025-07-01 14:16:00+00:00,100.72,100.72,100.72,100.72,179.0,4.0,100.72
IRM,2025-07-01 14:17:00+00:00,100.71,100.71,100.61,100.61,526.0,8.0,100.6525
IRM,2025-07-01 14:18:00+00:00,100.61,100.61,100.61,100.61,333.0,6.0,100.61
IRM,2025-07-01 14:19:00+00:00,100.61,100.61,100.61,100.61,214.0,5.0,100.61
IRM,2025-07-01 14:20:00+00:00,100.69,100.77,100.69,100.77,320.0,10.0,100.73
IRM,2025-07-01 14:21:00+00:00,100.79,100.83,100.79,100.83,338.0,4.0,100.81
IRM,2025-07-01 14:22:00+00:00,100.84,100.84,100.84,100.84,304.0,4.0,100.84
IRM,2025-07-01 14:23:00+00:00,100.72,100.72,100.72,100.72,508.0,9.0,100.72
IRM,2025-07-01 14:25:00+00:00,101.07,101.07,101.07,101.07,205.0,5.0,101.07
IRM,2025-07-01 14:26:00+00:00,100.99,100.99,100.99,100.99,156.0,3.0,100.99
IRM,2025-07-01 14:28:00+00:00,101.01,101.01,101.01,101.01,186.0,6.0,101.01
IRM,2025-07-01 14:31:00+00:00,101.08,101.08,101.08,101.08,171.0,5.0,101.08
IRM,2025-07-01 14:32:00+00:00,101.125,101.125,101.125,101.125,200.0,2.0,101.125
IRM,2025-07-01 14:33:00+00:00,101.115,101.12,101.115,101.12,288.0,7.0,101.1175
