symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KHC,2025-07-01 13:30:00+00:00,25.855,25.93,25.85,25.915,5635.0,33.0,25.886386
KHC,2025-07-01 13:31:00+00:00,25.89,26.01,25.885,25.97,11915.0,55.0,25.949515
KHC,2025-07-01 13:32:00+00:00,25.96,26.03,25.945,25.96,13366.0,58.0,25.99279
KHC,2025-07-01 13:33:00+00:00,25.935,25.935,25.84,25.9,5241.0,35.0,25.893095
KHC,2025-07-01 13:34:00+00:00,25.92,25.92,25.905,25.905,2053.0,15.0,25.908514
KHC,2025-07-01 13:35:00+00:00,25.905,25.94,25.905,25.91,3864.0,29.0,25.922951
KHC,2025-07-01 13:36:00+00:00,25.9,25.935,25.9,25.93,2590.0,20.0,25.920718
KHC,2025-07-01 13:37:00+00:00,25.92,25.92,25.92,25.92,821.0,7.0,25.92
KHC,2025-07-01 13:38:00+00:00,25.97,25.975,25.935,25.975,1567.0,10.0,25.956745
KHC,2025-07-01 13:39:00+00:00,25.97,26.01,25.955,26.01,9530.0,42.0,25.980236
KHC,2025-07-01 13:40:00+00:00,25.99,26.0,25.98,26.0,1397.0,12.0,25.992727
KHC,2025-07-01 13:41:00+00:00,26.0,26.005,26.0,26.005,768.0,6.0,26.004346
KHC,2025-07-01 13:42:00+00:00,26.005,26.03,26.005,26.03,1061.0,8.0,26.009278
KHC,2025-07-01 13:43:00+00:00,26.015,26.03,26.005,26.025,1871.0,15.0,26.013022
KHC,2025-07-01 13:44:00+00:00,26.01,26.01,25.975,25.975,2805.0,16.0,25.998571
KHC,2025-07-01 13:45:00+00:00,25.985,26.01,25.985,26.005,5437.0,29.0,25.997487
KHC,2025-07-01 13:46:00+00:00,25.985,26.005,25.985,26.005,3637.0,24.0,25.993934
KHC,2025-07-01 13:47:00+00:00,25.995,26.0,25.975,25.995,2310.0,19.0,25.98611
KHC,2025-07-01 13:48:00+00:00,25.995,25.995,25.995,25.995,914.0,8.0,25.995
