symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KIM,2025-07-01 13:30:00+00:00,20.87,20.88,20.87,20.88,1100.0,11.0,20.878182
KIM,2025-07-01 13:36:00+00:00,21.045,21.045,21.04,21.045,362.0,3.0,21.043619
KIM,2025-07-01 13:37:00+00:00,21.045,21.045,21.025,21.03,402.0,4.0,21.035716
KIM,2025-07-01 13:40:00+00:00,21.015,21.015,21.015,21.015,140.0,2.0,21.015
KIM,2025-07-01 13:42:00+00:00,21.01,21.01,21.01,21.01,502.0,3.0,21.01
KIM,2025-07-01 13:43:00+00:00,20.99,20.99,20.975,20.975,1364.0,12.0,20.988872
KIM,2025-07-01 13:44:00+00:00,20.975,20.975,20.975,20.975,194.0,3.0,20.975
KIM,2025-07-01 13:45:00+00:00,20.95,20.99,20.94,20.99,6063.0,66.0,20.961788
KIM,2025-07-01 13:46:00+00:00,20.99,20.99,20.99,20.99,261.0,4.0,20.99
KIM,2025-07-01 13:47:00+00:00,20.985,20.985,20.98,20.98,435.0,6.0,20.983571
KIM,2025-07-01 13:48:00+00:00,20.975,21.0,20.975,21.0,1071.0,16.0,20.986333
KIM,2025-07-01 13:49:00+00:00,21.0,21.01,21.0,21.01,1042.0,32.0,21.002143
KIM,2025-07-01 13:50:00+00:00,21.01,21.01,21.0,21.01,977.0,20.0,21.005535
KIM,2025-07-01 13:51:00+00:00,21.04,21.04,21.04,21.04,543.0,9.0,21.04
KIM,2025-07-01 13:52:00+00:00,21.035,21.05,21.035,21.05,2505.0,28.0,21.040851
KIM,2025-07-01 13:53:00+00:00,21.04,21.04,21.04,21.04,282.0,9.0,21.04
KIM,2025-07-01 13:54:00+00:00,21.02,21.02,21.015,21.02,1067.0,15.0,21.017062
KIM,2025-07-01 13:55:00+00:00,21.03,21.03,21.0,21.0,345.0,13.0,21.015
KIM,2025-07-01 13:56:00+00:00,21.0,21.0,21.0,21.0,102.0,2.0,21.0
KIM,2025-07-01 13:57:00+00:00,21.0,21.0,21.0,21.0,249.0,8.0,21.0
KIM,2025-07-01 13:58:00+00:00,20.995,20.995,20.995,20.995,323.0,13.0,20.995
KIM,2025-07-01 13:59:00+00:00,21.01,21.01,20.99,20.99,523.0,12.0,20.998953
KIM,2025-07-01 14:00:00+00:00,21.0,21.0,21.0,21.0,1001.0,8.0,21.0
