symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KLAC,2025-07-01 13:31:00+00:00,885.68,886.135,885.68,886.135,431.0,11.0,885.9075
KLAC,2025-07-01 13:32:00+00:00,886.09,888.24,886.04,888.24,3008.0,90.0,886.418929
KLAC,2025-07-01 13:33:00+00:00,887.34,887.34,887.34,887.34,641.0,20.0,887.34
KLAC,2025-07-01 13:35:00+00:00,884.87,884.87,884.87,884.87,172.0,9.0,884.87
KLAC,2025-07-01 13:37:00+00:00,884.26,884.47,884.26,884.465,5821.0,22.0,884.465978
KLAC,2025-07-01 13:39:00+00:00,887.6,887.6,887.365,887.365,556.0,14.0,887.521667
KLAC,2025-07-01 13:46:00+00:00,890.11,890.11,890.11,890.11,123.0,5.0,890.11
KLAC,2025-07-01 13:47:00+00:00,891.28,891.28,891.28,891.28,737.0,25.0,891.28
KLAC,2025-07-01 13:49:00+00:00,891.855,891.855,891.855,891.855,100.0,1.0,891.855
KLAC,2025-07-01 13:53:00+00:00,893.44,893.44,893.44,893.44,241.0,9.0,893.44
KLAC,2025-07-01 13:54:00+00:00,893.21,893.21,893.21,893.21,299.0,8.0,893.21
KLAC,2025-07-01 14:00:00+00:00,891.76,891.76,891.76,891.76,101.0,2.0,891.76
KLAC,2025-07-01 14:03:00+00:00,892.41,892.41,892.41,892.41,161.0,6.0,892.41
KLAC,2025-07-01 14:06:00+00:00,892.42,892.42,892.42,892.42,284.0,11.0,892.42
KLAC,2025-07-01 14:09:00+00:00,892.22,892.22,892.22,892.22,121.0,4.0,892.22
KLAC,2025-07-01 14:12:00+00:00,893.115,893.115,893.115,893.115,156.0,4.0,893.115
KLAC,2025-07-01 14:18:00+00:00,892.93,892.93,892.93,892.93,203.0,4.0,892.93
KLAC,2025-07-01 14:20:00+00:00,891.79,891.79,891.62,891.62,688.0,13.0,891.676667
KLAC,2025-07-01 14:21:00+00:00,892.24,892.24,892.24,892.24,101.0,2.0,892.24
KLAC,2025-07-01 14:31:00+00:00,888.77,888.77,888.77,888.77,150.0,2.0,888.77
KLAC,2025-07-01 14:33:00+00:00,887.745,887.745,887.745,887.745,117.0,10.0,887.745
KLAC,2025-07-01 14:36:00+00:00,887.13,887.13,887.13,887.13,100.0,1.0,887.13
KLAC,2025-07-01 14:38:00+00:00,885.24,885.24,885.24,885.24,150.0,2.0,885.24
KLAC,2025-07-01 14:40:00+00:00,885.03,885.03,885.03,885.03,317.0,11.0,885.03
KLAC,2025-07-01 14:44:00+00:00,886.4,886.4,886.355,886.355,200.0,2.0,886.3775
KLAC,2025-07-01 14:47:00+00:00,888.235,888.235,888.235,888.235,230.0,9.0,888.235
KLAC,2025-07-01 14:51:00+00:00,890.155,890.155,890.155,890.155,118.0,2.0,890.155
KLAC,2025-07-01 14:54:00+00:00,889.165,889.165,889.165,889.165,242.0,7.0,889.165
KLAC,2025-07-01 15:00:00+00:00,889.1,889.1,889.1,889.1,291.0,15.0,889.1
KLAC,2025-07-01 15:02:00+00:00,889.19,889.19,888.76,888.76,1340.0,31.0,889.031429
KLAC,2025-07-01 15:03:00+00:00,888.56,888.56,888.56,888.56,162.0,3.0,888.56
KLAC,2025-07-01 15:07:00+00:00,890.05,890.05,889.325,889.325,2105.0,39.0,889.808089
KLAC,2025-07-01 15:08:00+00:00,888.205,888.205,887.8,887.8,526.0,14.0,888.0025
KLAC,2025-07-01 15:10:00+00:00,885.04,885.04,885.04,885.04,310.0,13.0,885.04
KLAC,2025-07-01 15:11:00+00:00,882.58,882.58,882.58,882.58,126.0,7.0,882.58
KLAC,2025-07-01 15:13:00+00:00,882.41,882.41,882.41,882.41,146.0,4.0,882.41
KLAC,2025-07-01 15:23:00+00:00,888.37,888.37,888.37,888.37,675.0,21.0,888.37
KLAC,2025-07-01 15:41:00+00:00,887.82,887.82,887.73,887.75,644.0,20.0,887.765
KLAC,2025-07-01 15:59:00+00:00,892.77,893.27,892.77,893.27,250.0,4.0,893.02
KLAC,2025-07-01 16:00:00+00:00,893.04,893.04,893.04,893.04,477.0,13.0,893.04
KLAC,2025-07-01 16:06:00+00:00,891.93,891.93,891.93,891.93,109.0,4.0,891.93
KLAC,2025-07-01 16:09:00+00:00,893.92,893.92,893.92,893.92,312.0,8.0,893.92
KLAC,2025-07-01 16:11:00+00:00,895.89,895.89,895.89,895.89,406.0,7.0,895.89
KLAC,2025-07-01 16:21:00+00:00,897.07,897.07,896.455,896.455,284.0,4.0,896.7625
KLAC,2025-07-01 16:35:00+00:00,899.8,899.8,899.8,899.8,326.0,7.0,899.8
KLAC,2025-07-01 16:40:00+00:00,898.91,898.91,898.91,898.91,120.0,2.0,898.91
KLAC,2025-07-01 16:44:00+00:00,897.47,897.47,897.195,897.195,253.0,8.0,897.3325
KLAC,2025-07-01 17:06:00+00:00,899.4,899.4,899.4,899.4,345.0,7.0,899.4
KLAC,2025-07-01 17:10:00+00:00,899.8,899.8,899.78,899.78,400.0,6.0,899.789091
KLAC,2025-07-01 17:13:00+00:00,900.45,900.45,900.45,900.45,297.0,9.0,900.45
KLAC,2025-07-01 17:14:00+00:00,900.13,900.13,900.13,900.13,202.0,3.0,900.13
KLAC,2025-07-01 17:21:00+00:00,900.32,900.32,900.32,900.32,256.0,7.0,900.32
KLAC,2025-07-01 17:22:00+00:00,900.47,900.47,900.47,900.47,138.0,6.0,900.47
KLAC,2025-07-01 17:25:00+00:00,900.66,900.66,900.66,900.66,129.0,4.0,900.66
KLAC,2025-07-01 17:26:00+00:00,900.26,900.26,900.21,900.21,314.0,6.0,900.235
KLAC,2025-07-01 17:27:00+00:00,900.255,900.255,900.255,900.255,150.0,2.0,900.255
KLAC,2025-07-01 17:30:00+00:00,901.435,901.435,901.34,901.34,209.0,6.0,901.3875
KLAC,2025-07-01 17:34:00+00:00,902.09,902.235,902.09,902.235,280.0,3.0,902.1625
KLAC,2025-07-01 17:35:00+00:00,902.04,902.04,901.98,901.98,317.0,7.0,902.01
KLAC,2025-07-01 17:37:00+00:00,901.26,901.26,901.26,901.26,148.0,4.0,901.26
KLAC,2025-07-01 17:38:00+00:00,900.83,900.83,900.675,900.675,517.0,15.0,900.77125
KLAC,2025-07-01 17:39:00+00:00,900.78,900.92,900.78,900.92,256.0,8.0,900.85
KLAC,2025-07-01 17:41:00+00:00,900.8,900.8,900.8,900.8,102.0,3.0,900.8
KLAC,2025-07-01 17:42:00+00:00,900.945,901.27,900.945,901.27,221.0,4.0,901.1075
KLAC,2025-07-01 17:44:00+00:00,901.9,902.13,901.9,902.13,240.0,8.0,902.015
KLAC,2025-07-01 17:46:00+00:00,902.13,902.13,902.13,902.13,111.0,5.0,902.13
KLAC,2025-07-01 17:53:00+00:00,904.29,904.29,904.29,904.29,301.0,17.0,904.29
KLAC,2025-07-01 17:54:00+00:00,903.31,903.31,903.27,903.27,429.0,13.0,903.296667
KLAC,2025-07-01 17:55:00+00:00,903.03,903.03,902.65,902.65,500.0,4.0,902.728
KLAC,2025-07-01 18:03:00+00:00,904.26,904.26,904.26,904.26,101.0,2.0,904.26
KLAC,2025-07-01 18:10:00+00:00,904.39,904.39,904.39,904.39,150.0,2.0,904.39
KLAC,2025-07-01 18:11:00+00:00,904.62,904.62,904.62,904.62,105.0,2.0,904.62
KLAC,2025-07-01 18:13:00+00:00,904.715,904.715,904.715,904.715,102.0,2.0,904.715
KLAC,2025-07-01 18:16:00+00:00,904.59,904.59,904.59,904.59,248.0,11.0,904.59
KLAC,2025-07-01 18:17:00+00:00,904.365,904.365,904.365,904.365,362.0,2.0,904.365
KLAC,2025-07-01 18:19:00+00:00,903.68,903.68,903.68,903.68,133.0,4.0,903.68
KLAC,2025-07-01 18:21:00+00:00,903.61,903.61,903.61,903.61,471.0,7.0,903.61
KLAC,2025-07-01 18:29:00+00:00,902.19,902.19,902.19,902.19,276.0,7.0,902.19
KLAC,2025-07-01 18:30:00+00:00,902.19,902.19,902.19,902.19,133.0,4.0,902.19
KLAC,2025-07-01 18:32:00+00:00,902.59,902.59,902.59,902.59,157.0,6.0,902.59
KLAC,2025-07-01 18:34:00+00:00,902.93,902.93,902.93,902.93,151.0,2.0,902.93
KLAC,2025-07-01 18:35:00+00:00,902.88,902.88,902.88,902.88,308.0,7.0,902.88
KLAC,2025-07-01 18:36:00+00:00,902.66,903.28,902.66,903.28,422.0,9.0,902.9
KLAC,2025-07-01 18:37:00+00:00,903.17,903.17,903.1,903.1,264.0,5.0,903.135
