symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KVUE,2025-07-01 13:30:00+00:00,21.0,21.025,21.0,21.025,500.0,5.0,21.00625
KVUE,2025-07-01 13:31:00+00:00,21.05,21.08,21.05,21.07,1319.0,11.0,21.0624
KVUE,2025-07-01 13:32:00+00:00,21.06,21.07,21.02,21.02,3573.0,9.0,21.035315
KVUE,2025-07-01 13:33:00+00:00,20.99,20.99,20.95,20.95,1840.0,12.0,20.971488
KVUE,2025-07-01 13:34:00+00:00,20.965,20.98,20.965,20.98,1801.0,10.0,20.974167
KVUE,2025-07-01 13:35:00+00:00,20.98,21.0,20.98,21.0,2123.0,18.0,20.990599
KVUE,2025-07-01 13:36:00+00:00,21.0,21.04,21.0,21.04,1100.0,10.0,21.008
KVUE,2025-07-01 13:37:00+00:00,21.055,21.055,21.05,21.055,300.0,3.0,21.053333
KVUE,2025-07-01 13:38:00+00:00,21.075,21.085,21.075,21.085,2089.0,12.0,21.07875
KVUE,2025-07-01 13:39:00+00:00,21.085,21.1,21.08,21.1,901.0,5.0,21.084168
KVUE,2025-07-01 13:40:00+00:00,21.1,21.1,21.1,21.1,825.0,7.0,21.1
KVUE,2025-07-01 13:41:00+00:00,21.1,21.1,21.07,21.085,2117.0,19.0,21.084789
KVUE,2025-07-01 13:42:00+00:00,21.08,21.085,21.06,21.06,2039.0,18.0,21.0715
KVUE,2025-07-01 13:43:00+00:00,21.045,21.045,21.03,21.035,4000.0,21.0,21.03933
KVUE,2025-07-01 13:44:00+00:00,21.02,21.025,21.01,21.01,3052.0,19.0,21.016453
KVUE,2025-07-01 13:45:00+00:00,21.005,21.03,21.005,21.03,1550.0,16.0,21.011334
KVUE,2025-07-01 13:46:00+00:00,21.02,21.02,21.015,21.015,806.0,18.0,21.019048
KVUE,2025-07-01 13:47:00+00:00,21.01,21.01,20.99,20.99,532.0,5.0,21.002
KVUE,2025-07-01 13:48:00+00:00,21.0,21.0,21.0,21.0,1316.0,11.0,21.0
KVUE,2025-07-01 13:49:00+00:00,21.01,21.01,21.01,21.01,1200.0,9.0,21.01
KVUE,2025-07-01 13:50:00+00:00,21.02,21.03,21.02,21.025,3314.0,17.0,21.022013
KVUE,2025-07-01 13:51:00+00:00,21.03,21.03,21.025,21.025,1201.0,11.0,21.029583
KVUE,2025-07-01 13:52:00+00:00,21.03,21.03,21.025,21.03,1673.0,6.0,21.028383
KVUE,2025-07-01 13:53:00+00:00,21.03,21.03,21.03,21.03,900.0,6.0,21.03
KVUE,2025-07-01 13:54:00+00:00,21.03,21.035,21.03,21.03,1711.0,12.0,21.030347
KVUE,2025-07-01 13:55:00+00:00,21.03,21.03,21.02,21.02,1011.0,6.0,21.024
KVUE,2025-07-01 13:56:00+00:00,21.025,21.025,21.015,21.015,279.0,4.0,21.02
KVUE,2025-07-01 13:57:00+00:00,21.005,21.04,21.005,21.035,1105.0,10.0,21.022253
KVUE,2025-07-01 13:58:00+00:00,21.025,21.045,21.025,21.045,1200.0,9.0,21.034444
KVUE,2025-07-01 13:59:00+00:00,21.04,21.04,21.02,21.025,1508.0,14.0,21.028215
KVUE,2025-07-01 14:00:00+00:00,21.02,21.035,21.01,21.025,3420.0,24.0,21.020875
KVUE,2025-07-01 14:01:00+00:00,21.04,21.04,21.025,21.025,750.0,7.0,21.032102
KVUE,2025-07-01 14:02:00+00:00,21.02,21.02,21.01,21.01,600.0,4.0,21.018333
KVUE,2025-07-01 14:03:00+00:00,21.0,21.0,21.0,21.0,507.0,6.0,21.0
KVUE,2025-07-01 14:04:00+00:00,21.005,21.005,20.99,20.99,1612.0,10.0,20.997667
KVUE,2025-07-01 14:05:00+00:00,20.985,20.985,20.98,20.98,1437.0,16.0,20.983273
KVUE,2025-07-01 14:06:00+00:00,20.975,20.975,20.965,20.97,2301.0,17.0,20.970685
KVUE,2025-07-01 14:07:00+00:00,20.97,20.97,20.965,20.965,509.0,7.0,20.967
KVUE,2025-07-01 14:08:00+00:00,20.98,20.985,20.97,20.975,1800.0,10.0,20.977778
KVUE,2025-07-01 14:09:00+00:00,20.975,20.975,20.95,20.965,16420.0,67.0,20.954509
KVUE,2025-07-01 14:10:00+00:00,20.97,20.98,20.945,20.96,6061.0,36.0,20.969729
KVUE,2025-07-01 14:11:00+00:00,20.97,20.975,20.97,20.975,420.0,3.0,20.972381
