symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MCHP,2025-07-01 13:30:00+00:00,69.46,69.6,69.32,69.465,3472.0,35.0,69.482419
MCHP,2025-07-01 13:31:00+00:00,69.545,69.585,69.545,69.585,599.0,6.0,69.568
MCHP,2025-07-01 13:32:00+00:00,69.52,69.875,69.47,69.875,3421.0,32.0,69.617322
MCHP,2025-07-01 13:33:00+00:00,70.005,70.005,69.78,69.78,520.0,5.0,69.868235
MCHP,2025-07-01 13:34:00+00:00,69.875,69.9,69.865,69.89,711.0,10.0,69.879
MCHP,2025-07-01 13:35:00+00:00,69.93,69.97,69.665,69.665,1206.0,16.0,69.893
MCHP,2025-07-01 13:36:00+00:00,69.8,69.895,69.8,69.85,1441.0,19.0,69.864545
MCHP,2025-07-01 13:37:00+00:00,69.88,69.945,69.855,69.945,1457.0,18.0,69.907727
MCHP,2025-07-01 13:38:00+00:00,70.02,70.03,69.97,70.01,971.0,16.0,70.011508
MCHP,2025-07-01 13:39:00+00:00,70.045,70.125,69.99,69.995,1001.0,10.0,70.028
MCHP,2025-07-01 13:40:00+00:00,70.075,70.13,70.04,70.04,723.0,12.0,70.08
MCHP,2025-07-01 13:41:00+00:00,70.065,70.065,69.965,69.975,654.0,18.0,70.0175
MCHP,2025-07-01 13:42:00+00:00,69.97,70.12,69.97,70.12,1110.0,16.0,70.016111
MCHP,2025-07-01 13:43:00+00:00,70.095,70.095,70.05,70.08,1813.0,26.0,70.065667
MCHP,2025-07-01 13:44:00+00:00,70.15,70.15,70.15,70.15,323.0,8.0,70.15
MCHP,2025-07-01 13:45:00+00:00,70.245,70.285,70.245,70.285,303.0,5.0,70.263333
MCHP,2025-07-01 13:46:00+00:00,70.26,70.36,70.26,70.36,946.0,13.0,70.302785
MCHP,2025-07-01 13:47:00+00:00,70.33,70.33,70.33,70.33,249.0,8.0,70.33
MCHP,2025-07-01 13:48:00+00:00,70.29,70.51,70.28,70.51,2221.0,26.0,70.397
MCHP,2025-07-01 13:49:00+00:00,70.57,70.57,70.48,70.48,498.0,9.0,70.52875
MCHP,2025-07-01 13:50:00+00:00,70.44,70.52,70.44,70.52,619.0,6.0,70.468282
MCHP,2025-07-01 13:51:00+00:00,70.6,70.625,70.6,70.625,210.0,3.0,70.6125
MCHP,2025-07-01 13:52:00+00:00,70.49,70.49,70.49,70.49,175.0,2.0,70.49
MCHP,2025-07-01 13:54:00+00:00,70.45,70.45,70.45,70.45,483.0,10.0,70.45
MCHP,2025-07-01 13:57:00+00:00,70.25,70.29,70.24,70.24,920.0,9.0,70.254054
MCHP,2025-07-01 13:58:00+00:00,70.34,70.34,70.315,70.315,674.0,11.0,70.33375
MCHP,2025-07-01 13:59:00+00:00,70.3,70.3,70.215,70.215,589.0,8.0,70.26625
MCHP,2025-07-01 14:00:00+00:00,70.235,70.235,70.235,70.235,131.0,4.0,70.235
MCHP,2025-07-01 14:01:00+00:00,70.29,70.35,70.29,70.35,1017.0,15.0,70.327143
MCHP,2025-07-01 14:02:00+00:00,70.435,70.465,70.41,70.41,655.0,9.0,70.436
MCHP,2025-07-01 14:03:00+00:00,70.38,70.38,70.38,70.38,373.0,8.0,70.38
MCHP,2025-07-01 14:04:00+00:00,70.45,70.47,70.45,70.47,781.0,16.0,70.461379
MCHP,2025-07-01 14:05:00+00:00,70.465,70.525,70.42,70.525,402.0,6.0,70.47
MCHP,2025-07-01 14:06:00+00:00,70.52,70.52,70.5,70.5,362.0,10.0,70.51
MCHP,2025-07-01 14:07:00+00:00,70.51,70.51,70.51,70.51,131.0,5.0,70.51
MCHP,2025-07-01 14:08:00+00:00,70.59,70.59,70.59,70.59,451.0,10.0,70.59
MCHP,2025-07-01 14:09:00+00:00,70.575,70.575,70.575,70.575,323.0,8.0,70.575
MCHP,2025-07-01 14:10:00+00:00,70.52,70.6,70.52,70.6,228.0,3.0,70.56
MCHP,2025-07-01 14:11:00+00:00,70.66,70.66,70.61,70.61,250.0,7.0,70.635
MCHP,2025-07-01 14:12:00+00:00,70.65,70.66,70.645,70.66,418.0,8.0,70.651645
MCHP,2025-07-01 14:13:00+00:00,70.675,70.69,70.675,70.69,985.0,13.0,70.677143
MCHP,2025-07-01 14:14:00+00:00,70.785,70.785,70.785,70.785,403.0,7.0,70.785
MCHP,2025-07-01 14:15:00+00:00,70.81,70.81,70.81,70.81,783.0,14.0,70.81
MCHP,2025-07-01 14:16:00+00:00,70.79,70.79,70.79,70.79,113.0,6.0,70.79
