symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MCO,2025-07-01 13:30:00+00:00,496.695,496.695,496.695,496.695,200.0,9.0,496.695
MCO,2025-07-01 13:31:00+00:00,497.12,497.12,497.12,497.12,125.0,2.0,497.12
MCO,2025-07-01 13:35:00+00:00,498.18,498.18,498.18,498.18,180.0,2.0,498.18
MCO,2025-07-01 13:46:00+00:00,498.64,498.64,498.64,498.64,202.0,5.0,498.64
MCO,2025-07-01 13:50:00+00:00,498.67,498.67,497.325,497.325,562.0,15.0,497.66125
MCO,2025-07-01 13:51:00+00:00,497.32,497.32,497.32,497.32,212.0,6.0,497.32
MCO,2025-07-01 13:59:00+00:00,495.695,495.695,495.695,495.695,138.0,8.0,495.695
MCO,2025-07-01 14:00:00+00:00,495.45,495.45,495.45,495.45,186.0,14.0,495.45
MCO,2025-07-01 14:02:00+00:00,495.79,495.79,495.79,495.79,712.0,27.0,495.79
MCO,2025-07-01 14:09:00+00:00,496.165,496.165,496.165,496.165,102.0,3.0,496.165
MCO,2025-07-01 14:10:00+00:00,496.84,496.84,496.84,496.84,237.0,8.0,496.84
MCO,2025-07-01 14:16:00+00:00,497.02,497.02,497.02,497.02,140.0,2.0,497.02
MCO,2025-07-01 14:17:00+00:00,495.85,495.85,495.85,495.85,147.0,4.0,495.85
MCO,2025-07-01 14:34:00+00:00,498.87,498.94,498.82,498.94,2361.0,28.0,498.832273
MCO,2025-07-01 14:44:00+00:00,499.31,499.31,499.31,499.31,221.0,9.0,499.31
MCO,2025-07-01 14:45:00+00:00,498.5,498.5,498.5,498.5,566.0,4.0,498.5
MCO,2025-07-01 14:51:00+00:00,499.12,499.12,499.12,499.12,210.0,9.0,499.12
MCO,2025-07-01 15:12:00+00:00,499.58,499.58,499.58,499.58,130.0,3.0,499.58
MCO,2025-07-01 15:25:00+00:00,500.34,500.34,500.34,500.34,207.0,11.0,500.34
MCO,2025-07-01 15:37:00+00:00,500.605,500.605,500.605,500.605,180.0,5.0,500.605
MCO,2025-07-01 16:00:00+00:00,499.745,499.745,499.745,499.745,741.0,35.0,499.745
MCO,2025-07-01 16:01:00+00:00,499.44,499.44,499.44,499.44,352.0,6.0,499.44
MCO,2025-07-01 16:17:00+00:00,501.45,501.45,501.45,501.45,126.0,4.0,501.45
MCO,2025-07-01 16:18:00+00:00,501.45,501.45,501.45,501.45,276.0,8.0,501.45
MCO,2025-07-01 16:22:00+00:00,500.19,500.19,499.91,499.91,283.0,8.0,500.05
MCO,2025-07-01 16:30:00+00:00,501.08,501.08,501.08,501.08,161.0,5.0,501.08
MCO,2025-07-01 16:34:00+00:00,501.1,501.1,501.1,501.1,267.0,7.0,501.1
MCO,2025-07-01 16:36:00+00:00,500.74,500.74,500.74,500.74,351.0,10.0,500.74
MCO,2025-07-01 16:44:00+00:00,501.2,501.2,501.2,501.2,110.0,2.0,501.2
MCO,2025-07-01 16:46:00+00:00,500.68,500.68,500.605,500.605,283.0,8.0,500.6425
MCO,2025-07-01 16:52:00+00:00,501.88,501.88,501.88,501.88,101.0,2.0,501.88
MCO,2025-07-01 16:57:00+00:00,501.31,501.31,501.31,501.31,110.0,2.0,501.31
MCO,2025-07-01 17:05:00+00:00,499.97,499.97,499.97,499.97,275.0,10.0,499.97
MCO,2025-07-01 17:16:00+00:00,502.295,502.295,502.295,502.295,196.0,11.0,502.295
MCO,2025-07-01 17:19:00+00:00,502.4,502.4,502.4,502.4,115.0,2.0,502.4
MCO,2025-07-01 17:23:00+00:00,502.55,502.55,502.55,502.55,385.0,24.0,502.55
MCO,2025-07-01 17:30:00+00:00,503.3,503.3,503.3,503.3,150.0,5.0,503.3
MCO,2025-07-01 17:42:00+00:00,502.315,502.315,502.315,502.315,105.0,2.0,502.315
MCO,2025-07-01 17:52:00+00:00,501.96,501.96,501.96,501.96,416.0,16.0,501.96
MCO,2025-07-01 18:11:00+00:00,501.92,501.92,501.92,501.92,323.0,9.0,501.92
MCO,2025-07-01 18:35:00+00:00,502.41,502.41,502.41,502.41,232.0,11.0,502.41
MCO,2025-07-01 19:04:00+00:00,502.6,502.6,502.6,502.6,245.0,11.0,502.6
MCO,2025-07-01 19:47:00+00:00,502.83,502.83,502.83,502.83,333.0,19.0,502.83
MCO,2025-07-01 19:48:00+00:00,503.0,503.0,503.0,503.0,399.0,16.0,503.0
MCO,2025-07-01 19:52:00+00:00,502.27,502.27,502.27,502.27,436.0,28.0,502.27
MCO,2025-07-01 19:56:00+00:00,502.42,502.42,502.42,502.42,615.0,27.0,502.42
MCO,2025-07-01 19:57:00+00:00,502.26,502.26,502.26,502.26,870.0,46.0,502.26
MCO,2025-07-01 19:58:00+00:00,502.39,502.39,502.39,502.39,1214.0,54.0,502.39
MCO,2025-07-01 19:59:00+00:00,502.27,502.4,502.22,502.4,1679.0,82.0,502.31
