symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MDT,2025-07-01 13:30:00+00:00,86.875,86.99,86.875,86.98,1673.0,18.0,86.92461
MDT,2025-07-01 13:31:00+00:00,86.93,87.13,86.93,87.13,830.0,11.0,87.044167
MDT,2025-07-01 13:32:00+00:00,87.125,87.125,86.98,86.98,1800.0,19.0,87.057857
MDT,2025-07-01 13:33:00+00:00,86.93,86.955,86.89,86.89,1287.0,23.0,86.924375
MDT,2025-07-01 13:34:00+00:00,86.85,86.855,86.85,86.855,505.0,8.0,86.8525
MDT,2025-07-01 13:35:00+00:00,86.85,86.86,86.85,86.86,900.0,9.0,86.851111
MDT,2025-07-01 13:36:00+00:00,86.94,87.065,86.94,87.065,5706.0,28.0,87.005137
MDT,2025-07-01 13:37:00+00:00,87.04,87.04,87.01,87.01,1078.0,12.0,87.016667
MDT,2025-07-01 13:38:00+00:00,87.01,87.01,86.99,86.99,803.0,9.0,86.99875
MDT,2025-07-01 13:39:00+00:00,86.97,86.97,86.855,86.855,905.0,11.0,86.88
MDT,2025-07-01 13:40:00+00:00,86.9,86.92,86.9,86.92,416.0,8.0,86.905
MDT,2025-07-01 13:41:00+00:00,87.03,87.03,86.97,86.97,632.0,10.0,87.010831
MDT,2025-07-01 13:42:00+00:00,86.92,87.01,86.92,87.01,1091.0,6.0,86.956
MDT,2025-07-01 13:43:00+00:00,87.06,87.06,87.06,87.06,102.0,3.0,87.06
MDT,2025-07-01 13:44:00+00:00,86.96,86.96,86.96,86.96,204.0,3.0,86.96
MDT,2025-07-01 13:45:00+00:00,86.91,86.92,86.91,86.92,351.0,6.0,86.915
MDT,2025-07-01 13:46:00+00:00,86.86,86.88,86.86,86.865,403.0,5.0,86.87
MDT,2025-07-01 13:47:00+00:00,86.79,86.79,86.79,86.79,208.0,3.0,86.79
MDT,2025-07-01 13:48:00+00:00,86.795,86.8,86.755,86.755,946.0,11.0,86.781667
MDT,2025-07-01 13:49:00+00:00,86.765,86.87,86.765,86.87,1560.0,5.0,86.861251
MDT,2025-07-01 13:50:00+00:00,86.9,86.9,86.9,86.9,316.0,7.0,86.9
MDT,2025-07-01 13:51:00+00:00,86.955,87.115,86.955,87.115,1621.0,11.0,86.9972
MDT,2025-07-01 13:52:00+00:00,87.1,87.1,87.1,87.1,375.0,7.0,87.1
MDT,2025-07-01 13:53:00+00:00,87.225,87.265,87.225,87.265,460.0,8.0,87.245
MDT,2025-07-01 13:55:00+00:00,87.36,87.36,87.36,87.36,201.0,4.0,87.36
MDT,2025-07-01 13:56:00+00:00,87.3,87.3,87.26,87.26,477.0,14.0,87.273333
MDT,2025-07-01 13:59:00+00:00,87.25,87.25,87.25,87.25,201.0,5.0,87.25
MDT,2025-07-01 14:00:00+00:00,87.23,87.23,87.23,87.23,261.0,7.0,87.23
MDT,2025-07-01 14:01:00+00:00,87.34,87.34,87.34,87.34,681.0,8.0,87.34
MDT,2025-07-01 14:02:00+00:00,87.34,87.34,87.305,87.305,750.0,11.0,87.312
MDT,2025-07-01 14:04:00+00:00,87.325,87.325,87.295,87.295,756.0,10.0,87.32
MDT,2025-07-01 14:05:00+00:00,87.215,87.215,87.215,87.215,165.0,5.0,87.215
MDT,2025-07-01 14:08:00+00:00,87.22,87.22,87.22,87.22,193.0,7.0,87.22
MDT,2025-07-01 14:09:00+00:00,87.23,87.23,87.23,87.23,118.0,7.0,87.23
MDT,2025-07-01 14:11:00+00:00,87.255,87.255,87.255,87.255,114.0,3.0,87.255
MDT,2025-07-01 14:12:00+00:00,87.25,87.25,87.25,87.25,255.0,8.0,87.25
MDT,2025-07-01 14:17:00+00:00,87.27,87.27,87.27,87.27,173.0,3.0,87.27
MDT,2025-07-01 14:18:00+00:00,87.31,87.31,87.31,87.31,102.0,3.0,87.31
MDT,2025-07-01 14:19:00+00:00,87.3,87.32,87.3,87.32,777.0,11.0,87.312857
MDT,2025-07-01 14:20:00+00:00,87.29,87.315,87.29,87.315,302.0,5.0,87.298333
MDT,2025-07-01 14:21:00+00:00,87.32,87.32,87.32,87.32,238.0,7.0,87.32
MDT,2025-07-01 14:22:00+00:00,87.38,87.38,87.38,87.38,100.0,1.0,87.38
MDT,2025-07-01 14:23:00+00:00,87.43,87.45,87.43,87.45,389.0,4.0,87.443333
MDT,2025-07-01 14:24:00+00:00,87.42,87.42,87.41,87.415,1223.0,17.0,87.415625
MDT,2025-07-01 14:25:00+00:00,87.43,87.465,87.43,87.465,490.0,6.0,87.44625
MDT,2025-07-01 14:26:00+00:00,87.485,87.54,87.485,87.54,621.0,8.0,87.513333
