symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MHK,2025-07-01 13:36:00+00:00,104.945,104.945,104.945,104.945,112.0,1.0,104.945
MHK,2025-07-01 13:46:00+00:00,105.15,105.235,105.15,105.235,214.0,4.0,105.1925
MHK,2025-07-01 13:47:00+00:00,105.43,105.43,105.43,105.43,209.0,3.0,105.43
MHK,2025-07-01 13:49:00+00:00,105.47,105.47,105.47,105.47,100.0,1.0,105.47
MHK,2025-07-01 13:50:00+00:00,105.51,105.51,105.51,105.51,101.0,2.0,105.51
MHK,2025-07-01 13:51:00+00:00,105.58,105.59,105.51,105.59,430.0,8.0,105.56
MHK,2025-07-01 13:57:00+00:00,105.49,105.495,105.49,105.495,238.0,3.0,105.4925
MHK,2025-07-01 14:00:00+00:00,105.185,105.185,105.185,105.185,100.0,1.0,105.185
MHK,2025-07-01 14:01:00+00:00,105.185,105.185,105.185,105.185,170.0,5.0,105.185
MHK,2025-07-01 14:03:00+00:00,105.57,105.89,105.57,105.77,740.0,13.0,105.7325
MHK,2025-07-01 14:06:00+00:00,105.8,105.8,105.8,105.8,143.0,2.0,105.8
MHK,2025-07-01 14:07:00+00:00,105.86,105.87,105.86,105.87,430.0,5.0,105.863333
MHK,2025-07-01 14:11:00+00:00,106.19,106.19,106.19,106.19,124.0,3.0,106.19
MHK,2025-07-01 14:12:00+00:00,106.19,106.19,106.19,106.19,103.0,3.0,106.19
MHK,2025-07-01 14:19:00+00:00,106.595,106.595,106.595,106.595,102.0,2.0,106.595
MHK,2025-07-01 14:23:00+00:00,107.37,107.39,107.37,107.39,252.0,4.0,107.38
MHK,2025-07-01 14:24:00+00:00,107.09,107.09,107.07,107.07,268.0,6.0,107.08
MHK,2025-07-01 14:26:00+00:00,107.215,107.215,107.215,107.215,201.0,7.0,107.215
MHK,2025-07-01 14:27:00+00:00,107.0,107.23,107.0,107.23,410.0,8.0,107.115
MHK,2025-07-01 14:29:00+00:00,107.265,107.265,107.265,107.265,100.0,1.0,107.265
MHK,2025-07-01 14:30:00+00:00,107.3,107.3,107.27,107.27,324.0,9.0,107.285
MHK,2025-07-01 14:32:00+00:00,107.48,107.57,107.48,107.57,494.0,11.0,107.54
MHK,2025-07-01 14:33:00+00:00,107.57,107.725,107.57,107.725,220.0,3.0,107.6475
MHK,2025-07-01 14:37:00+00:00,107.755,107.755,107.755,107.755,161.0,4.0,107.755
MHK,2025-07-01 14:43:00+00:00,108.235,108.235,108.235,108.235,260.0,7.0,108.235
MHK,2025-07-01 14:46:00+00:00,108.26,108.26,108.2,108.2,736.0,8.0,108.212857
MHK,2025-07-01 14:47:00+00:00,108.36,108.36,108.27,108.33,539.0,7.0,108.3075
MHK,2025-07-01 14:49:00+00:00,108.36,108.36,108.36,108.36,264.0,11.0,108.36
MHK,2025-07-01 14:51:00+00:00,108.5,108.5,108.5,108.5,148.0,5.0,108.5
MHK,2025-07-01 14:52:00+00:00,108.45,108.61,108.45,108.61,320.0,6.0,108.53
MHK,2025-07-01 14:55:00+00:00,108.52,108.65,108.52,108.65,338.0,4.0,108.598333
MHK,2025-07-01 14:56:00+00:00,108.73,108.73,108.73,108.73,222.0,5.0,108.73
MHK,2025-07-01 14:59:00+00:00,108.94,108.94,108.94,108.94,238.0,5.0,108.94
MHK,2025-07-01 15:00:00+00:00,108.92,108.92,108.92,108.92,180.0,7.0,108.92
MHK,2025-07-01 15:01:00+00:00,108.81,108.81,108.81,108.81,243.0,8.0,108.81
MHK,2025-07-01 15:02:00+00:00,108.82,108.82,108.77,108.77,715.0,12.0,108.79625
MHK,2025-07-01 15:03:00+00:00,108.87,108.94,108.82,108.94,1241.0,24.0,108.848889
MHK,2025-07-01 15:10:00+00:00,109.51,109.51,109.47,109.47,230.0,4.0,109.49
MHK,2025-07-01 15:13:00+00:00,109.48,109.48,109.48,109.48,200.0,8.0,109.48
MHK,2025-07-01 15:14:00+00:00,109.52,109.52,109.52,109.52,169.0,4.0,109.52
MHK,2025-07-01 15:15:00+00:00,109.625,109.625,109.625,109.625,250.0,6.0,109.625
MHK,2025-07-01 15:17:00+00:00,109.98,109.98,109.98,109.98,136.0,2.0,109.98
MHK,2025-07-01 15:19:00+00:00,109.975,110.07,109.975,110.07,520.0,13.0,110.0225
MHK,2025-07-01 15:23:00+00:00,110.4,110.44,110.33,110.44,400.0,4.0,110.37625
MHK,2025-07-01 15:28:00+00:00,110.585,110.585,110.585,110.585,108.0,2.0,110.585
MHK,2025-07-01 15:29:00+00:00,110.53,110.53,110.375,110.38,1084.0,22.0,110.42
MHK,2025-07-01 15:33:00+00:00,110.415,110.415,110.415,110.415,100.0,1.0,110.415
MHK,2025-07-01 15:38:00+00:00,110.59,110.59,110.59,110.59,156.0,7.0,110.59
MHK,2025-07-01 15:39:00+00:00,110.77,110.78,110.77,110.78,1577.0,9.0,110.779333
MHK,2025-07-01 15:40:00+00:00,110.775,110.775,110.775,110.775,300.0,3.0,110.775
MHK,2025-07-01 15:41:00+00:00,110.78,110.88,110.78,110.88,338.0,6.0,110.83
MHK,2025-07-01 15:43:00+00:00,110.95,111.02,110.95,110.97,1236.0,17.0,110.9595
MHK,2025-07-01 15:45:00+00:00,110.83,110.83,110.83,110.83,103.0,2.0,110.83
MHK,2025-07-01 15:50:00+00:00,111.135,111.135,111.135,111.135,216.0,5.0,111.135
MHK,2025-07-01 15:51:00+00:00,111.17,111.17,111.17,111.17,219.0,5.0,111.17
MHK,2025-07-01 15:52:00+00:00,111.21,111.21,111.21,111.21,273.0,7.0,111.21
MHK,2025-07-01 15:53:00+00:00,110.97,111.03,110.94,111.03,641.0,13.0,110.98
MHK,2025-07-01 15:54:00+00:00,111.04,111.04,111.04,111.04,277.0,11.0,111.04
MHK,2025-07-01 15:55:00+00:00,110.9,110.9,110.9,110.9,106.0,2.0,110.9
MHK,2025-07-01 15:59:00+00:00,111.04,111.04,111.04,111.04,450.0,10.0,111.04
MHK,2025-07-01 16:01:00+00:00,111.27,111.27,111.27,111.27,220.0,7.0,111.27
MHK,2025-07-01 16:06:00+00:00,111.59,111.59,111.59,111.59,107.0,3.0,111.59
MHK,2025-07-01 16:11:00+00:00,111.98,112.05,111.98,112.05,430.0,8.0,112.02
MHK,2025-07-01 16:15:00+00:00,112.18,112.19,112.18,112.19,300.0,4.0,112.185
MHK,2025-07-01 16:16:00+00:00,112.26,112.285,112.26,112.285,330.0,7.0,112.2725
MHK,2025-07-01 16:19:00+00:00,112.33,112.33,112.33,112.33,102.0,2.0,112.33
MHK,2025-07-01 16:23:00+00:00,112.27,112.27,112.27,112.27,100.0,1.0,112.27
MHK,2025-07-01 16:24:00+00:00,112.35,112.35,112.35,112.35,100.0,1.0,112.35
