symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MRNA,2025-07-01 13:30:00+00:00,27.31,27.31,27.1,27.25,1255.0,19.0,27.232456
MRNA,2025-07-01 13:31:00+00:00,27.235,27.275,27.235,27.275,433.0,8.0,27.248333
MRNA,2025-07-01 13:32:00+00:00,27.135,27.165,27.135,27.15,874.0,16.0,27.15
MRNA,2025-07-01 13:33:00+00:00,26.97,26.97,26.81,26.81,973.0,18.0,26.850625
MRNA,2025-07-01 13:34:00+00:00,27.01,27.08,27.01,27.03,1229.0,19.0,27.048398
MRNA,2025-07-01 13:35:00+00:00,27.02,27.09,27.02,27.09,2162.0,29.0,27.037919
MRNA,2025-07-01 13:36:00+00:00,27.07,27.12,27.07,27.12,691.0,9.0,27.092
MRNA,2025-07-01 13:37:00+00:00,27.1,27.15,27.09,27.15,1206.0,15.0,27.114
MRNA,2025-07-01 13:38:00+00:00,27.17,27.17,27.13,27.15,1361.0,15.0,27.145
MRNA,2025-07-01 13:39:00+00:00,27.21,27.21,27.21,27.21,169.0,4.0,27.21
MRNA,2025-07-01 13:40:00+00:00,27.2,27.25,27.2,27.25,752.0,9.0,27.211549
MRNA,2025-07-01 13:41:00+00:00,27.26,27.34,27.24,27.24,2901.0,35.0,27.275646
MRNA,2025-07-01 13:42:00+00:00,27.27,27.29,27.27,27.29,334.0,6.0,27.283333
MRNA,2025-07-01 13:43:00+00:00,27.32,27.32,27.27,27.27,453.0,9.0,27.295
MRNA,2025-07-01 13:44:00+00:00,27.28,27.28,27.28,27.28,259.0,3.0,27.28
MRNA,2025-07-01 13:45:00+00:00,27.23,27.25,27.23,27.23,800.0,14.0,27.24
MRNA,2025-07-01 13:46:00+00:00,27.235,27.285,27.22,27.285,1072.0,11.0,27.238
MRNA,2025-07-01 13:47:00+00:00,27.31,27.31,27.255,27.255,665.0,11.0,27.28875
MRNA,2025-07-01 13:48:00+00:00,27.275,27.275,27.175,27.2,1753.0,17.0,27.204943
MRNA,2025-07-01 13:49:00+00:00,27.22,27.22,27.22,27.22,402.0,7.0,27.22
MRNA,2025-07-01 13:50:00+00:00,27.25,27.25,27.19,27.23,800.0,9.0,27.237143
MRNA,2025-07-01 13:51:00+00:00,27.27,27.31,27.27,27.31,633.0,13.0,27.29
MRNA,2025-07-01 13:52:00+00:00,27.28,27.505,27.27,27.505,2939.0,38.0,27.408131
MRNA,2025-07-01 13:53:00+00:00,27.505,27.505,27.41,27.43,1548.0,16.0,27.48209
MRNA,2025-07-01 13:54:00+00:00,27.435,27.435,27.435,27.435,193.0,3.0,27.435
MRNA,2025-07-01 13:55:00+00:00,27.455,27.55,27.455,27.48,3968.0,48.0,27.484341
MRNA,2025-07-01 13:56:00+00:00,27.485,27.52,27.45,27.5,1530.0,24.0,27.490213
MRNA,2025-07-01 13:57:00+00:00,27.55,27.55,27.52,27.52,502.0,6.0,27.532
MRNA,2025-07-01 13:58:00+00:00,27.51,27.59,27.51,27.58,1334.0,18.0,27.5495
MRNA,2025-07-01 13:59:00+00:00,27.59,27.59,27.59,27.59,687.0,13.0,27.59
MRNA,2025-07-01 14:00:00+00:00,27.615,27.665,27.615,27.64,2194.0,23.0,27.626215
MRNA,2025-07-01 14:01:00+00:00,27.64,27.68,27.63,27.68,1498.0,14.0,27.668691
MRNA,2025-07-01 14:02:00+00:00,27.6,27.615,27.57,27.57,1273.0,17.0,27.587727
MRNA,2025-07-01 14:03:00+00:00,27.58,27.58,27.57,27.58,694.0,13.0,27.5775
MRNA,2025-07-01 14:04:00+00:00,27.61,27.61,27.57,27.57,587.0,13.0,27.595
MRNA,2025-07-01 14:05:00+00:00,27.56,27.56,27.53,27.54,1043.0,20.0,27.53625
MRNA,2025-07-01 14:06:00+00:00,27.57,27.57,27.52,27.57,1240.0,20.0,27.561862
