symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MS,2025-07-01 13:30:00+00:00,140.29,140.29,140.29,140.29,100.0,1.0,140.29
MS,2025-07-01 13:31:00+00:00,140.605,140.93,140.58,140.91,2084.0,54.0,140.726923
MS,2025-07-01 13:32:00+00:00,140.91,140.91,140.71,140.71,1205.0,17.0,140.8545
MS,2025-07-01 13:33:00+00:00,140.675,140.68,140.61,140.61,700.0,6.0,140.666429
MS,2025-07-01 13:34:00+00:00,140.575,140.68,140.575,140.68,372.0,7.0,140.635
MS,2025-07-01 13:35:00+00:00,140.67,141.01,140.67,141.01,855.0,27.0,140.8275
MS,2025-07-01 13:36:00+00:00,140.93,140.93,140.815,140.815,664.0,16.0,140.876429
MS,2025-07-01 13:37:00+00:00,140.79,140.85,140.79,140.79,987.0,24.0,140.81
MS,2025-07-01 13:38:00+00:00,140.635,140.635,140.635,140.635,140.0,6.0,140.635
MS,2025-07-01 13:39:00+00:00,140.57,140.57,140.57,140.57,444.0,14.0,140.57
MS,2025-07-01 13:41:00+00:00,140.6,140.6,140.58,140.58,815.0,26.0,140.59
MS,2025-07-01 13:43:00+00:00,140.69,140.7,140.69,140.7,394.0,15.0,140.695
MS,2025-07-01 13:44:00+00:00,140.8,140.8,140.8,140.8,232.0,6.0,140.8
MS,2025-07-01 13:45:00+00:00,140.81,140.815,140.72,140.72,481.0,16.0,140.781667
MS,2025-07-01 13:46:00+00:00,140.71,140.71,140.705,140.71,1578.0,17.0,140.706957
MS,2025-07-01 13:47:00+00:00,140.7,140.77,140.7,140.77,1310.0,16.0,140.751159
MS,2025-07-01 13:48:00+00:00,140.87,140.915,140.87,140.915,1284.0,18.0,140.8835
MS,2025-07-01 13:49:00+00:00,140.88,141.15,140.88,141.06,3570.0,34.0,141.04267
MS,2025-07-01 13:50:00+00:00,140.92,140.96,140.915,140.95,1412.0,18.0,140.938333
MS,2025-07-01 13:51:00+00:00,140.98,141.065,140.96,141.065,2502.0,23.0,140.988193
MS,2025-07-01 13:52:00+00:00,140.93,140.93,140.925,140.925,845.0,13.0,140.925625
MS,2025-07-01 13:55:00+00:00,141.02,141.02,140.96,140.96,400.0,4.0,140.975
MS,2025-07-01 13:56:00+00:00,140.96,140.97,140.955,140.97,404.0,6.0,140.963132
MS,2025-07-01 13:57:00+00:00,140.86,140.865,140.85,140.85,1413.0,11.0,140.855385
MS,2025-07-01 13:58:00+00:00,140.86,140.86,140.86,140.86,141.0,4.0,140.86
MS,2025-07-01 13:59:00+00:00,140.885,140.935,140.835,140.835,3037.0,24.0,140.874915
MS,2025-07-01 14:00:00+00:00,140.72,140.85,140.72,140.84,1705.0,29.0,140.788408
MS,2025-07-01 14:01:00+00:00,140.66,140.85,140.635,140.85,1540.0,26.0,140.72875
MS,2025-07-01 14:02:00+00:00,140.9,140.9,140.9,140.9,202.0,6.0,140.9
MS,2025-07-01 14:04:00+00:00,140.925,140.925,140.925,140.925,253.0,6.0,140.925
MS,2025-07-01 14:05:00+00:00,140.895,140.98,140.895,140.98,684.0,14.0,140.926
MS,2025-07-01 14:06:00+00:00,141.04,141.04,141.0,141.0,562.0,5.0,141.032727
MS,2025-07-01 14:07:00+00:00,141.01,141.01,140.935,140.935,374.0,7.0,140.9725
MS,2025-07-01 14:08:00+00:00,140.86,141.0,140.86,141.0,641.0,16.0,140.906667
MS,2025-07-01 14:09:00+00:00,141.04,141.07,141.03,141.045,731.0,13.0,141.051
MS,2025-07-01 14:10:00+00:00,141.05,141.06,140.98,140.98,945.0,15.0,141.034
MS,2025-07-01 14:11:00+00:00,140.93,140.93,140.925,140.925,344.0,9.0,140.9275
MS,2025-07-01 14:12:00+00:00,140.92,140.955,140.92,140.935,728.0,10.0,140.94102
MS,2025-07-01 14:13:00+00:00,140.935,141.03,140.93,141.03,1102.0,19.0,140.975714
MS,2025-07-01 14:14:00+00:00,141.0,141.0,140.97,140.99,942.0,20.0,140.99
MS,2025-07-01 14:15:00+00:00,140.88,140.9,140.865,140.9,1343.0,21.0,140.883571
MS,2025-07-01 14:16:00+00:00,140.94,140.95,140.94,140.95,572.0,9.0,140.944872
MS,2025-07-01 14:17:00+00:00,140.84,140.84,140.815,140.815,541.0,8.0,140.8225
MS,2025-07-01 14:18:00+00:00,140.845,140.905,140.845,140.885,1472.0,30.0,140.8735
MS,2025-07-01 14:19:00+00:00,140.83,140.84,140.83,140.84,734.0,8.0,140.835
MS,2025-07-01 14:20:00+00:00,140.825,140.85,140.8,140.82,1863.0,30.0,140.833478
MS,2025-07-01 14:21:00+00:00,140.69,140.74,140.69,140.74,466.0,12.0,140.715
