symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NCLH,2025-07-01 13:30:00+00:00,20.16,20.16,20.1,20.1,1246.0,11.0,20.111807
NCLH,2025-07-01 13:31:00+00:00,20.1,20.245,20.1,20.245,4319.0,28.0,20.166375
NCLH,2025-07-01 13:32:00+00:00,20.245,20.265,20.2,20.26,9065.0,36.0,20.228518
NCLH,2025-07-01 13:33:00+00:00,20.34,20.34,20.3,20.3,1837.0,18.0,20.326994
NCLH,2025-07-01 13:34:00+00:00,20.3,20.34,20.285,20.34,1714.0,18.0,20.314778
NCLH,2025-07-01 13:35:00+00:00,20.335,20.4,20.335,20.37,3745.0,32.0,20.364396
NCLH,2025-07-01 13:36:00+00:00,20.37,20.42,20.37,20.4,4595.0,34.0,20.395947
NCLH,2025-07-01 13:37:00+00:00,20.41,20.41,20.41,20.41,1313.0,16.0,20.41
NCLH,2025-07-01 13:38:00+00:00,20.36,20.37,20.29,20.29,3582.0,27.0,20.323461
NCLH,2025-07-01 13:39:00+00:00,20.32,20.33,20.32,20.33,985.0,10.0,20.323333
NCLH,2025-07-01 13:40:00+00:00,20.33,20.38,20.33,20.35,2998.0,36.0,20.347758
NCLH,2025-07-01 13:41:00+00:00,20.35,20.37,20.33,20.36,2579.0,27.0,20.345835
NCLH,2025-07-01 13:42:00+00:00,20.37,20.4,20.36,20.4,2096.0,27.0,20.382692
NCLH,2025-07-01 13:43:00+00:00,20.395,20.42,20.385,20.42,3730.0,28.0,20.395872
NCLH,2025-07-01 13:44:00+00:00,20.41,20.44,20.41,20.44,1557.0,23.0,20.427585
NCLH,2025-07-01 13:45:00+00:00,20.45,20.45,20.39,20.435,1605.0,15.0,20.425138
NCLH,2025-07-01 13:46:00+00:00,20.47,20.49,20.465,20.49,2757.0,27.0,20.473507
NCLH,2025-07-01 13:47:00+00:00,20.5,20.515,20.495,20.495,3037.0,17.0,20.504649
NCLH,2025-07-01 13:48:00+00:00,20.495,20.53,20.49,20.52,2300.0,17.0,20.505982
NCLH,2025-07-01 13:49:00+00:00,20.53,20.54,20.5,20.505,3112.0,30.0,20.515944
NCLH,2025-07-01 13:50:00+00:00,20.5,20.51,20.5,20.5,1152.0,15.0,20.50625
NCLH,2025-07-01 13:51:00+00:00,20.51,20.55,20.51,20.54,2175.0,26.0,20.53729
NCLH,2025-07-01 13:52:00+00:00,20.55,20.55,20.525,20.545,1471.0,12.0,20.543929
NCLH,2025-07-01 13:53:00+00:00,20.55,20.555,20.55,20.555,457.0,15.0,20.5525
NCLH,2025-07-01 13:54:00+00:00,20.55,20.57,20.55,20.57,811.0,10.0,20.556875
NCLH,2025-07-01 13:55:00+00:00,20.56,20.57,20.56,20.56,1456.0,19.0,20.568182
NCLH,2025-07-01 13:56:00+00:00,20.555,20.56,20.53,20.55,9494.0,29.0,20.551715
NCLH,2025-07-01 13:57:00+00:00,20.54,20.55,20.535,20.55,2990.0,11.0,20.537138
NCLH,2025-07-01 13:58:00+00:00,20.545,20.545,20.525,20.525,1600.0,13.0,20.537667
NCLH,2025-07-01 13:59:00+00:00,20.52,20.52,20.485,20.49,1602.0,15.0,20.507188
NCLH,2025-07-01 14:00:00+00:00,20.45,20.555,20.45,20.555,2112.0,33.0,20.489504
NCLH,2025-07-01 14:01:00+00:00,20.55,20.56,20.54,20.545,1155.0,15.0,20.551184
NCLH,2025-07-01 14:02:00+00:00,20.56,20.57,20.56,20.57,379.0,5.0,20.563333
NCLH,2025-07-01 14:03:00+00:00,20.555,20.555,20.555,20.555,129.0,4.0,20.555
NCLH,2025-07-01 14:04:00+00:00,20.54,20.545,20.515,20.545,1878.0,17.0,20.524412
NCLH,2025-07-01 14:05:00+00:00,20.57,20.57,20.57,20.57,334.0,10.0,20.57
NCLH,2025-07-01 14:06:00+00:00,20.535,20.535,20.535,20.535,372.0,3.0,20.535
NCLH,2025-07-01 14:07:00+00:00,20.54,20.55,20.54,20.545,831.0,12.0,20.545
NCLH,2025-07-01 14:08:00+00:00,20.55,20.55,20.54,20.55,1789.0,21.0,20.548624
NCLH,2025-07-01 14:09:00+00:00,20.59,20.59,20.565,20.565,1706.0,18.0,20.579063
