symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NDAQ,2025-07-01 13:30:00+00:00,89.21,89.24,89.085,89.11,1396.0,21.0,89.155833
NDAQ,2025-07-01 13:31:00+00:00,89.255,89.255,89.255,89.255,236.0,6.0,89.255
NDAQ,2025-07-01 13:33:00+00:00,89.2,89.2,89.2,89.2,200.0,1.0,89.2
NDAQ,2025-07-01 13:35:00+00:00,89.16,89.16,89.16,89.16,300.0,3.0,89.16
NDAQ,2025-07-01 13:36:00+00:00,89.22,89.22,89.22,89.22,100.0,1.0,89.22
NDAQ,2025-07-01 13:39:00+00:00,89.17,89.17,89.17,89.17,200.0,2.0,89.17
NDAQ,2025-07-01 13:41:00+00:00,89.225,89.225,89.225,89.225,384.0,17.0,89.225
NDAQ,2025-07-01 13:43:00+00:00,89.25,89.25,89.25,89.25,321.0,3.0,89.25
NDAQ,2025-07-01 13:44:00+00:00,89.205,89.205,89.205,89.205,100.0,1.0,89.205
NDAQ,2025-07-01 13:47:00+00:00,89.295,89.295,89.295,89.295,100.0,1.0,89.295
NDAQ,2025-07-01 13:49:00+00:00,89.31,89.31,89.31,89.31,601.0,4.0,89.31
NDAQ,2025-07-01 13:52:00+00:00,89.325,89.325,89.31,89.31,726.0,7.0,89.3125
NDAQ,2025-07-01 13:56:00+00:00,89.285,89.285,89.285,89.285,342.0,7.0,89.285
NDAQ,2025-07-01 13:57:00+00:00,89.26,89.265,89.26,89.265,400.0,7.0,89.261351
NDAQ,2025-07-01 14:00:00+00:00,89.31,89.32,89.31,89.32,620.0,6.0,89.314275
NDAQ,2025-07-01 14:01:00+00:00,89.38,89.38,89.38,89.38,483.0,3.0,89.38
NDAQ,2025-07-01 14:02:00+00:00,89.39,89.39,89.375,89.375,625.0,8.0,89.385822
NDAQ,2025-07-01 14:04:00+00:00,89.38,89.38,89.37,89.37,358.0,8.0,89.375
NDAQ,2025-07-01 14:05:00+00:00,89.4,89.4,89.4,89.4,150.0,6.0,89.4
NDAQ,2025-07-01 14:07:00+00:00,89.43,89.43,89.43,89.43,165.0,4.0,89.43
NDAQ,2025-07-01 14:08:00+00:00,89.35,89.35,89.35,89.35,304.0,6.0,89.35
NDAQ,2025-07-01 14:09:00+00:00,89.325,89.325,89.325,89.325,200.0,2.0,89.325
NDAQ,2025-07-01 14:11:00+00:00,89.365,89.365,89.365,89.365,413.0,4.0,89.365
NDAQ,2025-07-01 14:12:00+00:00,89.34,89.34,89.34,89.34,563.0,13.0,89.34
