symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NEE,2025-07-01 13:30:00+00:00,69.375,69.74,69.375,69.675,2014.0,30.0,69.570265
NEE,2025-07-01 13:31:00+00:00,69.67,69.76,69.66,69.675,1999.0,24.0,69.696746
NEE,2025-07-01 13:32:00+00:00,69.69,69.7,69.595,69.595,1239.0,13.0,69.679749
NEE,2025-07-01 13:33:00+00:00,69.52,69.54,69.4,69.425,1719.0,25.0,69.45339
NEE,2025-07-01 13:34:00+00:00,69.34,69.345,69.34,69.345,1124.0,16.0,69.344446
NEE,2025-07-01 13:35:00+00:00,69.38,69.64,69.38,69.64,1153.0,16.0,69.40987
NEE,2025-07-01 13:36:00+00:00,69.645,69.675,69.64,69.675,1711.0,19.0,69.654615
NEE,2025-07-01 13:37:00+00:00,69.65,69.665,69.63,69.63,420.0,6.0,69.649615
NEE,2025-07-01 13:38:00+00:00,69.655,69.67,69.655,69.66,631.0,10.0,69.660882
NEE,2025-07-01 13:39:00+00:00,69.63,69.655,69.63,69.655,767.0,12.0,69.637692
NEE,2025-07-01 13:40:00+00:00,69.555,69.635,69.555,69.635,736.0,11.0,69.591468
NEE,2025-07-01 13:41:00+00:00,69.62,69.62,69.565,69.565,1087.0,15.0,69.599815
NEE,2025-07-01 13:42:00+00:00,69.56,69.59,69.49,69.5,1910.0,27.0,69.540307
NEE,2025-07-01 13:43:00+00:00,69.49,69.535,69.44,69.44,1465.0,18.0,69.492709
NEE,2025-07-01 13:44:00+00:00,69.4,69.41,69.35,69.385,1840.0,19.0,69.387106
NEE,2025-07-01 13:45:00+00:00,69.37,69.41,69.35,69.41,726.0,7.0,69.386897
NEE,2025-07-01 13:46:00+00:00,69.445,69.55,69.445,69.55,1753.0,20.0,69.475714
NEE,2025-07-01 13:47:00+00:00,69.56,69.58,69.54,69.54,632.0,8.0,69.559
NEE,2025-07-01 13:48:00+00:00,69.55,69.55,69.49,69.49,1272.0,12.0,69.542021
NEE,2025-07-01 13:49:00+00:00,69.505,69.505,69.45,69.465,1807.0,22.0,69.471401
NEE,2025-07-01 13:50:00+00:00,69.48,69.48,69.48,69.48,578.0,14.0,69.48
NEE,2025-07-01 13:51:00+00:00,69.49,69.49,69.43,69.465,1172.0,15.0,69.452
NEE,2025-07-01 13:52:00+00:00,69.46,69.46,69.385,69.385,1994.0,23.0,69.415882
NEE,2025-07-01 13:53:00+00:00,69.385,69.43,69.385,69.43,907.0,11.0,69.396757
NEE,2025-07-01 13:54:00+00:00,69.45,69.47,69.45,69.47,283.0,5.0,69.461837
NEE,2025-07-01 13:55:00+00:00,69.48,69.51,69.43,69.435,1814.0,23.0,69.462362
NEE,2025-07-01 13:56:00+00:00,69.39,69.39,69.335,69.335,529.0,9.0,69.36875
NEE,2025-07-01 13:57:00+00:00,69.335,69.335,69.335,69.335,233.0,7.0,69.335
