symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NWSA,2025-07-01 13:31:00+00:00,29.77,29.77,29.77,29.77,100.0,1.0,29.77
NWSA,2025-07-01 13:32:00+00:00,29.77,29.855,29.77,29.83,1106.0,12.0,29.819
NWSA,2025-07-01 13:34:00+00:00,29.85,29.85,29.85,29.85,101.0,2.0,29.85
NWSA,2025-07-01 13:36:00+00:00,29.79,29.8,29.79,29.8,200.0,2.0,29.795
NWSA,2025-07-01 13:37:00+00:00,29.78,29.78,29.775,29.78,505.0,6.0,29.779
NWSA,2025-07-01 13:38:00+00:00,29.77,29.77,29.75,29.75,300.0,3.0,29.763333
NWSA,2025-07-01 13:41:00+00:00,29.76,29.76,29.76,29.76,100.0,1.0,29.76
NWSA,2025-07-01 13:43:00+00:00,29.8,29.8,29.8,29.8,100.0,1.0,29.8
NWSA,2025-07-01 13:44:00+00:00,29.77,29.77,29.77,29.77,200.0,2.0,29.77
NWSA,2025-07-01 13:46:00+00:00,29.81,29.81,29.8,29.8,500.0,6.0,29.8075
NWSA,2025-07-01 13:47:00+00:00,29.795,29.8,29.795,29.8,600.0,6.0,29.796667
NWSA,2025-07-01 13:48:00+00:00,29.835,29.84,29.835,29.84,329.0,4.0,29.836754
NWSA,2025-07-01 13:49:00+00:00,29.87,29.87,29.865,29.87,1441.0,16.0,29.867857
NWSA,2025-07-01 13:50:00+00:00,29.875,29.875,29.855,29.86,1110.0,14.0,29.863636
NWSA,2025-07-01 13:51:00+00:00,29.87,29.87,29.835,29.835,400.0,4.0,29.85875
NWSA,2025-07-01 13:52:00+00:00,29.85,29.85,29.84,29.84,563.0,11.0,29.8425
NWSA,2025-07-01 13:53:00+00:00,29.835,29.85,29.835,29.85,412.0,6.0,29.84625
NWSA,2025-07-01 13:54:00+00:00,29.835,29.84,29.835,29.84,872.0,10.0,29.835714
NWSA,2025-07-01 13:56:00+00:00,29.835,29.835,29.82,29.82,482.0,8.0,29.825
NWSA,2025-07-01 13:57:00+00:00,29.81,29.81,29.81,29.81,100.0,1.0,29.81
NWSA,2025-07-01 13:58:00+00:00,29.805,29.805,29.805,29.805,109.0,3.0,29.805
NWSA,2025-07-01 13:59:00+00:00,29.8,29.82,29.8,29.82,691.0,10.0,29.806667
NWSA,2025-07-01 14:00:00+00:00,29.8,29.8,29.78,29.795,1989.0,21.0,29.796299
NWSA,2025-07-01 14:01:00+00:00,29.795,29.815,29.79,29.81,4259.0,47.0,29.796566
NWSA,2025-07-01 14:02:00+00:00,29.815,29.815,29.815,29.815,204.0,3.0,29.815
NWSA,2025-07-01 14:03:00+00:00,29.82,29.82,29.81,29.81,539.0,10.0,29.815
NWSA,2025-07-01 14:04:00+00:00,29.8,29.8,29.8,29.8,500.0,5.0,29.8
NWSA,2025-07-01 14:06:00+00:00,29.815,29.825,29.815,29.82,455.0,7.0,29.82125
NWSA,2025-07-01 14:08:00+00:00,29.83,29.83,29.81,29.81,223.0,3.0,29.82
NWSA,2025-07-01 14:10:00+00:00,29.815,29.815,29.81,29.81,222.0,3.0,29.8125
NWSA,2025-07-01 14:12:00+00:00,29.805,29.82,29.805,29.82,234.0,4.0,29.8125
NWSA,2025-07-01 14:13:00+00:00,29.825,29.83,29.82,29.82,830.0,10.0,29.825833
NWSA,2025-07-01 14:14:00+00:00,29.81,29.81,29.81,29.81,389.0,5.0,29.81
NWSA,2025-07-01 14:15:00+00:00,29.81,29.81,29.81,29.81,165.0,4.0,29.81
NWSA,2025-07-01 14:17:00+00:00,29.785,29.785,29.785,29.785,445.0,6.0,29.785
NWSA,2025-07-01 14:18:00+00:00,29.775,29.775,29.775,29.775,160.0,4.0,29.775
NWSA,2025-07-01 14:20:00+00:00,29.785,29.785,29.765,29.765,920.0,14.0,29.77625
NWSA,2025-07-01 14:22:00+00:00,29.765,29.77,29.76,29.77,394.0,8.0,29.765
NWSA,2025-07-01 14:23:00+00:00,29.77,29.77,29.77,29.77,111.0,2.0,29.77
NWSA,2025-07-01 14:24:00+00:00,29.795,29.795,29.795,29.795,200.0,4.0,29.795
NWSA,2025-07-01 14:26:00+00:00,29.78,29.78,29.78,29.78,883.0,10.0,29.78
NWSA,2025-07-01 14:27:00+00:00,29.775,29.775,29.74,29.74,921.0,13.0,29.75125
NWSA,2025-07-01 14:28:00+00:00,29.73,29.74,29.73,29.73,589.0,11.0,29.736
NWSA,2025-07-01 14:29:00+00:00,29.74,29.74,29.74,29.74,200.0,3.0,29.74
NWSA,2025-07-01 14:30:00+00:00,29.745,29.745,29.745,29.745,179.0,6.0,29.745
NWSA,2025-07-01 14:31:00+00:00,29.75,29.76,29.75,29.76,506.0,7.0,29.754
NWSA,2025-07-01 14:33:00+00:00,29.765,29.77,29.76,29.77,522.0,8.0,29.764
NWSA,2025-07-01 14:35:00+00:00,29.77,29.77,29.76,29.76,1489.0,17.0,29.768077
NWSA,2025-07-01 14:36:00+00:00,29.745,29.745,29.745,29.745,100.0,1.0,29.745
NWSA,2025-07-01 14:37:00+00:00,29.74,29.74,29.73,29.73,206.0,3.0,29.735
NWSA,2025-07-01 14:38:00+00:00,29.735,29.735,29.735,29.735,187.0,7.0,29.735
NWSA,2025-07-01 14:40:00+00:00,29.71,29.71,29.71,29.71,368.0,10.0,29.71
NWSA,2025-07-01 14:41:00+00:00,29.73,29.73,29.72,29.72,307.0,7.0,29.725
NWSA,2025-07-01 14:42:00+00:00,29.73,29.73,29.715,29.715,594.0,8.0,29.725
NWSA,2025-07-01 14:45:00+00:00,29.715,29.715,29.715,29.715,668.0,13.0,29.715
NWSA,2025-07-01 14:46:00+00:00,29.69,29.69,29.69,29.69,100.0,1.0,29.69
NWSA,2025-07-01 14:47:00+00:00,29.7,29.7,29.7,29.7,135.0,4.0,29.7
NWSA,2025-07-01 14:48:00+00:00,29.7,29.715,29.7,29.715,358.0,5.0,29.706667
NWSA,2025-07-01 14:49:00+00:00,29.71,29.71,29.71,29.71,360.0,9.0,29.71
NWSA,2025-07-01 14:51:00+00:00,29.74,29.745,29.74,29.745,300.0,4.0,29.7425
NWSA,2025-07-01 14:52:00+00:00,29.735,29.765,29.73,29.765,501.0,6.0,29.75
NWSA,2025-07-01 14:55:00+00:00,29.77,29.77,29.77,29.77,821.0,14.0,29.77
NWSA,2025-07-01 14:56:00+00:00,29.78,29.78,29.78,29.78,914.0,10.0,29.78
NWSA,2025-07-01 14:57:00+00:00,29.785,29.785,29.785,29.785,265.0,5.0,29.785
NWSA,2025-07-01 14:58:00+00:00,29.79,29.79,29.77,29.77,1446.0,17.0,29.78
NWSA,2025-07-01 14:59:00+00:00,29.77,29.77,29.77,29.77,118.0,7.0,29.77
NWSA,2025-07-01 15:00:00+00:00,29.77,29.77,29.77,29.77,173.0,5.0,29.77
NWSA,2025-07-01 15:02:00+00:00,29.77,29.77,29.77,29.77,142.0,5.0,29.77
NWSA,2025-07-01 15:03:00+00:00,29.775,29.775,29.775,29.775,135.0,3.0,29.775
NWSA,2025-07-01 15:07:00+00:00,29.71,29.71,29.7,29.7,901.0,10.0,29.703333
NWSA,2025-07-01 15:08:00+00:00,29.695,29.7,29.695,29.7,611.0,9.0,29.69875
NWSA,2025-07-01 15:10:00+00:00,29.71,29.71,29.71,29.71,352.0,8.0,29.71
NWSA,2025-07-01 15:12:00+00:00,29.72,29.72,29.72,29.72,800.0,8.0,29.72
NWSA,2025-07-01 15:13:00+00:00,29.73,29.73,29.73,29.73,324.0,8.0,29.73
NWSA,2025-07-01 15:14:00+00:00,29.71,29.71,29.71,29.71,536.0,8.0,29.71
NWSA,2025-07-01 15:16:00+00:00,29.705,29.705,29.7,29.7,204.0,3.0,29.7025
NWSA,2025-07-01 15:17:00+00:00,29.705,29.71,29.705,29.71,508.0,9.0,29.70875
NWSA,2025-07-01 15:18:00+00:00,29.71,29.71,29.71,29.71,100.0,1.0,29.71
NWSA,2025-07-01 15:19:00+00:00,29.71,29.71,29.7,29.7,1004.0,14.0,29.703889
NWSA,2025-07-01 15:20:00+00:00,29.7,29.7,29.7,29.7,409.0,11.0,29.7
NWSA,2025-07-01 15:21:00+00:00,29.72,29.72,29.72,29.72,232.0,5.0,29.72
NWSA,2025-07-01 15:24:00+00:00,29.71,29.72,29.71,29.72,202.0,4.0,29.715
NWSA,2025-07-01 15:25:00+00:00,29.735,29.735,29.735,29.735,189.0,4.0,29.735
NWSA,2025-07-01 15:26:00+00:00,29.73,29.745,29.73,29.74,1366.0,16.0,29.737967
NWSA,2025-07-01 15:27:00+00:00,29.745,29.745,29.74,29.74,416.0,7.0,29.74125
NWSA,2025-07-01 15:29:00+00:00,29.77,29.77,29.76,29.76,599.0,8.0,29.7675
NWSA,2025-07-01 15:30:00+00:00,29.78,29.78,29.78,29.78,110.0,3.0,29.78
NWSA,2025-07-01 15:31:00+00:00,29.79,29.805,29.79,29.805,300.0,4.0,29.7975
NWSA,2025-07-01 15:32:00+00:00,29.81,29.81,29.81,29.81,306.0,6.0,29.81
NWSA,2025-07-01 15:33:00+00:00,29.79,29.79,29.79,29.79,378.0,7.0,29.79
NWSA,2025-07-01 15:35:00+00:00,29.8,29.8,29.79,29.79,463.0,7.0,29.793333
NWSA,2025-07-01 15:36:00+00:00,29.78,29.78,29.78,29.78,208.0,4.0,29.78
NWSA,2025-07-01 15:37:00+00:00,29.765,29.77,29.765,29.77,470.0,5.0,29.76875
NWSA,2025-07-01 15:38:00+00:00,29.77,29.77,29.77,29.77,127.0,3.0,29.77
NWSA,2025-07-01 15:39:00+00:00,29.78,29.78,29.78,29.78,113.0,3.0,29.78
NWSA,2025-07-01 15:40:00+00:00,29.76,29.76,29.755,29.755,213.0,5.0,29.7575
NWSA,2025-07-01 15:41:00+00:00,29.75,29.75,29.75,29.75,300.0,3.0,29.75
NWSA,2025-07-01 15:42:00+00:00,29.715,29.715,29.715,29.715,105.0,3.0,29.715
NWSA,2025-07-01 15:43:00+00:00,29.72,29.72,29.72,29.72,185.0,2.0,29.72
NWSA,2025-07-01 15:44:00+00:00,29.7,29.71,29.7,29.71,402.0,5.0,29.7025
NWSA,2025-07-01 15:45:00+00:00,29.71,29.71,29.71,29.71,388.0,6.0,29.71
NWSA,2025-07-01 15:46:00+00:00,29.71,29.71,29.71,29.71,370.0,7.0,29.71
NWSA,2025-07-01 15:47:00+00:00,29.72,29.735,29.72,29.735,609.0,9.0,29.724167
NWSA,2025-07-01 15:48:00+00:00,29.72,29.72,29.72,29.72,301.0,4.0,29.72
NWSA,2025-07-01 15:49:00+00:00,29.73,29.73,29.73,29.73,200.0,6.0,29.73
NWSA,2025-07-01 15:50:00+00:00,29.72,29.74,29.72,29.74,608.0,12.0,29.725
NWSA,2025-07-01 15:51:00+00:00,29.74,29.74,29.74,29.74,255.0,7.0,29.74
NWSA,2025-07-01 15:56:00+00:00,29.72,29.725,29.72,29.725,402.0,6.0,29.721667
NWSA,2025-07-01 15:58:00+00:00,29.745,29.745,29.745,29.745,214.0,3.0,29.745
NWSA,2025-07-01 16:00:00+00:00,29.765,29.765,29.765,29.765,160.0,5.0,29.765
NWSA,2025-07-01 16:01:00+00:00,29.79,29.79,29.79,29.79,110.0,2.0,29.79
NWSA,2025-07-01 16:03:00+00:00,29.79,29.79,29.79,29.79,100.0,1.0,29.79
NWSA,2025-07-01 16:05:00+00:00,29.8,29.8,29.8,29.8,452.0,8.0,29.8
NWSA,2025-07-01 16:08:00+00:00,29.805,29.81,29.8,29.805,832.0,8.0,29.803005
NWSA,2025-07-01 16:09:00+00:00,29.815,29.815,29.815,29.815,191.0,3.0,29.815
NWSA,2025-07-01 16:11:00+00:00,29.825,29.83,29.82,29.83,684.0,10.0,29.8225
NWSA,2025-07-01 16:12:00+00:00,29.82,29.835,29.82,29.835,433.0,4.0,29.8275
NWSA,2025-07-01 16:13:00+00:00,29.83,29.835,29.83,29.83,562.0,16.0,29.831
NWSA,2025-07-01 16:16:00+00:00,29.85,29.85,29.85,29.85,249.0,6.0,29.85
NWSA,2025-07-01 16:22:00+00:00,29.79,29.8,29.79,29.79,773.0,10.0,29.792857
NWSA,2025-07-01 16:23:00+00:00,29.79,29.79,29.79,29.79,339.0,6.0,29.79
NWSA,2025-07-01 16:26:00+00:00,29.8,29.81,29.8,29.81,406.0,7.0,29.803333
NWSA,2025-07-01 16:28:00+00:00,29.8,29.8,29.8,29.8,210.0,3.0,29.8
NWSA,2025-07-01 16:30:00+00:00,29.805,29.805,29.805,29.805,100.0,1.0,29.805
NWSA,2025-07-01 16:31:00+00:00,29.805,29.825,29.8,29.825,603.0,7.0,29.805833
NWSA,2025-07-01 16:32:00+00:00,29.81,29.81,29.81,29.81,600.0,6.0,29.81
NWSA,2025-07-01 16:35:00+00:00,29.81,29.81,29.81,29.81,620.0,9.0,29.81
NWSA,2025-07-01 16:36:00+00:00,29.83,29.83,29.81,29.81,647.0,8.0,29.816667
NWSA,2025-07-01 16:38:00+00:00,29.83,29.835,29.83,29.835,514.0,7.0,29.831
NWSA,2025-07-01 16:40:00+00:00,29.82,29.82,29.81,29.81,799.0,10.0,29.812857
NWSA,2025-07-01 16:45:00+00:00,29.79,29.79,29.79,29.79,100.0,1.0,29.79
NWSA,2025-07-01 16:46:00+00:00,29.785,29.785,29.785,29.785,159.0,2.0,29.785
NWSA,2025-07-01 16:47:00+00:00,29.77,29.775,29.77,29.775,922.0,8.0,29.774375
NWSA,2025-07-01 16:49:00+00:00,29.785,29.785,29.785,29.785,189.0,4.0,29.785
NWSA,2025-07-01 16:50:00+00:00,29.79,29.79,29.79,29.79,310.0,4.0,29.79
NWSA,2025-07-01 16:52:00+00:00,29.82,29.82,29.82,29.82,312.0,5.0,29.82
NWSA,2025-07-01 16:53:00+00:00,29.825,29.825,29.82,29.82,409.0,7.0,29.82125
NWSA,2025-07-01 16:54:00+00:00,29.81,29.81,29.8,29.805,738.0,9.0,29.80569
NWSA,2025-07-01 16:55:00+00:00,29.815,29.815,29.815,29.815,174.0,4.0,29.815
NWSA,2025-07-01 16:56:00+00:00,29.81,29.81,29.81,29.81,210.0,3.0,29.81
NWSA,2025-07-01 16:59:00+00:00,29.79,29.79,29.78,29.78,332.0,6.0,29.786667
NWSA,2025-07-01 17:00:00+00:00,29.78,29.785,29.78,29.785,1022.0,16.0,29.783889
NWSA,2025-07-01 17:02:00+00:00,29.78,29.78,29.78,29.78,240.0,6.0,29.78
NWSA,2025-07-01 17:04:00+00:00,29.795,29.805,29.795,29.805,218.0,6.0,29.8
NWSA,2025-07-01 17:05:00+00:00,29.81,29.81,29.81,29.81,200.0,1.0,29.81
NWSA,2025-07-01 17:06:00+00:00,29.82,29.82,29.815,29.815,300.0,3.0,29.818333
NWSA,2025-07-01 17:11:00+00:00,29.855,29.855,29.85,29.85,529.0,5.0,29.851
NWSA,2025-07-01 17:12:00+00:00,29.85,29.85,29.85,29.85,188.0,2.0,29.85
NWSA,2025-07-01 17:13:00+00:00,29.85,29.85,29.85,29.85,124.0,9.0,29.85
NWSA,2025-07-01 17:14:00+00:00,29.855,29.855,29.855,29.855,205.0,6.0,29.855
NWSA,2025-07-01 17:15:00+00:00,29.855,29.855,29.855,29.855,468.0,10.0,29.855
NWSA,2025-07-01 17:17:00+00:00,29.865,29.865,29.865,29.865,200.0,2.0,29.865
NWSA,2025-07-01 17:19:00+00:00,29.875,29.885,29.87,29.88,1038.0,11.0,29.876398
NWSA,2025-07-01 17:22:00+00:00,29.87,29.87,29.87,29.87,774.0,10.0,29.87
NWSA,2025-07-01 17:23:00+00:00,29.865,29.875,29.865,29.875,818.0,9.0,29.87375
NWSA,2025-07-01 17:25:00+00:00,29.875,29.875,29.875,29.875,100.0,1.0,29.875
