symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PCAR,2025-07-01 13:30:00+00:00,94.69,94.69,94.66,94.685,1346.0,17.0,94.681923
PCAR,2025-07-01 13:31:00+00:00,94.98,95.06,94.88,94.99,1755.0,20.0,94.985
PCAR,2025-07-01 13:32:00+00:00,95.31,95.41,95.31,95.35,1177.0,10.0,95.370994
PCAR,2025-07-01 13:33:00+00:00,95.31,95.345,95.31,95.345,300.0,3.0,95.321667
PCAR,2025-07-01 13:35:00+00:00,95.335,95.335,95.335,95.335,418.0,11.0,95.335
PCAR,2025-07-01 13:37:00+00:00,95.775,95.775,95.67,95.67,720.0,5.0,95.740979
PCAR,2025-07-01 13:39:00+00:00,95.815,95.86,95.81,95.81,582.0,5.0,95.828041
PCAR,2025-07-01 13:40:00+00:00,95.82,95.82,95.71,95.71,256.0,4.0,95.765
PCAR,2025-07-01 13:41:00+00:00,95.76,95.76,95.76,95.76,100.0,1.0,95.76
PCAR,2025-07-01 13:42:00+00:00,95.755,95.755,95.755,95.755,113.0,2.0,95.755
PCAR,2025-07-01 13:43:00+00:00,95.715,95.715,95.715,95.715,110.0,2.0,95.715
PCAR,2025-07-01 13:44:00+00:00,95.675,95.68,95.66,95.68,479.0,5.0,95.671587
PCAR,2025-07-01 13:45:00+00:00,95.715,95.715,95.64,95.64,434.0,6.0,95.665
PCAR,2025-07-01 13:46:00+00:00,95.7,95.7,95.67,95.67,521.0,14.0,95.681494
PCAR,2025-07-01 13:48:00+00:00,95.59,95.62,95.59,95.62,240.0,5.0,95.605
PCAR,2025-07-01 13:50:00+00:00,95.64,95.67,95.64,95.665,702.0,7.0,95.662143
PCAR,2025-07-01 13:51:00+00:00,95.64,95.64,95.64,95.64,250.0,7.0,95.64
PCAR,2025-07-01 13:52:00+00:00,95.63,95.63,95.63,95.63,450.0,10.0,95.63
PCAR,2025-07-01 13:55:00+00:00,95.405,95.405,95.405,95.405,737.0,13.0,95.405
PCAR,2025-07-01 13:59:00+00:00,95.315,95.315,95.315,95.315,255.0,8.0,95.315
PCAR,2025-07-01 14:00:00+00:00,95.24,95.24,95.24,95.24,257.0,14.0,95.24
PCAR,2025-07-01 14:01:00+00:00,95.36,95.36,95.36,95.36,485.0,11.0,95.36
PCAR,2025-07-01 14:04:00+00:00,95.42,95.42,95.42,95.42,128.0,4.0,95.42
PCAR,2025-07-01 14:05:00+00:00,95.49,95.49,95.49,95.49,177.0,5.0,95.49
PCAR,2025-07-01 14:06:00+00:00,95.58,95.58,95.58,95.58,812.0,15.0,95.58
PCAR,2025-07-01 14:07:00+00:00,95.76,95.76,95.74,95.74,575.0,14.0,95.753031
PCAR,2025-07-01 14:09:00+00:00,95.77,95.77,95.77,95.77,573.0,23.0,95.77
PCAR,2025-07-01 14:10:00+00:00,95.815,95.825,95.77,95.77,1013.0,17.0,95.800836
PCAR,2025-07-01 14:11:00+00:00,95.77,95.83,95.77,95.77,1300.0,25.0,95.8
PCAR,2025-07-01 14:12:00+00:00,95.765,95.82,95.765,95.82,492.0,11.0,95.787581
PCAR,2025-07-01 14:13:00+00:00,95.845,95.925,95.845,95.925,746.0,14.0,95.881445
PCAR,2025-07-01 14:14:00+00:00,95.955,95.96,95.955,95.96,571.0,12.0,95.957917
PCAR,2025-07-01 14:15:00+00:00,95.96,95.985,95.955,95.955,1176.0,30.0,95.964273
PCAR,2025-07-01 14:17:00+00:00,95.985,95.985,95.985,95.985,602.0,19.0,95.985
PCAR,2025-07-01 14:18:00+00:00,95.93,95.93,95.93,95.93,332.0,16.0,95.93
PCAR,2025-07-01 14:20:00+00:00,96.02,96.02,96.02,96.02,337.0,4.0,96.02
PCAR,2025-07-01 14:21:00+00:00,96.1,96.1,96.1,96.1,124.0,5.0,96.1
PCAR,2025-07-01 14:22:00+00:00,96.105,96.14,96.09,96.13,700.0,11.0,96.1125
PCAR,2025-07-01 14:23:00+00:00,96.155,96.155,96.155,96.155,366.0,14.0,96.155
PCAR,2025-07-01 14:24:00+00:00,96.16,96.165,96.095,96.095,709.0,17.0,96.12875
PCAR,2025-07-01 14:25:00+00:00,96.12,96.12,96.12,96.12,216.0,6.0,96.12
PCAR,2025-07-01 14:26:00+00:00,96.235,96.235,96.235,96.235,297.0,11.0,96.235
PCAR,2025-07-01 14:28:00+00:00,96.19,96.19,96.19,96.19,174.0,5.0,96.19
PCAR,2025-07-01 14:29:00+00:00,96.19,96.19,96.19,96.19,988.0,29.0,96.19
PCAR,2025-07-01 14:31:00+00:00,96.27,96.31,96.27,96.31,793.0,26.0,96.296667
PCAR,2025-07-01 14:32:00+00:00,96.25,96.3,96.25,96.3,1154.0,29.0,96.263699
PCAR,2025-07-01 14:33:00+00:00,96.29,96.29,96.29,96.29,103.0,2.0,96.29
PCAR,2025-07-01 14:34:00+00:00,96.35,96.35,96.35,96.35,303.0,6.0,96.35
PCAR,2025-07-01 14:35:00+00:00,96.365,96.365,96.315,96.315,513.0,5.0,96.345
PCAR,2025-07-01 14:36:00+00:00,96.35,96.5,96.35,96.49,830.0,13.0,96.411667
PCAR,2025-07-01 14:37:00+00:00,96.475,96.475,96.475,96.475,196.0,5.0,96.475
PCAR,2025-07-01 14:39:00+00:00,96.565,96.565,96.565,96.565,363.0,6.0,96.565
PCAR,2025-07-01 14:40:00+00:00,96.57,96.57,96.57,96.57,439.0,7.0,96.57
PCAR,2025-07-01 14:42:00+00:00,96.67,96.67,96.67,96.67,200.0,3.0,96.67
PCAR,2025-07-01 14:44:00+00:00,96.715,96.81,96.715,96.8,1375.0,20.0,96.764642
PCAR,2025-07-01 14:45:00+00:00,96.85,96.86,96.84,96.86,426.0,7.0,96.85
PCAR,2025-07-01 14:46:00+00:00,96.88,96.89,96.81,96.81,1386.0,21.0,96.874732
PCAR,2025-07-01 14:47:00+00:00,96.86,96.86,96.86,96.86,487.0,13.0,96.86
PCAR,2025-07-01 14:49:00+00:00,96.9,96.9,96.9,96.9,229.0,6.0,96.9
PCAR,2025-07-01 14:51:00+00:00,96.89,96.94,96.89,96.93,608.0,7.0,96.92
PCAR,2025-07-01 14:52:00+00:00,96.945,96.945,96.945,96.945,212.0,3.0,96.945
PCAR,2025-07-01 14:53:00+00:00,96.945,96.945,96.945,96.945,302.0,3.0,96.945
PCAR,2025-07-01 14:54:00+00:00,96.985,96.985,96.94,96.965,448.0,9.0,96.963333
PCAR,2025-07-01 14:55:00+00:00,96.97,97.015,96.92,96.92,1361.0,19.0,96.985055
PCAR,2025-07-01 14:56:00+00:00,96.93,96.95,96.93,96.95,400.0,5.0,96.936667
PCAR,2025-07-01 14:57:00+00:00,96.93,96.96,96.93,96.96,348.0,7.0,96.945
PCAR,2025-07-01 14:58:00+00:00,96.96,96.96,96.955,96.955,326.0,10.0,96.9575
PCAR,2025-07-01 14:59:00+00:00,96.98,97.02,96.98,97.02,293.0,11.0,97.0
PCAR,2025-07-01 15:00:00+00:00,96.98,96.98,96.98,96.98,304.0,5.0,96.98
PCAR,2025-07-01 15:01:00+00:00,96.95,96.96,96.95,96.95,675.0,12.0,96.9525
PCAR,2025-07-01 15:02:00+00:00,96.95,97.005,96.95,97.005,294.0,6.0,96.9775
PCAR,2025-07-01 15:03:00+00:00,97.01,97.01,97.01,97.01,524.0,8.0,97.01
PCAR,2025-07-01 15:04:00+00:00,97.06,97.13,97.06,97.13,575.0,11.0,97.083333
PCAR,2025-07-01 15:05:00+00:00,97.195,97.195,97.195,97.195,259.0,7.0,97.195
PCAR,2025-07-01 15:06:00+00:00,97.165,97.19,97.165,97.17,704.0,12.0,97.17375
PCAR,2025-07-01 15:08:00+00:00,97.26,97.32,97.255,97.32,1873.0,25.0,97.27125
PCAR,2025-07-01 15:09:00+00:00,97.33,97.45,97.33,97.43,563.0,5.0,97.413
PCAR,2025-07-01 15:10:00+00:00,97.4,97.4,97.38,97.4,874.0,15.0,97.395556
PCAR,2025-07-01 15:11:00+00:00,97.4,97.4,97.4,97.4,450.0,11.0,97.4
PCAR,2025-07-01 15:13:00+00:00,97.56,97.59,97.56,97.59,625.0,15.0,97.57
PCAR,2025-07-01 15:14:00+00:00,97.64,97.65,97.64,97.645,420.0,8.0,97.645
PCAR,2025-07-01 15:15:00+00:00,97.68,97.69,97.68,97.69,323.0,5.0,97.685
PCAR,2025-07-01 15:16:00+00:00,97.65,97.65,97.65,97.65,267.0,5.0,97.65
PCAR,2025-07-01 15:17:00+00:00,97.655,97.76,97.655,97.76,550.0,7.0,97.71875
PCAR,2025-07-01 15:18:00+00:00,97.73,97.73,97.73,97.73,380.0,9.0,97.73
PCAR,2025-07-01 15:19:00+00:00,97.695,97.695,97.695,97.695,230.0,6.0,97.695
PCAR,2025-07-01 15:20:00+00:00,97.705,97.705,97.69,97.69,250.0,3.0,97.6975
PCAR,2025-07-01 15:21:00+00:00,97.71,97.71,97.71,97.71,435.0,7.0,97.71
PCAR,2025-07-01 15:23:00+00:00,97.915,97.915,97.915,97.915,647.0,10.0,97.915
PCAR,2025-07-01 15:24:00+00:00,97.96,97.96,97.935,97.935,300.0,4.0,97.9475
PCAR,2025-07-01 15:26:00+00:00,97.935,98.06,97.895,98.055,3223.0,41.0,97.96854
PCAR,2025-07-01 15:27:00+00:00,98.115,98.115,98.075,98.075,325.0,4.0,98.088333
PCAR,2025-07-01 15:28:00+00:00,98.04,98.04,98.01,98.01,833.0,12.0,98.028
PCAR,2025-07-01 15:29:00+00:00,97.91,97.91,97.91,97.91,286.0,6.0,97.91
PCAR,2025-07-01 15:31:00+00:00,97.99,97.99,97.925,97.925,654.0,11.0,97.957205
PCAR,2025-07-01 15:32:00+00:00,97.95,97.95,97.93,97.93,417.0,6.0,97.943333
PCAR,2025-07-01 15:33:00+00:00,97.98,98.075,97.98,98.075,782.0,14.0,98.023
PCAR,2025-07-01 15:34:00+00:00,98.13,98.13,98.13,98.13,278.0,3.0,98.13
PCAR,2025-07-01 15:35:00+00:00,97.98,97.98,97.98,97.98,581.0,13.0,97.98
PCAR,2025-07-01 15:36:00+00:00,98.0,98.0,97.97,97.98,959.0,11.0,97.993554
PCAR,2025-07-01 15:37:00+00:00,98.02,98.02,98.02,98.02,238.0,4.0,98.02
PCAR,2025-07-01 15:38:00+00:00,98.025,98.055,98.01,98.01,697.0,11.0,98.029
PCAR,2025-07-01 15:39:00+00:00,98.1,98.1,98.1,98.1,227.0,3.0,98.1
PCAR,2025-07-01 15:40:00+00:00,98.115,98.185,98.11,98.185,640.0,9.0,98.151667
PCAR,2025-07-01 15:41:00+00:00,98.165,98.21,98.165,98.2,1194.0,19.0,98.19
PCAR,2025-07-01 15:42:00+00:00,98.2,98.23,98.18,98.23,372.0,6.0,98.203333
PCAR,2025-07-01 15:43:00+00:00,98.34,98.4,98.34,98.4,998.0,18.0,98.37
PCAR,2025-07-01 15:44:00+00:00,98.395,98.395,98.36,98.36,1003.0,16.0,98.376667
PCAR,2025-07-01 15:45:00+00:00,98.42,98.445,98.42,98.445,200.0,2.0,98.4325
PCAR,2025-07-01 15:46:00+00:00,98.51,98.515,98.51,98.515,578.0,5.0,98.5125
PCAR,2025-07-01 15:47:00+00:00,98.53,98.56,98.53,98.55,623.0,12.0,98.546667
PCAR,2025-07-01 15:48:00+00:00,98.585,98.585,98.54,98.54,426.0,9.0,98.56719
PCAR,2025-07-01 15:49:00+00:00,98.52,98.52,98.49,98.49,488.0,8.0,98.505
PCAR,2025-07-01 15:50:00+00:00,98.53,98.83,98.53,98.83,1419.0,18.0,98.678636
PCAR,2025-07-01 15:52:00+00:00,98.83,98.83,98.755,98.755,658.0,12.0,98.803
PCAR,2025-07-01 15:53:00+00:00,98.7,98.7,98.66,98.66,419.0,6.0,98.686667
PCAR,2025-07-01 15:54:00+00:00,98.665,98.665,98.665,98.665,963.0,24.0,98.665
PCAR,2025-07-01 15:56:00+00:00,98.7,98.76,98.69,98.76,1151.0,15.0,98.717778
PCAR,2025-07-01 15:59:00+00:00,98.82,98.82,98.82,98.82,233.0,7.0,98.82
PCAR,2025-07-01 16:00:00+00:00,98.78,98.78,98.78,98.78,204.0,3.0,98.78
PCAR,2025-07-01 16:04:00+00:00,99.0,99.0,98.99,98.99,331.0,7.0,98.995
PCAR,2025-07-01 16:05:00+00:00,98.91,98.91,98.91,98.91,278.0,10.0,98.91
PCAR,2025-07-01 16:07:00+00:00,98.97,98.97,98.97,98.97,301.0,4.0,98.97
PCAR,2025-07-01 16:08:00+00:00,99.065,99.065,99.065,99.065,405.0,5.0,99.065
PCAR,2025-07-01 16:10:00+00:00,99.17,99.17,99.14,99.14,395.0,6.0,99.155
PCAR,2025-07-01 16:11:00+00:00,99.1,99.1,99.07,99.07,1396.0,15.0,99.078604
PCAR,2025-07-01 16:12:00+00:00,99.13,99.13,99.13,99.13,300.0,5.0,99.13
PCAR,2025-07-01 16:13:00+00:00,99.1,99.1,99.1,99.1,100.0,1.0,99.1
PCAR,2025-07-01 16:14:00+00:00,99.13,99.13,99.13,99.13,200.0,5.0,99.13
PCAR,2025-07-01 16:16:00+00:00,99.22,99.22,99.22,99.22,128.0,4.0,99.22
PCAR,2025-07-01 16:17:00+00:00,99.16,99.17,99.16,99.17,512.0,10.0,99.166667
PCAR,2025-07-01 16:20:00+00:00,99.2,99.2,99.2,99.2,268.0,9.0,99.2
PCAR,2025-07-01 16:22:00+00:00,99.12,99.155,99.12,99.155,500.0,5.0,99.14625
PCAR,2025-07-01 16:23:00+00:00,99.14,99.16,99.14,99.16,841.0,15.0,99.147288
PCAR,2025-07-01 16:24:00+00:00,99.205,99.225,99.205,99.225,583.0,11.0,99.211667
PCAR,2025-07-01 16:25:00+00:00,99.2,99.2,99.195,99.195,483.0,10.0,99.198333
PCAR,2025-07-01 16:26:00+00:00,99.21,99.21,99.21,99.21,200.0,3.0,99.21
PCAR,2025-07-01 16:28:00+00:00,99.21,99.22,99.21,99.22,284.0,11.0,99.215
PCAR,2025-07-01 16:30:00+00:00,99.21,99.21,99.195,99.195,822.0,13.0,99.199673
PCAR,2025-07-01 16:32:00+00:00,99.25,99.265,99.21,99.21,1773.0,21.0,99.248
