symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PNW,2025-07-01 13:35:00+00:00,89.77,89.77,89.77,89.77,200.0,1.0,89.77
PNW,2025-07-01 13:48:00+00:00,89.715,89.715,89.715,89.715,200.0,1.0,89.715
PNW,2025-07-01 13:49:00+00:00,89.82,89.82,89.815,89.815,341.0,2.0,89.817067
PNW,2025-07-01 13:53:00+00:00,89.8,89.8,89.8,89.8,200.0,2.0,89.8
PNW,2025-07-01 13:54:00+00:00,89.87,89.87,89.87,89.87,421.0,6.0,89.87
PNW,2025-07-01 13:55:00+00:00,89.85,89.85,89.82,89.82,663.0,12.0,89.837257
PNW,2025-07-01 13:56:00+00:00,89.83,89.83,89.83,89.83,213.0,7.0,89.83
PNW,2025-07-01 13:57:00+00:00,89.8,89.805,89.8,89.8,1263.0,11.0,89.804091
PNW,2025-07-01 13:58:00+00:00,89.73,89.73,89.73,89.73,324.0,5.0,89.73
PNW,2025-07-01 13:59:00+00:00,89.67,89.67,89.67,89.67,331.0,4.0,89.67
PNW,2025-07-01 14:00:00+00:00,89.735,89.735,89.735,89.735,100.0,1.0,89.735
PNW,2025-07-01 14:02:00+00:00,89.62,89.665,89.62,89.62,1235.0,10.0,89.628349
PNW,2025-07-01 14:03:00+00:00,89.64,89.64,89.64,89.64,1009.0,10.0,89.64
PNW,2025-07-01 14:04:00+00:00,89.57,89.57,89.57,89.57,266.0,3.0,89.57
PNW,2025-07-01 14:05:00+00:00,89.57,89.57,89.57,89.57,100.0,1.0,89.57
PNW,2025-07-01 14:06:00+00:00,89.42,89.42,89.42,89.42,100.0,1.0,89.42
PNW,2025-07-01 14:10:00+00:00,89.16,89.16,89.16,89.16,100.0,1.0,89.16
PNW,2025-07-01 14:11:00+00:00,89.065,89.065,89.065,89.065,102.0,3.0,89.065
PNW,2025-07-01 14:12:00+00:00,89.12,89.12,89.12,89.12,106.0,3.0,89.12
PNW,2025-07-01 14:15:00+00:00,89.21,89.21,89.21,89.21,210.0,7.0,89.21
PNW,2025-07-01 14:19:00+00:00,89.095,89.095,89.095,89.095,100.0,1.0,89.095
PNW,2025-07-01 14:21:00+00:00,89.15,89.15,89.15,89.15,183.0,3.0,89.15
PNW,2025-07-01 14:28:00+00:00,89.55,89.55,89.53,89.53,248.0,2.0,89.541935
PNW,2025-07-01 14:31:00+00:00,89.565,89.565,89.565,89.565,200.0,1.0,89.565
PNW,2025-07-01 14:33:00+00:00,89.63,89.63,89.63,89.63,100.0,1.0,89.63
PNW,2025-07-01 14:37:00+00:00,89.71,89.71,89.71,89.71,133.0,4.0,89.71
PNW,2025-07-01 14:43:00+00:00,89.97,89.99,89.97,89.99,400.0,2.0,89.98
PNW,2025-07-01 14:53:00+00:00,89.89,89.89,89.89,89.89,100.0,1.0,89.89
PNW,2025-07-01 14:55:00+00:00,89.96,89.96,89.96,89.96,116.0,3.0,89.96
PNW,2025-07-01 14:59:00+00:00,90.07,90.07,90.07,90.07,170.0,2.0,90.07
PNW,2025-07-01 15:02:00+00:00,90.05,90.05,90.05,90.05,209.0,5.0,90.05
PNW,2025-07-01 15:06:00+00:00,90.09,90.09,90.09,90.09,306.0,5.0,90.09
PNW,2025-07-01 15:08:00+00:00,90.15,90.22,90.15,90.19,852.0,10.0,90.179459
PNW,2025-07-01 15:11:00+00:00,90.26,90.27,90.26,90.27,541.0,12.0,90.266667
PNW,2025-07-01 15:12:00+00:00,90.32,90.32,90.32,90.32,124.0,1.0,90.32
PNW,2025-07-01 15:16:00+00:00,90.44,90.515,90.44,90.515,662.0,9.0,90.471394
PNW,2025-07-01 15:20:00+00:00,90.48,90.48,90.44,90.445,546.0,5.0,90.456526
PNW,2025-07-01 15:24:00+00:00,90.44,90.44,90.44,90.44,1117.0,18.0,90.44
PNW,2025-07-01 15:26:00+00:00,90.28,90.28,90.28,90.28,267.0,9.0,90.28
PNW,2025-07-01 15:30:00+00:00,90.29,90.29,90.29,90.29,101.0,2.0,90.29
PNW,2025-07-01 15:33:00+00:00,90.12,90.12,90.12,90.12,467.0,11.0,90.12
