symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PODD,2025-07-01 13:30:00+00:00,311.49,313.54,311.49,313.54,274.0,7.0,312.515
PODD,2025-07-01 13:31:00+00:00,312.405,312.405,312.405,312.405,101.0,2.0,312.405
PODD,2025-07-01 13:34:00+00:00,312.155,312.155,312.155,312.155,1055.0,13.0,312.155
PODD,2025-07-01 13:35:00+00:00,312.08,312.14,312.08,312.14,739.0,18.0,312.1
PODD,2025-07-01 13:36:00+00:00,312.675,312.675,312.675,312.675,218.0,5.0,312.675
PODD,2025-07-01 13:37:00+00:00,312.51,312.51,311.265,312.12,3105.0,37.0,311.707046
PODD,2025-07-01 13:40:00+00:00,312.825,312.825,312.825,312.825,210.0,8.0,312.825
PODD,2025-07-01 13:44:00+00:00,310.0,310.0,310.0,310.0,110.0,2.0,310.0
PODD,2025-07-01 13:46:00+00:00,310.15,310.15,310.15,310.15,272.0,6.0,310.15
PODD,2025-07-01 13:47:00+00:00,310.88,310.88,310.88,310.88,101.0,2.0,310.88
PODD,2025-07-01 13:48:00+00:00,311.03,311.03,310.945,310.945,250.0,5.0,310.9875
PODD,2025-07-01 13:51:00+00:00,311.38,311.38,311.38,311.38,241.0,11.0,311.38
PODD,2025-07-01 13:52:00+00:00,310.23,310.23,310.22,310.22,224.0,5.0,310.225
PODD,2025-07-01 13:54:00+00:00,310.22,310.22,310.22,310.22,100.0,1.0,310.22
PODD,2025-07-01 13:56:00+00:00,310.69,310.69,310.505,310.505,300.0,8.0,310.585435
PODD,2025-07-01 13:59:00+00:00,310.43,310.505,310.07,310.07,1373.0,17.0,310.168291
PODD,2025-07-01 14:00:00+00:00,309.375,309.375,309.375,309.375,266.0,8.0,309.375
PODD,2025-07-01 14:02:00+00:00,310.065,310.065,310.065,310.065,125.0,4.0,310.065
PODD,2025-07-01 14:06:00+00:00,310.285,310.285,310.285,310.285,300.0,8.0,310.285
PODD,2025-07-01 14:10:00+00:00,310.315,310.315,310.315,310.315,125.0,5.0,310.315
PODD,2025-07-01 14:11:00+00:00,309.83,309.97,309.83,309.97,238.0,7.0,309.9
PODD,2025-07-01 14:14:00+00:00,310.565,310.565,310.565,310.565,141.0,12.0,310.565
PODD,2025-07-01 14:15:00+00:00,310.18,310.18,310.18,310.18,256.0,14.0,310.18
PODD,2025-07-01 14:17:00+00:00,310.205,310.205,309.5,309.69,2683.0,53.0,309.687284
PODD,2025-07-01 14:18:00+00:00,309.85,309.87,309.555,309.555,405.0,10.0,309.758333
PODD,2025-07-01 14:19:00+00:00,309.115,309.115,309.115,309.115,236.0,6.0,309.115
PODD,2025-07-01 14:20:00+00:00,309.09,309.09,309.09,309.09,311.0,7.0,309.09
PODD,2025-07-01 14:22:00+00:00,308.675,308.675,308.675,308.675,256.0,11.0,308.675
PODD,2025-07-01 14:29:00+00:00,307.785,307.785,307.785,307.785,174.0,3.0,307.785
PODD,2025-07-01 14:31:00+00:00,307.91,308.09,307.91,308.09,884.0,18.0,307.950968
PODD,2025-07-01 14:33:00+00:00,308.315,308.315,307.515,307.515,294.0,8.0,307.915
PODD,2025-07-01 14:35:00+00:00,306.725,306.725,306.725,306.725,155.0,2.0,306.725
PODD,2025-07-01 14:39:00+00:00,306.29,306.29,306.29,306.29,474.0,41.0,306.29
PODD,2025-07-01 14:46:00+00:00,305.51,305.51,305.12,305.28,682.0,12.0,305.303333
PODD,2025-07-01 14:47:00+00:00,305.67,305.67,305.67,305.67,232.0,6.0,305.67
PODD,2025-07-01 14:49:00+00:00,305.25,305.25,305.25,305.25,517.0,12.0,305.25
PODD,2025-07-01 14:51:00+00:00,305.49,305.49,305.49,305.49,270.0,10.0,305.49
PODD,2025-07-01 14:52:00+00:00,305.69,305.69,305.69,305.69,216.0,6.0,305.69
PODD,2025-07-01 14:58:00+00:00,306.045,306.045,306.04,306.04,460.0,7.0,306.042985
PODD,2025-07-01 15:08:00+00:00,304.89,305.01,304.89,305.01,580.0,11.0,304.966667
PODD,2025-07-01 15:12:00+00:00,305.14,305.14,305.14,305.14,261.0,8.0,305.14
PODD,2025-07-01 15:16:00+00:00,304.75,305.02,304.75,304.795,1663.0,31.0,304.844932
PODD,2025-07-01 15:17:00+00:00,304.86,305.16,304.86,304.925,897.0,14.0,304.989621
