symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PWR,2025-07-01 13:30:00+00:00,373.82,373.95,373.82,373.95,274.0,4.0,373.885
PWR,2025-07-01 13:31:00+00:00,374.955,375.015,374.955,375.015,304.0,5.0,374.985
PWR,2025-07-01 13:32:00+00:00,375.05,375.05,375.05,375.05,521.0,4.0,375.05
PWR,2025-07-01 13:35:00+00:00,375.325,375.325,375.325,375.325,120.0,2.0,375.325
PWR,2025-07-01 13:36:00+00:00,375.46,376.295,375.46,376.295,610.0,18.0,375.948333
PWR,2025-07-01 13:38:00+00:00,376.7,376.7,376.7,376.7,119.0,3.0,376.7
PWR,2025-07-01 13:39:00+00:00,376.37,376.37,376.37,376.37,113.0,3.0,376.37
PWR,2025-07-01 13:41:00+00:00,375.73,375.73,375.73,375.73,222.0,5.0,375.73
PWR,2025-07-01 13:43:00+00:00,376.37,376.37,376.37,376.37,129.0,3.0,376.37
PWR,2025-07-01 13:46:00+00:00,376.36,376.36,376.36,376.36,212.0,8.0,376.36
PWR,2025-07-01 13:47:00+00:00,376.425,376.775,376.42,376.42,384.0,12.0,376.532143
PWR,2025-07-01 13:48:00+00:00,376.41,376.41,376.345,376.345,2171.0,16.0,376.348095
PWR,2025-07-01 13:49:00+00:00,376.35,376.415,376.03,376.415,1260.0,18.0,376.21
PWR,2025-07-01 13:50:00+00:00,375.98,376.11,375.76,375.87,1410.0,20.0,376.001154
PWR,2025-07-01 13:51:00+00:00,376.06,376.34,376.06,376.34,314.0,6.0,376.2
PWR,2025-07-01 13:52:00+00:00,376.27,376.27,376.27,376.27,800.0,7.0,376.27
PWR,2025-07-01 13:53:00+00:00,376.27,376.27,376.27,376.27,103.0,2.0,376.27
PWR,2025-07-01 13:59:00+00:00,375.98,376.02,375.98,376.02,225.0,5.0,376.0
PWR,2025-07-01 14:01:00+00:00,376.285,377.41,376.285,377.2,1024.0,20.0,377.018571
PWR,2025-07-01 14:09:00+00:00,376.94,376.94,376.91,376.91,200.0,2.0,376.925
PWR,2025-07-01 14:10:00+00:00,376.86,376.945,376.86,376.89,1324.0,10.0,376.932356
PWR,2025-07-01 14:11:00+00:00,376.92,376.945,376.17,376.17,2135.0,30.0,376.77
PWR,2025-07-01 14:12:00+00:00,376.28,376.35,376.28,376.35,418.0,7.0,376.31
PWR,2025-07-01 14:13:00+00:00,376.53,376.72,376.53,376.72,504.0,10.0,376.625
PWR,2025-07-01 14:15:00+00:00,376.825,376.925,376.825,376.925,372.0,11.0,376.875
PWR,2025-07-01 14:18:00+00:00,377.04,377.04,377.04,377.04,111.0,2.0,377.04
PWR,2025-07-01 14:19:00+00:00,377.03,377.03,376.965,376.965,1870.0,22.0,377.018033
PWR,2025-07-01 14:20:00+00:00,376.755,376.755,376.755,376.755,156.0,4.0,376.755
PWR,2025-07-01 14:21:00+00:00,376.83,376.83,375.73,375.73,1334.0,31.0,376.333636
PWR,2025-07-01 14:22:00+00:00,374.94,374.94,374.94,374.94,381.0,11.0,374.94
PWR,2025-07-01 14:23:00+00:00,373.36,373.36,373.36,373.36,356.0,9.0,373.36
PWR,2025-07-01 14:25:00+00:00,375.425,375.425,375.425,375.425,191.0,7.0,375.425
PWR,2025-07-01 14:27:00+00:00,374.545,374.545,374.52,374.52,730.0,7.0,374.537143
PWR,2025-07-01 14:30:00+00:00,373.44,373.44,373.44,373.44,347.0,8.0,373.44
PWR,2025-07-01 14:32:00+00:00,373.82,373.82,373.82,373.82,128.0,2.0,373.82
PWR,2025-07-01 14:34:00+00:00,372.67,372.67,372.67,372.67,201.0,4.0,372.67
PWR,2025-07-01 14:35:00+00:00,371.16,371.42,371.16,371.42,485.0,13.0,371.29
PWR,2025-07-01 14:36:00+00:00,371.36,371.36,370.625,370.625,487.0,12.0,370.9925
