symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ROL,2025-07-01 13:30:00+00:00,56.45,56.55,56.45,56.55,550.0,9.0,56.51
ROL,2025-07-01 13:33:00+00:00,56.45,56.45,56.45,56.45,114.0,2.0,56.45
ROL,2025-07-01 13:39:00+00:00,56.59,56.62,56.59,56.62,210.0,4.0,56.605
ROL,2025-07-01 13:44:00+00:00,56.605,56.635,56.605,56.635,474.0,6.0,56.6125
ROL,2025-07-01 13:46:00+00:00,56.58,56.58,56.58,56.58,100.0,1.0,56.58
ROL,2025-07-01 13:48:00+00:00,56.66,56.66,56.645,56.645,200.0,2.0,56.6525
ROL,2025-07-01 13:49:00+00:00,56.64,56.64,56.64,56.64,100.0,1.0,56.64
ROL,2025-07-01 13:50:00+00:00,56.675,56.675,56.66,56.66,539.0,7.0,56.66375
ROL,2025-07-01 13:51:00+00:00,56.67,56.67,56.67,56.67,129.0,6.0,56.67
ROL,2025-07-01 13:52:00+00:00,56.705,56.705,56.66,56.66,675.0,8.0,56.691845
ROL,2025-07-01 13:53:00+00:00,56.68,56.68,56.68,56.68,129.0,3.0,56.68
ROL,2025-07-01 13:54:00+00:00,56.67,56.67,56.67,56.67,171.0,4.0,56.67
ROL,2025-07-01 13:57:00+00:00,56.62,56.62,56.62,56.62,112.0,2.0,56.62
ROL,2025-07-01 13:58:00+00:00,56.59,56.59,56.59,56.59,106.0,3.0,56.59
ROL,2025-07-01 14:02:00+00:00,56.605,56.605,56.605,56.605,1039.0,12.0,56.605
ROL,2025-07-01 14:03:00+00:00,56.675,56.675,56.675,56.675,188.0,3.0,56.675
ROL,2025-07-01 14:04:00+00:00,56.68,56.69,56.675,56.69,898.0,10.0,56.679264
ROL,2025-07-01 14:05:00+00:00,56.7,56.76,56.7,56.76,1012.0,15.0,56.74602
ROL,2025-07-01 14:06:00+00:00,56.735,56.735,56.735,56.735,294.0,5.0,56.735
ROL,2025-07-01 14:07:00+00:00,56.67,56.67,56.67,56.67,637.0,7.0,56.67
ROL,2025-07-01 14:08:00+00:00,56.655,56.655,56.655,56.655,700.0,8.0,56.655
ROL,2025-07-01 14:09:00+00:00,56.57,56.57,56.57,56.57,788.0,8.0,56.57
ROL,2025-07-01 14:11:00+00:00,56.65,56.65,56.65,56.65,155.0,5.0,56.65
ROL,2025-07-01 14:12:00+00:00,56.66,56.66,56.66,56.66,309.0,3.0,56.66
ROL,2025-07-01 14:13:00+00:00,56.64,56.65,56.62,56.65,1709.0,14.0,56.638438
ROL,2025-07-01 14:15:00+00:00,56.655,56.655,56.655,56.655,366.0,11.0,56.655
ROL,2025-07-01 14:26:00+00:00,56.49,56.49,56.49,56.49,156.0,3.0,56.49
ROL,2025-07-01 14:29:00+00:00,56.54,56.54,56.54,56.54,113.0,4.0,56.54
ROL,2025-07-01 14:31:00+00:00,56.63,56.63,56.63,56.63,300.0,2.0,56.63
ROL,2025-07-01 14:32:00+00:00,56.63,56.63,56.63,56.63,200.0,1.0,56.63
ROL,2025-07-01 14:36:00+00:00,56.63,56.64,56.63,56.64,428.0,5.0,56.635
ROL,2025-07-01 14:38:00+00:00,56.71,56.71,56.71,56.71,150.0,3.0,56.71
ROL,2025-07-01 14:39:00+00:00,56.74,56.74,56.74,56.74,1800.0,9.0,56.74
ROL,2025-07-01 14:40:00+00:00,56.74,56.74,56.74,56.74,211.0,4.0,56.74
ROL,2025-07-01 14:46:00+00:00,56.795,56.795,56.795,56.795,169.0,7.0,56.795
ROL,2025-07-01 14:47:00+00:00,56.805,56.805,56.805,56.805,1001.0,6.0,56.805
ROL,2025-07-01 14:50:00+00:00,56.795,56.805,56.795,56.805,950.0,6.0,56.803889
ROL,2025-07-01 14:51:00+00:00,56.805,56.805,56.79,56.79,1083.0,9.0,56.802
ROL,2025-07-01 14:52:00+00:00,56.8,56.8,56.77,56.77,2824.0,20.0,56.798846
ROL,2025-07-01 14:53:00+00:00,56.775,56.805,56.775,56.805,281.0,10.0,56.79
ROL,2025-07-01 14:54:00+00:00,56.84,56.84,56.84,56.84,1232.0,7.0,56.84
ROL,2025-07-01 14:55:00+00:00,56.86,56.865,56.86,56.86,913.0,9.0,56.86375
ROL,2025-07-01 15:00:00+00:00,56.98,56.98,56.98,56.98,200.0,3.0,56.98
ROL,2025-07-01 15:01:00+00:00,56.995,56.995,56.995,56.995,260.0,6.0,56.995
ROL,2025-07-01 15:02:00+00:00,57.005,57.005,57.005,57.005,206.0,2.0,57.005
ROL,2025-07-01 15:03:00+00:00,57.005,57.005,56.97,56.97,2073.0,20.0,56.99025
ROL,2025-07-01 15:04:00+00:00,56.935,56.935,56.935,56.935,200.0,3.0,56.935
ROL,2025-07-01 15:05:00+00:00,56.935,56.935,56.89,56.89,609.0,5.0,56.920025
ROL,2025-07-01 15:06:00+00:00,56.93,56.93,56.87,56.905,1068.0,11.0,56.896875
ROL,2025-07-01 15:07:00+00:00,56.88,56.88,56.875,56.875,209.0,3.0,56.8775
ROL,2025-07-01 15:08:00+00:00,56.92,56.92,56.91,56.91,300.0,2.0,56.916667
ROL,2025-07-01 15:10:00+00:00,56.96,56.96,56.96,56.96,249.0,3.0,56.96
ROL,2025-07-01 15:13:00+00:00,57.07,57.07,57.07,57.07,407.0,3.0,57.07
ROL,2025-07-01 15:14:00+00:00,57.08,57.08,57.08,57.08,210.0,6.0,57.08
ROL,2025-07-01 15:16:00+00:00,57.09,57.09,57.09,57.09,204.0,3.0,57.09
ROL,2025-07-01 15:18:00+00:00,57.1,57.1,57.1,57.1,149.0,3.0,57.1
ROL,2025-07-01 15:19:00+00:00,57.085,57.085,57.085,57.085,100.0,1.0,57.085
ROL,2025-07-01 15:21:00+00:00,57.15,57.15,57.15,57.15,180.0,2.0,57.15
ROL,2025-07-01 15:22:00+00:00,57.22,57.22,57.22,57.22,210.0,4.0,57.22
ROL,2025-07-01 15:23:00+00:00,57.2,57.2,57.15,57.15,1410.0,20.0,57.17
ROL,2025-07-01 15:24:00+00:00,57.145,57.145,57.145,57.145,120.0,2.0,57.145
ROL,2025-07-01 15:25:00+00:00,57.075,57.125,57.075,57.12,2192.0,13.0,57.103211
ROL,2025-07-01 15:26:00+00:00,57.12,57.12,57.12,57.12,110.0,3.0,57.12
ROL,2025-07-01 15:27:00+00:00,57.085,57.115,57.085,57.085,3303.0,34.0,57.104852
ROL,2025-07-01 15:29:00+00:00,57.07,57.09,57.07,57.09,537.0,9.0,57.08
ROL,2025-07-01 15:31:00+00:00,57.11,57.11,57.075,57.075,2024.0,11.0,57.107837
ROL,2025-07-01 15:32:00+00:00,57.07,57.07,57.05,57.05,1516.0,11.0,57.05728
ROL,2025-07-01 15:33:00+00:00,57.05,57.05,57.045,57.045,1033.0,10.0,57.046
ROL,2025-07-01 15:34:00+00:00,56.96,56.96,56.95,56.96,967.0,10.0,56.9575
ROL,2025-07-01 15:36:00+00:00,56.99,56.99,56.99,56.99,110.0,3.0,56.99
ROL,2025-07-01 15:41:00+00:00,56.83,56.83,56.83,56.83,322.0,6.0,56.83
ROL,2025-07-01 15:43:00+00:00,56.86,56.93,56.86,56.93,214.0,4.0,56.895
ROL,2025-07-01 15:44:00+00:00,56.895,56.895,56.845,56.845,724.0,5.0,56.855
ROL,2025-07-01 15:47:00+00:00,56.915,56.945,56.915,56.945,400.0,4.0,56.9225
ROL,2025-07-01 15:50:00+00:00,56.915,56.915,56.915,56.915,250.0,4.0,56.915
ROL,2025-07-01 15:51:00+00:00,56.96,56.96,56.96,56.96,100.0,1.0,56.96
ROL,2025-07-01 15:53:00+00:00,56.95,56.95,56.935,56.935,254.0,4.0,56.9425
ROL,2025-07-01 15:54:00+00:00,56.96,56.96,56.96,56.96,143.0,4.0,56.96
ROL,2025-07-01 15:55:00+00:00,56.94,56.94,56.94,56.94,100.0,1.0,56.94
