symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ROP,2025-07-01 13:31:00+00:00,569.86,569.86,567.855,567.855,310.0,4.0,568.698333
ROP,2025-07-01 13:32:00+00:00,568.5,568.665,568.5,568.665,334.0,6.0,568.5825
ROP,2025-07-01 13:34:00+00:00,566.67,567.54,566.67,567.54,345.0,6.0,567.25
ROP,2025-07-01 13:44:00+00:00,570.24,570.24,570.24,570.24,201.0,9.0,570.24
ROP,2025-07-01 13:59:00+00:00,566.44,566.44,566.44,566.44,114.0,2.0,566.44
ROP,2025-07-01 14:00:00+00:00,565.905,565.905,565.905,565.905,111.0,3.0,565.905
ROP,2025-07-01 14:08:00+00:00,567.895,567.895,567.895,567.895,132.0,7.0,567.895
ROP,2025-07-01 14:09:00+00:00,567.22,567.22,567.22,567.22,105.0,2.0,567.22
ROP,2025-07-01 14:24:00+00:00,568.595,568.595,568.595,568.595,207.0,5.0,568.595
ROP,2025-07-01 14:28:00+00:00,569.55,569.55,569.55,569.55,205.0,9.0,569.55
ROP,2025-07-01 14:37:00+00:00,571.355,571.355,571.355,571.355,115.0,2.0,571.355
ROP,2025-07-01 14:44:00+00:00,572.295,572.295,572.295,572.295,258.0,9.0,572.295
ROP,2025-07-01 14:56:00+00:00,572.69,572.69,572.69,572.69,183.0,5.0,572.69
ROP,2025-07-01 14:57:00+00:00,572.525,572.525,572.525,572.525,236.0,6.0,572.525
ROP,2025-07-01 15:06:00+00:00,571.3,571.3,571.3,571.3,112.0,3.0,571.3
ROP,2025-07-01 15:36:00+00:00,572.25,572.25,572.25,572.25,312.0,10.0,572.25
ROP,2025-07-01 15:40:00+00:00,572.25,572.25,572.25,572.25,124.0,3.0,572.25
ROP,2025-07-01 16:20:00+00:00,573.65,573.65,573.65,573.65,228.0,5.0,573.65
ROP,2025-07-01 16:26:00+00:00,572.95,572.95,572.95,572.95,125.0,2.0,572.95
ROP,2025-07-01 16:36:00+00:00,572.54,572.54,572.54,572.54,100.0,1.0,572.54
ROP,2025-07-01 16:38:00+00:00,572.59,572.59,572.59,572.59,104.0,2.0,572.59
ROP,2025-07-01 16:44:00+00:00,572.59,572.59,572.59,572.59,112.0,4.0,572.59
ROP,2025-07-01 16:46:00+00:00,571.84,571.84,571.84,571.84,145.0,6.0,571.84
ROP,2025-07-01 17:19:00+00:00,571.71,571.71,571.71,571.71,105.0,3.0,571.71
ROP,2025-07-01 17:23:00+00:00,571.65,571.65,571.65,571.65,210.0,4.0,571.65
ROP,2025-07-01 17:25:00+00:00,571.65,571.66,571.65,571.66,364.0,7.0,571.655
ROP,2025-07-01 17:28:00+00:00,571.65,571.65,571.65,571.65,124.0,3.0,571.65
ROP,2025-07-01 17:33:00+00:00,571.47,571.47,571.47,571.47,100.0,1.0,571.47
ROP,2025-07-01 17:39:00+00:00,571.26,571.26,571.26,571.26,133.0,4.0,571.26
ROP,2025-07-01 18:01:00+00:00,571.14,571.14,571.14,571.14,111.0,3.0,571.14
ROP,2025-07-01 18:03:00+00:00,571.02,571.02,571.02,571.02,233.0,6.0,571.02
ROP,2025-07-01 18:14:00+00:00,571.24,571.24,571.24,571.24,166.0,12.0,571.24
ROP,2025-07-01 18:40:00+00:00,571.22,571.22,571.22,571.22,431.0,13.0,571.22
ROP,2025-07-01 18:42:00+00:00,571.1,571.1,571.1,571.1,670.0,5.0,571.1
ROP,2025-07-01 18:47:00+00:00,571.575,571.575,571.51,571.51,296.0,11.0,571.5425
ROP,2025-07-01 18:54:00+00:00,571.34,571.42,571.34,571.42,399.0,16.0,571.38
ROP,2025-07-01 18:56:00+00:00,571.71,571.71,571.71,571.71,296.0,8.0,571.71
ROP,2025-07-01 19:03:00+00:00,570.645,570.645,570.645,570.645,295.0,14.0,570.645
ROP,2025-07-01 19:07:00+00:00,571.765,571.825,571.765,571.825,304.0,13.0,571.795
ROP,2025-07-01 19:08:00+00:00,571.725,571.925,571.7,571.855,625.0,16.0,571.785
ROP,2025-07-01 19:10:00+00:00,571.87,571.87,571.87,571.87,148.0,6.0,571.87
ROP,2025-07-01 19:11:00+00:00,571.885,571.885,571.865,571.865,264.0,4.0,571.875
ROP,2025-07-01 19:22:00+00:00,571.685,571.685,571.62,571.62,568.0,19.0,571.663333
ROP,2025-07-01 19:23:00+00:00,571.68,571.68,571.68,571.68,191.0,9.0,571.68
ROP,2025-07-01 19:27:00+00:00,571.885,571.885,571.885,571.885,319.0,10.0,571.885
ROP,2025-07-01 19:37:00+00:00,572.025,572.025,572.025,572.025,144.0,8.0,572.025
ROP,2025-07-01 19:48:00+00:00,573.465,573.465,573.465,573.465,155.0,9.0,573.465
ROP,2025-07-01 19:50:00+00:00,573.325,573.325,573.325,573.325,220.0,12.0,573.325
ROP,2025-07-01 19:54:00+00:00,573.15,573.15,572.84,572.84,1162.0,46.0,572.92
ROP,2025-07-01 19:55:00+00:00,572.31,572.405,572.31,572.405,771.0,21.0,572.341667
ROP,2025-07-01 19:59:00+00:00,572.705,572.705,572.705,572.705,1097.0,70.0,572.705
