symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ALB,2025-06-30 13:30:00+00:00,64.385,64.39,64.125,64.305,1306.0,26.0,64.281667
ALB,2025-06-30 13:31:00+00:00,64.11,64.11,63.51,63.76,2456.0,38.0,63.780795
ALB,2025-06-30 13:32:00+00:00,63.39,63.39,63.39,63.39,428.0,11.0,63.39
ALB,2025-06-30 13:33:00+00:00,62.51,62.645,62.51,62.645,339.0,5.0,62.558333
ALB,2025-06-30 13:34:00+00:00,62.69,62.69,62.69,62.69,400.0,7.0,62.69
ALB,2025-06-30 13:35:00+00:00,62.74,62.74,62.74,62.74,313.0,6.0,62.74
ALB,2025-06-30 13:36:00+00:00,62.895,62.895,62.895,62.895,350.0,4.0,62.895
ALB,2025-06-30 13:40:00+00:00,62.915,62.915,62.915,62.915,288.0,3.0,62.915
ALB,2025-06-30 13:42:00+00:00,62.8,62.83,62.8,62.82,797.0,6.0,62.815299
ALB,2025-06-30 13:43:00+00:00,62.83,62.85,62.705,62.705,752.0,9.0,62.8125
ALB,2025-06-30 13:44:00+00:00,62.695,62.8,62.695,62.74,1356.0,6.0,62.745
ALB,2025-06-30 13:45:00+00:00,62.645,62.69,62.64,62.69,641.0,11.0,62.651
ALB,2025-06-30 13:46:00+00:00,62.66,62.66,62.645,62.645,657.0,5.0,62.650833
ALB,2025-06-30 13:47:00+00:00,62.68,62.68,62.68,62.68,200.0,3.0,62.68
ALB,2025-06-30 13:48:00+00:00,62.78,62.78,62.775,62.775,975.0,6.0,62.778508
ALB,2025-06-30 13:50:00+00:00,62.65,62.65,62.65,62.65,475.0,8.0,62.65
ALB,2025-06-30 13:51:00+00:00,62.705,62.705,62.705,62.705,150.0,3.0,62.705
ALB,2025-06-30 13:53:00+00:00,62.535,62.535,62.535,62.535,596.0,16.0,62.535
ALB,2025-06-30 13:54:00+00:00,62.29,62.29,62.18,62.25,1463.0,15.0,62.232204
ALB,2025-06-30 13:55:00+00:00,62.24,62.33,62.235,62.235,1230.0,19.0,62.260404
ALB,2025-06-30 13:56:00+00:00,62.19,62.19,62.15,62.18,766.0,12.0,62.18
ALB,2025-06-30 13:57:00+00:00,62.165,62.18,62.145,62.175,683.0,9.0,62.165899
ALB,2025-06-30 13:58:00+00:00,62.23,62.515,62.23,62.515,959.0,15.0,62.47179
ALB,2025-06-30 13:59:00+00:00,62.5,62.51,62.455,62.475,981.0,13.0,62.4775
ALB,2025-06-30 14:00:00+00:00,62.5,62.51,62.49,62.49,388.0,5.0,62.5
ALB,2025-06-30 14:02:00+00:00,62.265,62.265,62.265,62.265,338.0,3.0,62.265
ALB,2025-06-30 14:03:00+00:00,62.28,62.28,62.28,62.28,366.0,10.0,62.28
ALB,2025-06-30 14:10:00+00:00,62.81,62.81,62.81,62.81,100.0,1.0,62.81
ALB,2025-06-30 14:12:00+00:00,62.845,62.845,62.845,62.845,313.0,7.0,62.845
ALB,2025-06-30 14:13:00+00:00,62.74,62.74,62.74,62.74,100.0,1.0,62.74
ALB,2025-06-30 14:16:00+00:00,62.715,62.715,62.715,62.715,789.0,17.0,62.715
ALB,2025-06-30 14:17:00+00:00,62.86,62.86,62.86,62.86,157.0,5.0,62.86
ALB,2025-06-30 14:18:00+00:00,62.925,62.925,62.925,62.925,207.0,6.0,62.925
ALB,2025-06-30 14:21:00+00:00,62.995,62.995,62.99,62.99,612.0,15.0,62.992358
ALB,2025-06-30 14:23:00+00:00,62.93,62.93,62.93,62.93,120.0,3.0,62.93
ALB,2025-06-30 14:24:00+00:00,62.83,62.83,62.83,62.83,153.0,3.0,62.83
ALB,2025-06-30 14:25:00+00:00,62.845,62.845,62.845,62.845,107.0,2.0,62.845
ALB,2025-06-30 14:26:00+00:00,63.025,63.025,63.025,63.025,154.0,3.0,63.025
ALB,2025-06-30 14:27:00+00:00,62.97,62.97,62.94,62.945,606.0,10.0,62.951667
ALB,2025-06-30 14:31:00+00:00,63.24,63.24,63.24,63.24,196.0,4.0,63.24
ALB,2025-06-30 14:32:00+00:00,63.25,63.25,63.245,63.245,656.0,14.0,63.246082
ALB,2025-06-30 14:35:00+00:00,63.2,63.2,63.2,63.2,213.0,4.0,63.2
