symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AME,2025-06-30 13:37:00+00:00,179.705,179.81,179.705,179.81,200.0,2.0,179.7575
AME,2025-06-30 13:39:00+00:00,179.87,179.87,179.865,179.865,200.0,2.0,179.8675
AME,2025-06-30 13:43:00+00:00,180.03,180.03,180.03,180.03,100.0,1.0,180.03
AME,2025-06-30 13:44:00+00:00,180.04,180.04,180.035,180.035,200.0,2.0,180.0375
AME,2025-06-30 13:45:00+00:00,180.22,180.22,180.21,180.21,301.0,4.0,180.213333
AME,2025-06-30 13:46:00+00:00,180.29,180.29,180.28,180.28,200.0,2.0,180.285
AME,2025-06-30 13:47:00+00:00,180.3,180.41,180.3,180.41,500.0,3.0,180.328
AME,2025-06-30 13:57:00+00:00,180.41,180.41,180.35,180.35,285.0,4.0,180.375641
AME,2025-06-30 14:02:00+00:00,180.36,180.36,180.36,180.36,102.0,2.0,180.36
AME,2025-06-30 14:03:00+00:00,180.39,180.39,180.38,180.38,381.0,6.0,180.385
AME,2025-06-30 14:08:00+00:00,180.28,180.28,180.28,180.28,100.0,1.0,180.28
AME,2025-06-30 14:16:00+00:00,180.16,180.27,180.16,180.27,434.0,9.0,180.233333
AME,2025-06-30 14:17:00+00:00,180.27,180.27,180.27,180.27,106.0,2.0,180.27
AME,2025-06-30 14:18:00+00:00,180.27,180.27,180.27,180.27,1195.0,16.0,180.27
AME,2025-06-30 14:21:00+00:00,180.14,180.14,180.14,180.14,158.0,4.0,180.14
AME,2025-06-30 14:22:00+00:00,180.13,180.13,180.13,180.13,330.0,13.0,180.13
AME,2025-06-30 14:29:00+00:00,180.39,180.39,180.39,180.39,171.0,7.0,180.39
AME,2025-06-30 14:34:00+00:00,180.245,180.245,180.245,180.245,147.0,4.0,180.245
AME,2025-06-30 14:40:00+00:00,179.87,179.9,179.87,179.9,201.0,3.0,179.885
AME,2025-06-30 14:41:00+00:00,179.89,179.96,179.885,179.96,377.0,4.0,179.911987
AME,2025-06-30 14:46:00+00:00,179.975,179.975,179.975,179.975,412.0,5.0,179.975
AME,2025-06-30 14:51:00+00:00,179.73,179.73,179.73,179.73,138.0,3.0,179.73
AME,2025-06-30 14:52:00+00:00,179.795,179.795,179.795,179.795,238.0,3.0,179.795
AME,2025-06-30 14:55:00+00:00,179.795,179.8,179.795,179.8,437.0,11.0,179.7975
AME,2025-06-30 14:56:00+00:00,179.82,179.82,179.82,179.82,100.0,1.0,179.82
AME,2025-06-30 14:58:00+00:00,179.79,179.79,179.79,179.79,200.0,5.0,179.79
AME,2025-06-30 14:59:00+00:00,179.86,179.97,179.86,179.97,594.0,18.0,179.915
AME,2025-06-30 15:05:00+00:00,180.11,180.11,180.11,180.11,341.0,9.0,180.11
AME,2025-06-30 15:08:00+00:00,180.18,180.18,180.18,180.18,140.0,2.0,180.18
AME,2025-06-30 15:12:00+00:00,180.0,180.0,180.0,180.0,132.0,4.0,180.0
AME,2025-06-30 15:13:00+00:00,180.12,180.12,180.12,180.12,105.0,2.0,180.12
AME,2025-06-30 15:16:00+00:00,180.235,180.24,180.235,180.24,252.0,8.0,180.2375
AME,2025-06-30 15:17:00+00:00,180.26,180.26,180.24,180.24,390.0,9.0,180.246667
AME,2025-06-30 15:18:00+00:00,180.24,180.4,180.24,180.4,455.0,10.0,180.31
AME,2025-06-30 15:26:00+00:00,180.455,180.455,180.455,180.455,134.0,2.0,180.455
AME,2025-06-30 15:30:00+00:00,180.53,180.53,180.53,180.53,138.0,2.0,180.53
