symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ARE,2025-06-30 13:30:00+00:00,72.295,72.295,72.0,72.0,527.0,6.0,72.195
ARE,2025-06-30 13:31:00+00:00,71.97,71.97,71.215,71.215,506.0,4.0,71.499
ARE,2025-06-30 13:32:00+00:00,70.99,71.1,70.99,71.1,450.0,7.0,71.045
ARE,2025-06-30 13:36:00+00:00,71.555,71.77,71.555,71.77,901.0,8.0,71.675625
ARE,2025-06-30 13:37:00+00:00,71.5,71.5,71.5,71.5,100.0,1.0,71.5
ARE,2025-06-30 13:40:00+00:00,71.86,71.885,71.85,71.85,498.0,6.0,71.863067
ARE,2025-06-30 13:41:00+00:00,71.9,71.9,71.7,71.7,200.0,2.0,71.8
ARE,2025-06-30 13:43:00+00:00,71.67,71.67,71.67,71.67,104.0,2.0,71.67
ARE,2025-06-30 13:44:00+00:00,71.55,71.555,71.55,71.555,400.0,3.0,71.55125
ARE,2025-06-30 13:45:00+00:00,71.64,71.745,71.64,71.745,200.0,2.0,71.6925
ARE,2025-06-30 13:48:00+00:00,71.76,71.76,71.76,71.76,160.0,3.0,71.76
ARE,2025-06-30 13:54:00+00:00,71.65,71.65,71.65,71.65,281.0,7.0,71.65
ARE,2025-06-30 14:04:00+00:00,71.68,71.68,71.67,71.67,413.0,7.0,71.676667
ARE,2025-06-30 14:06:00+00:00,71.86,71.86,71.86,71.86,100.0,1.0,71.86
ARE,2025-06-30 14:08:00+00:00,71.97,71.98,71.97,71.98,200.0,2.0,71.975
ARE,2025-06-30 14:11:00+00:00,71.845,71.845,71.845,71.845,200.0,1.0,71.845
ARE,2025-06-30 14:13:00+00:00,72.01,72.01,72.01,72.01,100.0,1.0,72.01
ARE,2025-06-30 14:17:00+00:00,72.3,72.3,72.3,72.3,122.0,2.0,72.3
ARE,2025-06-30 14:21:00+00:00,72.57,72.57,72.57,72.57,231.0,9.0,72.57
ARE,2025-06-30 14:22:00+00:00,72.54,72.54,72.54,72.54,105.0,2.0,72.54
ARE,2025-06-30 14:29:00+00:00,72.75,72.75,72.75,72.75,300.0,3.0,72.75
ARE,2025-06-30 14:33:00+00:00,72.66,72.66,72.66,72.66,228.0,3.0,72.66
ARE,2025-06-30 14:36:00+00:00,72.69,72.69,72.69,72.69,160.0,3.0,72.69
ARE,2025-06-30 14:38:00+00:00,72.49,72.49,72.49,72.49,184.0,8.0,72.49
ARE,2025-06-30 14:40:00+00:00,72.37,72.37,72.37,72.37,110.0,4.0,72.37
ARE,2025-06-30 14:46:00+00:00,72.295,72.295,72.295,72.295,457.0,10.0,72.295
ARE,2025-06-30 14:48:00+00:00,72.255,72.255,72.255,72.255,141.0,1.0,72.255
ARE,2025-06-30 14:53:00+00:00,72.22,72.22,72.22,72.22,118.0,2.0,72.22
ARE,2025-06-30 14:55:00+00:00,72.17,72.17,72.17,72.17,144.0,2.0,72.17
ARE,2025-06-30 15:00:00+00:00,72.24,72.24,72.24,72.24,302.0,5.0,72.24
ARE,2025-06-30 15:08:00+00:00,72.48,72.48,72.37,72.37,709.0,13.0,72.435
ARE,2025-06-30 15:10:00+00:00,72.39,72.395,72.39,72.395,301.0,3.0,72.393333
ARE,2025-06-30 15:14:00+00:00,72.205,72.21,72.205,72.21,279.0,4.0,72.206984
ARE,2025-06-30 15:19:00+00:00,72.24,72.24,72.24,72.24,131.0,8.0,72.24
ARE,2025-06-30 15:21:00+00:00,72.21,72.21,72.21,72.21,107.0,2.0,72.21
ARE,2025-06-30 15:23:00+00:00,72.16,72.16,72.16,72.16,120.0,3.0,72.16
ARE,2025-06-30 15:24:00+00:00,72.135,72.135,72.135,72.135,100.0,1.0,72.135
ARE,2025-06-30 15:28:00+00:00,72.05,72.05,72.05,72.05,121.0,7.0,72.05
ARE,2025-06-30 15:30:00+00:00,72.01,72.02,72.01,72.02,263.0,3.0,72.014785
ARE,2025-06-30 15:36:00+00:00,71.97,71.97,71.97,71.97,350.0,6.0,71.97
ARE,2025-06-30 15:38:00+00:00,72.06,72.06,72.06,72.06,303.0,4.0,72.06
ARE,2025-06-30 15:39:00+00:00,72.03,72.03,71.97,71.97,413.0,7.0,72.01
ARE,2025-06-30 15:41:00+00:00,71.83,71.83,71.82,71.82,200.0,2.0,71.825
ARE,2025-06-30 15:42:00+00:00,71.805,71.805,71.805,71.805,100.0,1.0,71.805
ARE,2025-06-30 15:43:00+00:00,71.8,71.8,71.8,71.8,162.0,2.0,71.8
ARE,2025-06-30 15:46:00+00:00,71.76,71.76,71.76,71.76,163.0,3.0,71.76
ARE,2025-06-30 15:55:00+00:00,71.88,71.88,71.88,71.88,102.0,2.0,71.88
ARE,2025-06-30 15:56:00+00:00,71.81,71.81,71.81,71.81,128.0,2.0,71.81
ARE,2025-06-30 16:00:00+00:00,71.81,71.81,71.81,71.81,100.0,1.0,71.81
ARE,2025-06-30 16:02:00+00:00,71.85,71.85,71.85,71.85,100.0,1.0,71.85
ARE,2025-06-30 16:07:00+00:00,71.88,71.88,71.88,71.88,241.0,8.0,71.88
ARE,2025-06-30 16:08:00+00:00,71.88,71.88,71.88,71.88,151.0,6.0,71.88
ARE,2025-06-30 16:10:00+00:00,71.9,71.9,71.86,71.86,670.0,14.0,71.872
ARE,2025-06-30 16:12:00+00:00,71.82,71.82,71.82,71.82,149.0,3.0,71.82
ARE,2025-06-30 16:18:00+00:00,71.92,71.92,71.92,71.92,309.0,3.0,71.92
ARE,2025-06-30 16:19:00+00:00,71.87,71.87,71.87,71.87,102.0,2.0,71.87
ARE,2025-06-30 16:23:00+00:00,71.9,71.9,71.87,71.89,320.0,3.0,71.886875
ARE,2025-06-30 16:26:00+00:00,71.89,71.89,71.86,71.86,356.0,10.0,71.88
ARE,2025-06-30 16:28:00+00:00,71.92,71.92,71.92,71.92,100.0,1.0,71.92
ARE,2025-06-30 16:29:00+00:00,71.89,71.89,71.87,71.87,325.0,4.0,71.881704
ARE,2025-06-30 16:33:00+00:00,71.82,71.84,71.77,71.775,647.0,12.0,71.8
ARE,2025-06-30 16:38:00+00:00,71.825,71.825,71.825,71.825,186.0,14.0,71.825
ARE,2025-06-30 16:55:00+00:00,71.95,71.95,71.94,71.94,458.0,10.0,71.943333
ARE,2025-06-30 16:57:00+00:00,71.875,71.875,71.875,71.875,100.0,1.0,71.875
ARE,2025-06-30 16:59:00+00:00,71.875,71.875,71.875,71.875,120.0,3.0,71.875
ARE,2025-06-30 17:04:00+00:00,71.91,71.91,71.91,71.91,134.0,7.0,71.91
ARE,2025-06-30 17:07:00+00:00,71.85,71.85,71.85,71.85,100.0,1.0,71.85
ARE,2025-06-30 17:08:00+00:00,71.835,71.835,71.835,71.835,167.0,5.0,71.835
ARE,2025-06-30 17:11:00+00:00,71.83,71.83,71.83,71.83,124.0,4.0,71.83
ARE,2025-06-30 17:13:00+00:00,71.87,71.87,71.87,71.87,195.0,3.0,71.87
ARE,2025-06-30 17:14:00+00:00,71.88,71.915,71.88,71.915,244.0,4.0,71.8975
ARE,2025-06-30 17:15:00+00:00,71.91,71.91,71.91,71.91,100.0,1.0,71.91
ARE,2025-06-30 17:16:00+00:00,71.915,71.915,71.86,71.86,257.0,4.0,71.8875
ARE,2025-06-30 17:20:00+00:00,71.885,71.885,71.885,71.885,132.0,5.0,71.885
ARE,2025-06-30 17:24:00+00:00,71.83,71.83,71.83,71.83,241.0,6.0,71.83
ARE,2025-06-30 17:31:00+00:00,71.89,71.89,71.89,71.89,111.0,3.0,71.89
ARE,2025-06-30 17:35:00+00:00,71.835,71.835,71.835,71.835,163.0,4.0,71.835
ARE,2025-06-30 17:38:00+00:00,71.89,71.89,71.89,71.89,294.0,6.0,71.89
ARE,2025-06-30 17:43:00+00:00,71.91,71.91,71.91,71.91,200.0,2.0,71.91
ARE,2025-06-30 17:45:00+00:00,71.865,71.865,71.85,71.85,259.0,4.0,71.8575
ARE,2025-06-30 17:47:00+00:00,71.905,71.905,71.905,71.905,100.0,1.0,71.905
ARE,2025-06-30 17:56:00+00:00,71.78,71.78,71.78,71.78,112.0,2.0,71.78
ARE,2025-06-30 17:58:00+00:00,71.685,71.685,71.685,71.685,100.0,1.0,71.685
ARE,2025-06-30 18:10:00+00:00,71.93,71.93,71.93,71.93,118.0,2.0,71.93
ARE,2025-06-30 18:14:00+00:00,71.99,71.99,71.99,71.99,110.0,2.0,71.99
ARE,2025-06-30 18:21:00+00:00,72.04,72.17,72.04,72.17,401.0,7.0,72.121673
ARE,2025-06-30 18:22:00+00:00,72.12,72.12,72.12,72.12,981.0,10.0,72.12
ARE,2025-06-30 18:23:00+00:00,72.14,72.14,72.14,72.14,166.0,4.0,72.14
ARE,2025-06-30 18:26:00+00:00,72.12,72.12,72.12,72.12,146.0,4.0,72.12
ARE,2025-06-30 18:27:00+00:00,72.12,72.12,72.12,72.12,164.0,1.0,72.12
ARE,2025-06-30 18:28:00+00:00,72.12,72.12,72.12,72.12,205.0,4.0,72.12
ARE,2025-06-30 18:29:00+00:00,72.03,72.03,72.03,72.03,106.0,3.0,72.03
ARE,2025-06-30 18:41:00+00:00,72.1,72.1,72.1,72.1,146.0,6.0,72.1
ARE,2025-06-30 18:43:00+00:00,72.13,72.13,72.13,72.13,100.0,1.0,72.13
ARE,2025-06-30 18:44:00+00:00,72.13,72.13,72.13,72.13,203.0,3.0,72.13
ARE,2025-06-30 18:49:00+00:00,72.16,72.16,72.16,72.16,321.0,6.0,72.16
ARE,2025-06-30 18:51:00+00:00,72.18,72.18,72.18,72.18,346.0,7.0,72.18
ARE,2025-06-30 18:53:00+00:00,72.15,72.15,72.15,72.15,272.0,8.0,72.15
ARE,2025-06-30 18:54:00+00:00,72.2,72.2,72.2,72.2,258.0,6.0,72.2
ARE,2025-06-30 19:00:00+00:00,72.31,72.32,72.31,72.32,724.0,9.0,72.311667
ARE,2025-06-30 19:03:00+00:00,72.36,72.36,72.36,72.36,122.0,2.0,72.36
ARE,2025-06-30 19:09:00+00:00,72.45,72.45,72.45,72.45,316.0,7.0,72.45
ARE,2025-06-30 19:11:00+00:00,72.475,72.475,72.43,72.43,200.0,2.0,72.4525
ARE,2025-06-30 19:13:00+00:00,72.43,72.43,72.43,72.43,113.0,2.0,72.43
ARE,2025-06-30 19:15:00+00:00,72.41,72.41,72.41,72.41,100.0,1.0,72.41
ARE,2025-06-30 19:18:00+00:00,72.43,72.43,72.43,72.43,157.0,4.0,72.43
ARE,2025-06-30 19:20:00+00:00,72.42,72.42,72.42,72.42,350.0,9.0,72.42
ARE,2025-06-30 19:31:00+00:00,72.485,72.53,72.485,72.53,460.0,9.0,72.504651
ARE,2025-06-30 19:32:00+00:00,72.5,72.5,72.5,72.5,138.0,4.0,72.5
ARE,2025-06-30 19:36:00+00:00,72.505,72.505,72.505,72.505,495.0,12.0,72.505
ARE,2025-06-30 19:40:00+00:00,72.52,72.52,72.52,72.52,149.0,4.0,72.52
ARE,2025-06-30 19:45:00+00:00,72.43,72.475,72.43,72.475,225.0,3.0,72.4525
ARE,2025-06-30 19:46:00+00:00,72.495,72.56,72.495,72.56,626.0,15.0,72.51875
ARE,2025-06-30 19:47:00+00:00,72.57,72.57,72.54,72.54,220.0,3.0,72.555
ARE,2025-06-30 19:48:00+00:00,72.555,72.56,72.555,72.56,200.0,2.0,72.5575
ARE,2025-06-30 19:49:00+00:00,72.535,72.535,72.445,72.445,535.0,13.0,72.47534
ARE,2025-06-30 19:50:00+00:00,72.52,72.56,72.52,72.555,440.0,6.0,72.545
ARE,2025-06-30 19:51:00+00:00,72.61,72.64,72.61,72.63,410.0,7.0,72.626667
ARE,2025-06-30 19:52:00+00:00,72.635,72.635,72.59,72.59,1022.0,16.0,72.617857
ARE,2025-06-30 19:53:00+00:00,72.6,72.6,72.6,72.6,287.0,7.0,72.6
ARE,2025-06-30 19:54:00+00:00,72.6,72.65,72.6,72.63,534.0,8.0,72.6225
ARE,2025-06-30 19:55:00+00:00,72.64,72.64,72.6,72.64,928.0,14.0,72.629
ARE,2025-06-30 19:56:00+00:00,72.63,72.69,72.63,72.69,622.0,9.0,72.654215
ARE,2025-06-30 19:57:00+00:00,72.67,72.7,72.67,72.7,832.0,25.0,72.685
ARE,2025-06-30 19:58:00+00:00,72.69,72.695,72.66,72.66,1866.0,47.0,72.6765
ARE,2025-06-30 19:59:00+00:00,72.67,72.675,72.6,72.6,3874.0,66.0,72.657302
ARE,2025-07-01 13:34:00+00:00,72.555,72.555,72.555,72.555,100.0,1.0,72.555
ARE,2025-07-01 13:45:00+00:00,72.24,72.24,72.24,72.24,229.0,5.0,72.24
ARE,2025-07-01 13:48:00+00:00,72.265,72.265,72.265,72.265,200.0,2.0,72.265
ARE,2025-07-01 13:57:00+00:00,72.63,72.63,72.63,72.63,100.0,1.0,72.63
ARE,2025-07-01 13:59:00+00:00,72.63,72.63,72.63,72.63,100.0,1.0,72.63
ARE,2025-07-01 14:00:00+00:00,72.72,72.72,72.72,72.72,150.0,2.0,72.72
ARE,2025-07-01 14:10:00+00:00,72.6,72.6,72.6,72.6,100.0,1.0,72.6
ARE,2025-07-01 14:19:00+00:00,72.95,72.95,72.95,72.95,204.0,7.0,72.95
ARE,2025-07-01 14:20:00+00:00,72.95,72.97,72.95,72.97,264.0,4.0,72.96
ARE,2025-07-01 14:21:00+00:00,73.035,73.035,73.035,73.035,272.0,5.0,73.035
ARE,2025-07-01 14:30:00+00:00,73.4,73.4,73.4,73.4,105.0,5.0,73.4
ARE,2025-07-01 14:31:00+00:00,73.61,73.61,73.61,73.61,108.0,2.0,73.61
ARE,2025-07-01 14:35:00+00:00,73.565,73.565,73.565,73.565,100.0,1.0,73.565
ARE,2025-07-01 14:39:00+00:00,73.96,73.96,73.96,73.96,110.0,3.0,73.96
ARE,2025-07-01 14:42:00+00:00,74.1,74.13,74.1,74.13,567.0,10.0,74.12
ARE,2025-07-01 14:45:00+00:00,74.12,74.12,74.12,74.12,150.0,2.0,74.12
ARE,2025-07-01 14:46:00+00:00,74.29,74.29,74.28,74.28,309.0,4.0,74.286667
ARE,2025-07-01 14:49:00+00:00,74.04,74.04,74.04,74.04,202.0,3.0,74.04
ARE,2025-07-01 14:52:00+00:00,73.83,73.83,73.83,73.83,100.0,1.0,73.83
ARE,2025-07-01 14:57:00+00:00,73.93,73.93,73.93,73.93,130.0,4.0,73.93
ARE,2025-07-01 14:58:00+00:00,73.93,73.93,73.93,73.93,100.0,1.0,73.93
ARE,2025-07-01 15:02:00+00:00,73.95,73.95,73.95,73.95,170.0,4.0,73.95
ARE,2025-07-01 15:04:00+00:00,74.065,74.065,74.05,74.05,213.0,4.0,74.0575
ARE,2025-07-01 15:05:00+00:00,74.11,74.11,74.11,74.11,122.0,4.0,74.11
ARE,2025-07-01 15:11:00+00:00,74.51,74.51,74.51,74.51,100.0,1.0,74.51
ARE,2025-07-01 15:12:00+00:00,74.47,74.47,74.47,74.47,200.0,3.0,74.47
ARE,2025-07-01 15:13:00+00:00,74.515,74.555,74.46,74.53,798.0,7.0,74.511471
ARE,2025-07-01 15:14:00+00:00,74.61,74.61,74.61,74.61,321.0,1.0,74.61
ARE,2025-07-01 15:19:00+00:00,74.77,74.77,74.77,74.77,106.0,3.0,74.77
ARE,2025-07-01 15:21:00+00:00,74.74,74.74,74.74,74.74,217.0,4.0,74.74
