symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CEG,2025-06-30 13:30:00+00:00,323.51,323.51,323.51,323.51,308.0,15.0,323.51
CEG,2025-06-30 13:31:00+00:00,323.0,323.02,323.0,323.02,857.0,21.0,323.008333
CEG,2025-06-30 13:32:00+00:00,323.51,324.18,323.48,324.18,1330.0,17.0,323.598738
CEG,2025-06-30 13:33:00+00:00,323.06,323.06,323.005,323.005,606.0,8.0,323.017346
CEG,2025-06-30 13:35:00+00:00,322.02,322.02,322.02,322.02,184.0,6.0,322.02
CEG,2025-06-30 13:36:00+00:00,319.625,319.625,319.625,319.625,351.0,7.0,319.625
CEG,2025-06-30 13:37:00+00:00,320.615,320.615,320.615,320.615,335.0,7.0,320.615
CEG,2025-06-30 13:45:00+00:00,318.705,318.79,318.705,318.79,303.0,6.0,318.7475
CEG,2025-06-30 13:46:00+00:00,318.33,318.43,318.33,318.43,307.0,7.0,318.38
CEG,2025-06-30 13:47:00+00:00,318.325,318.595,318.325,318.595,405.0,11.0,318.463333
CEG,2025-06-30 13:53:00+00:00,318.91,319.13,318.91,319.13,555.0,15.0,319.075
CEG,2025-06-30 13:54:00+00:00,319.09,319.09,319.09,319.09,333.0,12.0,319.09
CEG,2025-06-30 13:56:00+00:00,320.045,320.045,320.045,320.045,100.0,1.0,320.045
CEG,2025-06-30 13:57:00+00:00,320.18,320.18,320.18,320.18,615.0,17.0,320.18
CEG,2025-06-30 13:58:00+00:00,319.96,319.96,319.96,319.96,147.0,8.0,319.96
CEG,2025-06-30 14:01:00+00:00,321.25,321.25,321.08,321.08,376.0,9.0,321.165
CEG,2025-06-30 14:03:00+00:00,321.08,321.08,321.08,321.08,325.0,7.0,321.08
CEG,2025-06-30 14:07:00+00:00,321.28,321.46,321.28,321.365,724.0,11.0,321.372076
CEG,2025-06-30 14:08:00+00:00,321.34,321.34,321.34,321.34,611.0,24.0,321.34
CEG,2025-06-30 14:09:00+00:00,321.09,321.09,321.09,321.09,173.0,8.0,321.09
CEG,2025-06-30 14:11:00+00:00,320.93,320.93,320.93,320.93,100.0,1.0,320.93
CEG,2025-06-30 14:12:00+00:00,320.78,320.78,320.78,320.78,143.0,7.0,320.78
CEG,2025-06-30 14:14:00+00:00,320.57,320.57,320.51,320.51,444.0,9.0,320.54
CEG,2025-06-30 14:19:00+00:00,321.07,321.07,321.07,321.07,254.0,7.0,321.07
CEG,2025-06-30 14:20:00+00:00,320.64,320.64,320.54,320.54,317.0,11.0,320.59
CEG,2025-06-30 14:21:00+00:00,319.94,319.94,319.94,319.94,301.0,6.0,319.94
CEG,2025-06-30 14:29:00+00:00,320.65,320.65,320.65,320.65,526.0,16.0,320.65
CEG,2025-06-30 14:31:00+00:00,320.49,320.49,320.49,320.49,337.0,9.0,320.49
CEG,2025-06-30 14:37:00+00:00,320.68,320.68,320.68,320.68,201.0,5.0,320.68
CEG,2025-06-30 14:39:00+00:00,320.41,320.41,320.41,320.41,121.0,6.0,320.41
CEG,2025-06-30 14:51:00+00:00,319.95,320.28,319.95,320.28,918.0,17.0,320.085
CEG,2025-06-30 15:01:00+00:00,321.44,321.44,321.44,321.44,111.0,3.0,321.44
CEG,2025-06-30 15:04:00+00:00,321.0,321.0,321.0,321.0,210.0,4.0,321.0
CEG,2025-06-30 15:05:00+00:00,320.83,321.0,320.83,321.0,566.0,12.0,320.896667
CEG,2025-06-30 15:07:00+00:00,320.9,320.9,320.81,320.81,303.0,7.0,320.855
CEG,2025-06-30 15:08:00+00:00,322.12,322.12,322.12,322.12,431.0,9.0,322.12
CEG,2025-06-30 15:14:00+00:00,321.895,321.895,321.88,321.88,427.0,7.0,321.884762
CEG,2025-06-30 15:15:00+00:00,321.88,321.88,321.88,321.88,358.0,8.0,321.88
CEG,2025-06-30 15:17:00+00:00,321.9,321.95,321.9,321.95,646.0,18.0,321.916667
CEG,2025-06-30 15:24:00+00:00,322.81,322.81,322.81,322.81,167.0,10.0,322.81
CEG,2025-06-30 15:29:00+00:00,322.275,322.34,322.275,322.31,962.0,19.0,322.3175
CEG,2025-06-30 15:30:00+00:00,322.305,322.705,322.28,322.605,2065.0,28.0,322.440307
CEG,2025-06-30 15:31:00+00:00,322.69,323.13,322.69,323.09,1268.0,13.0,322.876424
CEG,2025-06-30 15:32:00+00:00,323.115,323.115,323.115,323.115,362.0,9.0,323.115
CEG,2025-06-30 15:34:00+00:00,323.065,323.325,323.045,323.325,1535.0,34.0,323.172652
CEG,2025-06-30 15:35:00+00:00,323.26,323.265,323.26,323.265,202.0,4.0,323.2625
CEG,2025-06-30 15:40:00+00:00,323.33,323.49,323.33,323.49,639.0,13.0,323.41
CEG,2025-06-30 15:41:00+00:00,323.41,323.51,323.41,323.455,972.0,17.0,323.456429
CEG,2025-06-30 15:43:00+00:00,323.45,323.45,323.32,323.32,645.0,13.0,323.41
CEG,2025-06-30 15:48:00+00:00,322.8,322.8,322.8,322.8,100.0,1.0,322.8
CEG,2025-06-30 15:57:00+00:00,322.705,322.705,322.705,322.705,526.0,11.0,322.705
CEG,2025-06-30 16:04:00+00:00,323.02,323.02,323.02,323.02,226.0,10.0,323.02
CEG,2025-06-30 16:05:00+00:00,323.02,323.02,323.02,323.02,110.0,2.0,323.02
CEG,2025-06-30 16:07:00+00:00,323.0,323.525,323.0,323.525,770.0,8.0,323.279581
CEG,2025-06-30 16:08:00+00:00,323.58,323.66,323.58,323.62,800.0,8.0,323.595625
CEG,2025-06-30 16:09:00+00:00,324.0,324.01,324.0,324.01,213.0,5.0,324.005
CEG,2025-06-30 16:10:00+00:00,324.115,324.69,324.11,324.64,804.0,13.0,324.267264
CEG,2025-06-30 16:16:00+00:00,324.11,324.11,324.11,324.11,254.0,6.0,324.11
CEG,2025-06-30 16:24:00+00:00,323.54,323.54,323.54,323.54,153.0,5.0,323.54
CEG,2025-06-30 16:26:00+00:00,323.54,323.54,323.54,323.54,319.0,11.0,323.54
CEG,2025-06-30 16:27:00+00:00,323.27,323.27,323.27,323.27,102.0,2.0,323.27
CEG,2025-06-30 16:28:00+00:00,323.4,323.4,323.4,323.4,275.0,10.0,323.4
CEG,2025-06-30 16:33:00+00:00,323.535,323.535,323.535,323.535,260.0,11.0,323.535
CEG,2025-06-30 16:34:00+00:00,323.545,323.545,323.535,323.535,782.0,27.0,323.54
CEG,2025-06-30 16:39:00+00:00,323.26,323.26,323.26,323.26,701.0,14.0,323.26
CEG,2025-06-30 16:40:00+00:00,323.26,323.29,323.26,323.29,1236.0,27.0,323.264532
CEG,2025-06-30 16:42:00+00:00,323.84,323.84,323.84,323.84,193.0,8.0,323.84
CEG,2025-06-30 16:48:00+00:00,324.5,324.5,324.5,324.5,116.0,3.0,324.5
CEG,2025-06-30 16:51:00+00:00,324.36,324.36,324.36,324.36,304.0,6.0,324.36
CEG,2025-06-30 16:55:00+00:00,324.235,324.235,324.235,324.235,741.0,15.0,324.235
CEG,2025-06-30 17:03:00+00:00,323.66,323.66,323.66,323.66,141.0,3.0,323.66
CEG,2025-06-30 17:04:00+00:00,323.56,323.72,323.54,323.72,1675.0,32.0,323.564752
CEG,2025-06-30 17:05:00+00:00,323.625,323.625,323.625,323.625,333.0,7.0,323.625
CEG,2025-06-30 17:07:00+00:00,323.925,323.925,323.925,323.925,246.0,7.0,323.925
CEG,2025-06-30 17:11:00+00:00,324.23,324.23,324.23,324.23,117.0,4.0,324.23
CEG,2025-06-30 17:12:00+00:00,324.21,324.21,324.21,324.21,100.0,1.0,324.21
CEG,2025-06-30 17:15:00+00:00,324.2,324.2,324.2,324.2,211.0,5.0,324.2
CEG,2025-06-30 17:18:00+00:00,323.8,323.8,323.8,323.8,103.0,2.0,323.8
CEG,2025-06-30 17:21:00+00:00,323.51,323.51,323.51,323.51,240.0,7.0,323.51
CEG,2025-06-30 17:23:00+00:00,323.66,323.66,323.66,323.66,101.0,2.0,323.66
CEG,2025-06-30 17:24:00+00:00,323.57,323.57,323.5,323.5,292.0,6.0,323.54417
CEG,2025-06-30 17:27:00+00:00,323.46,323.46,323.4,323.4,349.0,9.0,323.43
CEG,2025-06-30 17:36:00+00:00,323.12,323.12,323.12,323.12,201.0,3.0,323.12
CEG,2025-06-30 17:37:00+00:00,323.22,323.22,323.22,323.22,102.0,3.0,323.22
CEG,2025-06-30 17:54:00+00:00,323.44,323.44,323.44,323.44,101.0,2.0,323.44
CEG,2025-06-30 17:55:00+00:00,323.55,323.55,323.55,323.55,608.0,18.0,323.55
CEG,2025-06-30 17:59:00+00:00,323.205,323.205,323.205,323.205,100.0,1.0,323.205
CEG,2025-06-30 18:25:00+00:00,322.98,322.98,322.98,322.98,100.0,1.0,322.98
CEG,2025-06-30 18:26:00+00:00,323.035,323.035,323.035,323.035,156.0,4.0,323.035
CEG,2025-06-30 18:35:00+00:00,322.91,322.91,322.91,322.91,128.0,6.0,322.91
CEG,2025-06-30 18:42:00+00:00,322.44,322.44,322.44,322.44,253.0,16.0,322.44
CEG,2025-06-30 18:45:00+00:00,322.57,322.57,322.57,322.57,171.0,13.0,322.57
CEG,2025-06-30 18:47:00+00:00,322.78,322.78,322.78,322.78,176.0,6.0,322.78
CEG,2025-06-30 18:55:00+00:00,323.005,323.005,323.005,323.005,276.0,7.0,323.005
CEG,2025-06-30 19:10:00+00:00,322.36,322.36,322.36,322.36,305.0,11.0,322.36
CEG,2025-06-30 19:17:00+00:00,321.91,321.91,321.91,321.91,212.0,6.0,321.91
CEG,2025-06-30 19:25:00+00:00,322.16,322.16,322.16,322.16,206.0,6.0,322.16
CEG,2025-06-30 19:33:00+00:00,321.82,321.82,321.66,321.66,514.0,17.0,321.72
CEG,2025-06-30 19:35:00+00:00,321.865,322.01,321.865,322.01,522.0,13.0,321.97224
CEG,2025-06-30 19:39:00+00:00,322.415,322.415,322.415,322.415,114.0,5.0,322.415
CEG,2025-06-30 19:42:00+00:00,322.825,322.825,322.825,322.825,387.0,9.0,322.825
CEG,2025-06-30 19:43:00+00:00,322.975,322.975,322.975,322.975,293.0,9.0,322.975
CEG,2025-06-30 19:50:00+00:00,322.89,323.07,322.89,323.0,1914.0,32.0,323.008065
