symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CVX,2025-06-30 13:30:00+00:00,143.045,143.045,142.89,142.9,720.0,9.0,142.927
CVX,2025-06-30 13:31:00+00:00,142.56,142.8,142.56,142.75,634.0,13.0,142.703333
CVX,2025-06-30 13:33:00+00:00,142.85,142.85,142.85,142.85,151.0,7.0,142.85
CVX,2025-06-30 13:34:00+00:00,143.0,143.0,143.0,143.0,182.0,3.0,143.0
CVX,2025-06-30 13:35:00+00:00,143.05,143.05,143.05,143.05,100.0,1.0,143.05
CVX,2025-06-30 13:36:00+00:00,142.82,143.02,142.82,143.02,362.0,8.0,142.92
CVX,2025-06-30 13:37:00+00:00,142.945,142.945,142.945,142.945,208.0,4.0,142.945
CVX,2025-06-30 13:38:00+00:00,143.125,143.135,143.125,143.135,400.0,3.0,143.1325
CVX,2025-06-30 13:39:00+00:00,143.16,143.21,143.16,143.21,313.0,7.0,143.176667
CVX,2025-06-30 13:41:00+00:00,143.225,143.315,143.21,143.315,986.0,17.0,143.252857
CVX,2025-06-30 13:42:00+00:00,143.395,143.395,143.395,143.395,103.0,3.0,143.395
CVX,2025-06-30 13:43:00+00:00,143.24,143.24,143.225,143.225,328.0,6.0,143.2325
CVX,2025-06-30 13:44:00+00:00,143.15,143.15,143.12,143.12,472.0,10.0,143.133333
CVX,2025-06-30 13:45:00+00:00,143.25,143.25,143.25,143.25,292.0,7.0,143.25
CVX,2025-06-30 13:46:00+00:00,143.23,143.23,143.23,143.23,243.0,6.0,143.23
CVX,2025-06-30 13:48:00+00:00,143.26,143.26,143.26,143.26,218.0,4.0,143.26
CVX,2025-06-30 13:49:00+00:00,143.3,143.3,143.29,143.29,767.0,18.0,143.295
CVX,2025-06-30 13:50:00+00:00,143.31,143.31,143.31,143.31,397.0,7.0,143.31
CVX,2025-06-30 13:51:00+00:00,143.355,143.36,143.355,143.36,876.0,12.0,143.355625
CVX,2025-06-30 13:52:00+00:00,143.355,143.355,143.355,143.355,525.0,7.0,143.355
CVX,2025-06-30 13:53:00+00:00,143.32,143.32,143.32,143.32,512.0,14.0,143.32
CVX,2025-06-30 13:54:00+00:00,143.365,143.365,143.31,143.31,238.0,7.0,143.3375
CVX,2025-06-30 13:55:00+00:00,143.32,143.32,143.31,143.31,330.0,8.0,143.315
CVX,2025-06-30 13:56:00+00:00,143.3,143.3,143.3,143.3,578.0,9.0,143.3
CVX,2025-06-30 13:57:00+00:00,143.23,143.23,143.19,143.19,1389.0,23.0,143.20152
CVX,2025-06-30 13:59:00+00:00,143.17,143.17,143.17,143.17,319.0,6.0,143.17
CVX,2025-06-30 14:00:00+00:00,143.295,143.295,143.265,143.265,983.0,15.0,143.283701
CVX,2025-06-30 14:01:00+00:00,143.28,143.34,143.28,143.34,852.0,9.0,143.298125
CVX,2025-06-30 14:02:00+00:00,143.33,143.33,143.295,143.295,652.0,13.0,143.31125
CVX,2025-06-30 14:03:00+00:00,143.3,143.37,143.3,143.37,872.0,15.0,143.320732
CVX,2025-06-30 14:06:00+00:00,143.33,143.33,143.33,143.33,218.0,3.0,143.33
CVX,2025-06-30 14:07:00+00:00,143.36,143.45,143.36,143.45,432.0,7.0,143.405
CVX,2025-06-30 14:09:00+00:00,143.46,143.46,143.46,143.46,176.0,7.0,143.46
CVX,2025-06-30 14:10:00+00:00,143.4,143.4,143.385,143.385,1103.0,16.0,143.3925
CVX,2025-06-30 14:11:00+00:00,143.45,143.45,143.45,143.45,372.0,6.0,143.45
CVX,2025-06-30 14:12:00+00:00,143.37,143.37,143.37,143.37,235.0,3.0,143.37
CVX,2025-06-30 14:13:00+00:00,143.29,143.32,143.29,143.32,570.0,9.0,143.303158
CVX,2025-06-30 14:15:00+00:00,143.29,143.295,143.29,143.295,842.0,13.0,143.294
CVX,2025-06-30 14:16:00+00:00,143.35,143.35,143.275,143.275,776.0,18.0,143.295
CVX,2025-06-30 14:17:00+00:00,143.255,143.255,143.255,143.255,157.0,5.0,143.255
CVX,2025-06-30 14:18:00+00:00,143.28,143.28,143.28,143.28,148.0,5.0,143.28
CVX,2025-06-30 14:19:00+00:00,143.37,143.37,143.37,143.37,316.0,9.0,143.37
CVX,2025-06-30 14:20:00+00:00,143.36,143.42,143.35,143.42,525.0,14.0,143.376667
CVX,2025-06-30 14:21:00+00:00,143.43,143.43,143.43,143.43,227.0,6.0,143.43
CVX,2025-06-30 14:22:00+00:00,143.47,143.47,143.46,143.46,348.0,6.0,143.465
CVX,2025-06-30 14:23:00+00:00,143.465,143.465,143.465,143.465,126.0,3.0,143.465
CVX,2025-06-30 14:24:00+00:00,143.6,143.6,143.58,143.58,486.0,8.0,143.59
CVX,2025-06-30 14:25:00+00:00,143.55,143.55,143.55,143.55,183.0,6.0,143.55
CVX,2025-06-30 14:26:00+00:00,143.56,143.56,143.56,143.56,162.0,4.0,143.56
CVX,2025-06-30 14:29:00+00:00,143.61,143.61,143.61,143.61,229.0,9.0,143.61
CVX,2025-06-30 14:33:00+00:00,143.66,143.68,143.66,143.68,227.0,3.0,143.67
CVX,2025-06-30 14:34:00+00:00,143.645,143.69,143.645,143.69,300.0,2.0,143.66
CVX,2025-06-30 14:35:00+00:00,143.72,143.72,143.72,143.72,171.0,6.0,143.72
CVX,2025-06-30 14:36:00+00:00,143.75,143.83,143.75,143.83,318.0,9.0,143.79
CVX,2025-06-30 14:38:00+00:00,143.765,143.765,143.745,143.745,554.0,7.0,143.756507
CVX,2025-06-30 14:40:00+00:00,143.77,143.77,143.77,143.77,165.0,4.0,143.77
CVX,2025-06-30 14:44:00+00:00,143.75,143.75,143.75,143.75,205.0,6.0,143.75
CVX,2025-06-30 14:45:00+00:00,143.82,143.82,143.82,143.82,113.0,4.0,143.82
CVX,2025-06-30 14:46:00+00:00,143.835,143.835,143.835,143.835,100.0,1.0,143.835
CVX,2025-06-30 14:47:00+00:00,143.775,143.775,143.775,143.775,113.0,4.0,143.775
CVX,2025-06-30 14:48:00+00:00,143.77,143.77,143.77,143.77,145.0,3.0,143.77
CVX,2025-06-30 14:49:00+00:00,143.8,143.8,143.8,143.8,128.0,4.0,143.8
CVX,2025-06-30 14:50:00+00:00,143.775,143.79,143.775,143.79,335.0,6.0,143.7825
CVX,2025-06-30 14:53:00+00:00,143.75,143.75,143.75,143.75,452.0,11.0,143.75
CVX,2025-06-30 14:54:00+00:00,143.885,143.885,143.885,143.885,296.0,8.0,143.885
CVX,2025-06-30 14:55:00+00:00,143.815,143.815,143.815,143.815,100.0,1.0,143.815
CVX,2025-06-30 14:58:00+00:00,143.73,143.74,143.73,143.73,423.0,6.0,143.733333
CVX,2025-06-30 15:01:00+00:00,143.8,143.8,143.8,143.8,369.0,10.0,143.8
CVX,2025-06-30 15:02:00+00:00,143.82,143.86,143.82,143.86,457.0,8.0,143.835686
CVX,2025-06-30 15:03:00+00:00,143.91,143.91,143.91,143.91,100.0,1.0,143.91
CVX,2025-06-30 15:04:00+00:00,143.9,143.92,143.9,143.92,224.0,6.0,143.91
CVX,2025-06-30 15:05:00+00:00,143.97,143.97,143.97,143.97,212.0,3.0,143.97
CVX,2025-06-30 15:07:00+00:00,144.0,144.01,144.0,144.01,262.0,7.0,144.005
CVX,2025-06-30 15:09:00+00:00,143.97,143.97,143.97,143.97,126.0,4.0,143.97
CVX,2025-06-30 15:10:00+00:00,143.85,143.85,143.845,143.845,240.0,3.0,143.8475
CVX,2025-06-30 15:11:00+00:00,143.825,143.835,143.825,143.825,531.0,7.0,143.83
CVX,2025-06-30 15:12:00+00:00,143.82,143.84,143.82,143.84,731.0,11.0,143.83
CVX,2025-06-30 15:13:00+00:00,143.86,143.86,143.835,143.835,934.0,14.0,143.844238
CVX,2025-06-30 15:14:00+00:00,143.83,143.86,143.83,143.86,765.0,9.0,143.840274
CVX,2025-06-30 15:16:00+00:00,143.92,143.95,143.92,143.95,848.0,10.0,143.940432
CVX,2025-06-30 15:17:00+00:00,143.9,143.9,143.9,143.9,105.0,2.0,143.9
CVX,2025-06-30 15:18:00+00:00,143.86,143.86,143.86,143.86,150.0,2.0,143.86
CVX,2025-06-30 15:20:00+00:00,143.84,143.84,143.79,143.82,1730.0,10.0,143.807472
CVX,2025-06-30 15:24:00+00:00,143.75,143.75,143.75,143.75,420.0,13.0,143.75
CVX,2025-06-30 15:26:00+00:00,143.85,143.85,143.85,143.85,634.0,17.0,143.85
CVX,2025-06-30 15:27:00+00:00,143.85,143.85,143.85,143.85,113.0,3.0,143.85
CVX,2025-06-30 15:28:00+00:00,143.87,143.87,143.87,143.87,225.0,7.0,143.87
CVX,2025-06-30 15:29:00+00:00,143.82,143.82,143.82,143.82,262.0,5.0,143.82
CVX,2025-06-30 15:30:00+00:00,143.835,143.835,143.73,143.73,687.0,9.0,143.775
CVX,2025-06-30 15:31:00+00:00,143.71,143.71,143.6,143.615,1020.0,12.0,143.66
CVX,2025-06-30 15:33:00+00:00,143.48,143.535,143.46,143.535,1002.0,10.0,143.483333
CVX,2025-06-30 15:35:00+00:00,143.485,143.49,143.48,143.48,1062.0,8.0,143.482
CVX,2025-06-30 15:39:00+00:00,143.465,143.465,143.465,143.465,119.0,5.0,143.465
CVX,2025-06-30 15:40:00+00:00,143.45,143.45,143.45,143.45,198.0,7.0,143.45
CVX,2025-06-30 15:41:00+00:00,143.435,143.435,143.435,143.435,152.0,3.0,143.435
CVX,2025-06-30 15:42:00+00:00,143.44,143.44,143.44,143.44,100.0,1.0,143.44
CVX,2025-06-30 15:44:00+00:00,143.48,143.48,143.48,143.48,123.0,2.0,143.48
CVX,2025-06-30 15:47:00+00:00,143.54,143.54,143.54,143.54,113.0,3.0,143.54
CVX,2025-06-30 15:48:00+00:00,143.55,143.55,143.55,143.55,107.0,3.0,143.55
CVX,2025-06-30 15:49:00+00:00,143.55,143.55,143.55,143.55,129.0,4.0,143.55
CVX,2025-06-30 15:51:00+00:00,143.65,143.65,143.65,143.65,100.0,1.0,143.65
CVX,2025-06-30 15:57:00+00:00,143.69,143.69,143.69,143.69,111.0,3.0,143.69
CVX,2025-06-30 16:00:00+00:00,143.7,143.7,143.7,143.7,225.0,4.0,143.7
CVX,2025-06-30 16:01:00+00:00,143.68,143.68,143.68,143.68,131.0,5.0,143.68
CVX,2025-06-30 16:02:00+00:00,143.71,143.71,143.71,143.71,250.0,4.0,143.71
CVX,2025-06-30 16:04:00+00:00,143.71,143.735,143.71,143.735,218.0,5.0,143.7225
CVX,2025-06-30 16:08:00+00:00,143.64,143.67,143.64,143.67,342.0,9.0,143.655
CVX,2025-06-30 16:09:00+00:00,143.69,143.69,143.69,143.69,136.0,2.0,143.69
CVX,2025-06-30 16:12:00+00:00,143.62,143.62,143.62,143.62,120.0,6.0,143.62
CVX,2025-06-30 16:17:00+00:00,143.54,143.54,143.54,143.54,280.0,7.0,143.54
CVX,2025-06-30 16:18:00+00:00,143.47,143.47,143.47,143.47,288.0,7.0,143.47
CVX,2025-06-30 16:19:00+00:00,143.46,143.47,143.41,143.47,538.0,9.0,143.445
