symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ED,2025-06-30 13:30:00+00:00,99.02,99.02,99.02,99.02,241.0,2.0,99.02
ED,2025-06-30 13:31:00+00:00,99.025,99.025,99.025,99.025,213.0,4.0,99.025
ED,2025-06-30 13:32:00+00:00,99.14,99.18,99.14,99.18,314.0,5.0,99.16
ED,2025-06-30 13:33:00+00:00,99.34,99.495,99.34,99.495,636.0,9.0,99.45625
ED,2025-06-30 13:34:00+00:00,99.36,99.36,99.36,99.36,100.0,1.0,99.36
ED,2025-06-30 13:35:00+00:00,99.54,99.54,99.54,99.54,542.0,8.0,99.54
ED,2025-06-30 13:36:00+00:00,99.68,99.68,99.68,99.68,200.0,2.0,99.68
ED,2025-06-30 13:37:00+00:00,99.83,99.845,99.83,99.845,200.0,2.0,99.8375
ED,2025-06-30 13:38:00+00:00,99.98,99.995,99.85,99.9,2630.0,15.0,99.92851
ED,2025-06-30 13:39:00+00:00,99.92,99.92,99.77,99.77,1464.0,13.0,99.852278
ED,2025-06-30 13:40:00+00:00,99.85,99.85,99.75,99.75,14300.0,5.0,99.846923
ED,2025-06-30 13:41:00+00:00,99.875,99.875,99.87,99.87,1232.0,14.0,99.871337
ED,2025-06-30 13:42:00+00:00,99.83,99.865,99.78,99.825,1857.0,12.0,99.793235
ED,2025-06-30 13:43:00+00:00,99.82,99.82,99.66,99.66,1280.0,7.0,99.750313
ED,2025-06-30 13:44:00+00:00,99.59,99.64,99.53,99.53,3793.0,22.0,99.569015
ED,2025-06-30 13:45:00+00:00,99.695,99.695,99.695,99.695,213.0,4.0,99.695
ED,2025-06-30 13:46:00+00:00,99.71,99.71,99.63,99.63,900.0,7.0,99.651144
ED,2025-06-30 13:48:00+00:00,99.78,99.78,99.78,99.78,582.0,6.0,99.78
ED,2025-06-30 13:49:00+00:00,99.84,99.87,99.84,99.85,1517.0,10.0,99.853333
ED,2025-06-30 13:50:00+00:00,99.87,99.87,99.87,99.87,570.0,6.0,99.87
ED,2025-06-30 13:51:00+00:00,99.95,99.95,99.94,99.94,654.0,5.0,99.944437
