symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ELV,2025-06-30 13:30:00+00:00,380.5,380.5,379.595,379.595,1010.0,17.0,380.240516
ELV,2025-06-30 13:31:00+00:00,379.83,381.345,379.83,381.345,246.0,4.0,380.5875
ELV,2025-06-30 13:32:00+00:00,381.75,381.75,381.75,381.75,142.0,3.0,381.75
ELV,2025-06-30 13:33:00+00:00,383.72,383.72,383.72,383.72,106.0,2.0,383.72
ELV,2025-06-30 13:34:00+00:00,384.45,384.82,384.45,384.82,300.0,3.0,384.696667
ELV,2025-06-30 13:36:00+00:00,383.11,383.11,383.11,383.11,200.0,2.0,383.11
ELV,2025-06-30 13:37:00+00:00,383.415,383.415,383.415,383.415,100.0,1.0,383.415
ELV,2025-06-30 13:39:00+00:00,383.265,383.265,383.265,383.265,120.0,2.0,383.265
ELV,2025-06-30 13:42:00+00:00,383.98,383.98,383.98,383.98,150.0,3.0,383.98
ELV,2025-06-30 13:45:00+00:00,384.49,384.49,384.49,384.49,207.0,5.0,384.49
ELV,2025-06-30 13:48:00+00:00,384.185,384.185,383.695,383.695,402.0,6.0,383.858333
ELV,2025-06-30 13:50:00+00:00,383.59,384.08,383.59,384.08,514.0,15.0,383.835
ELV,2025-06-30 13:51:00+00:00,384.5,384.5,384.5,384.5,173.0,2.0,384.5
ELV,2025-06-30 13:52:00+00:00,384.405,384.405,384.2,384.2,427.0,9.0,384.336667
ELV,2025-06-30 13:53:00+00:00,383.725,383.83,383.725,383.83,205.0,3.0,383.7775
ELV,2025-06-30 13:56:00+00:00,383.45,383.895,383.45,383.895,513.0,19.0,383.6725
ELV,2025-06-30 14:00:00+00:00,383.44,383.44,383.34,383.34,214.0,4.0,383.39
ELV,2025-06-30 14:05:00+00:00,383.58,383.58,383.58,383.58,273.0,9.0,383.58
ELV,2025-06-30 14:06:00+00:00,384.145,384.145,384.145,384.145,109.0,6.0,384.145
ELV,2025-06-30 14:08:00+00:00,384.61,384.61,384.56,384.56,215.0,4.0,384.585
ELV,2025-06-30 14:09:00+00:00,384.36,384.36,384.36,384.36,202.0,6.0,384.36
ELV,2025-06-30 14:11:00+00:00,384.5,384.5,384.5,384.5,215.0,12.0,384.5
ELV,2025-06-30 14:13:00+00:00,384.15,384.15,384.15,384.15,309.0,11.0,384.15
ELV,2025-06-30 14:14:00+00:00,384.07,384.1,384.07,384.1,403.0,8.0,384.08
ELV,2025-06-30 14:15:00+00:00,383.96,383.96,383.96,383.96,252.0,6.0,383.96
ELV,2025-06-30 14:17:00+00:00,384.14,384.22,384.09,384.22,402.0,9.0,384.15
ELV,2025-06-30 14:18:00+00:00,384.36,384.36,384.36,384.36,116.0,3.0,384.36
