symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HII,2025-06-30 13:30:00+00:00,238.875,238.875,238.875,238.875,100.0,1.0,238.875
HII,2025-06-30 13:32:00+00:00,238.945,238.945,238.945,238.945,100.0,1.0,238.945
HII,2025-06-30 13:34:00+00:00,237.165,237.165,237.165,237.165,307.0,5.0,237.165
HII,2025-06-30 14:45:00+00:00,239.44,239.44,239.44,239.44,411.0,10.0,239.44
HII,2025-06-30 14:58:00+00:00,240.43,240.43,240.43,240.43,316.0,5.0,240.43
HII,2025-06-30 15:32:00+00:00,241.05,241.05,241.05,241.05,237.0,9.0,241.05
HII,2025-06-30 16:31:00+00:00,240.605,240.605,240.605,240.605,164.0,8.0,240.605
HII,2025-06-30 16:36:00+00:00,240.74,240.74,240.74,240.74,114.0,2.0,240.74
HII,2025-06-30 16:59:00+00:00,241.1,241.1,241.1,241.1,171.0,2.0,241.1
HII,2025-06-30 17:24:00+00:00,240.95,240.95,240.95,240.95,290.0,8.0,240.95
HII,2025-06-30 17:27:00+00:00,241.015,241.015,241.015,241.015,199.0,3.0,241.015
HII,2025-06-30 17:38:00+00:00,240.72,240.72,240.72,240.72,121.0,5.0,240.72
HII,2025-06-30 17:45:00+00:00,240.67,240.67,240.67,240.67,100.0,1.0,240.67
HII,2025-06-30 17:54:00+00:00,240.635,240.635,240.635,240.635,110.0,2.0,240.635
HII,2025-06-30 17:57:00+00:00,240.43,240.43,240.335,240.335,274.0,6.0,240.3825
HII,2025-06-30 18:22:00+00:00,241.32,241.32,241.32,241.32,382.0,10.0,241.32
HII,2025-06-30 18:32:00+00:00,241.39,241.39,241.39,241.39,100.0,1.0,241.39
HII,2025-06-30 18:40:00+00:00,241.435,241.435,241.435,241.435,101.0,2.0,241.435
HII,2025-06-30 18:50:00+00:00,241.84,241.84,241.84,241.84,200.0,2.0,241.84
HII,2025-06-30 18:59:00+00:00,241.42,241.42,241.42,241.42,144.0,10.0,241.42
HII,2025-06-30 19:42:00+00:00,241.41,241.41,241.41,241.41,163.0,3.0,241.41
HII,2025-06-30 19:45:00+00:00,241.41,241.41,241.41,241.41,117.0,3.0,241.41
HII,2025-06-30 19:53:00+00:00,242.015,242.015,242.015,242.015,109.0,3.0,242.015
HII,2025-06-30 19:56:00+00:00,242.035,242.035,242.035,242.035,401.0,14.0,242.035
HII,2025-06-30 19:58:00+00:00,241.75,241.75,241.72,241.72,754.0,23.0,241.735
HII,2025-06-30 19:59:00+00:00,241.8,241.8,241.56,241.56,390.0,16.0,241.66
HII,2025-07-01 13:34:00+00:00,242.5,243.64,242.5,243.64,452.0,14.0,242.901667
HII,2025-07-01 13:41:00+00:00,245.7,245.7,245.7,245.7,200.0,2.0,245.7
HII,2025-07-01 14:00:00+00:00,243.48,243.48,243.48,243.48,100.0,1.0,243.48
HII,2025-07-01 14:13:00+00:00,241.67,241.67,241.67,241.67,132.0,3.0,241.67
HII,2025-07-01 14:18:00+00:00,240.815,240.815,240.815,240.815,120.0,2.0,240.815
HII,2025-07-01 15:13:00+00:00,241.925,241.935,241.925,241.935,237.0,7.0,241.93
HII,2025-07-01 15:15:00+00:00,242.04,242.155,242.04,242.155,332.0,7.0,242.0975
HII,2025-07-01 15:24:00+00:00,242.56,242.56,242.56,242.56,100.0,1.0,242.56
HII,2025-07-01 15:34:00+00:00,242.875,242.875,242.875,242.875,125.0,2.0,242.875
HII,2025-07-01 15:46:00+00:00,243.38,243.38,243.38,243.38,195.0,4.0,243.38
HII,2025-07-01 15:48:00+00:00,243.66,243.66,243.66,243.66,100.0,1.0,243.66
HII,2025-07-01 15:58:00+00:00,244.185,244.185,244.185,244.185,100.0,1.0,244.185
HII,2025-07-01 16:10:00+00:00,244.59,244.59,244.59,244.59,140.0,4.0,244.59
HII,2025-07-01 16:19:00+00:00,245.035,245.035,245.035,245.035,127.0,3.0,245.035
HII,2025-07-01 16:20:00+00:00,245.13,245.13,245.13,245.13,353.0,10.0,245.13
HII,2025-07-01 16:21:00+00:00,244.96,244.96,244.96,244.96,259.0,7.0,244.96
HII,2025-07-01 16:23:00+00:00,244.845,244.845,244.845,244.845,100.0,1.0,244.845
HII,2025-07-01 16:46:00+00:00,244.99,244.99,244.99,244.99,100.0,1.0,244.99
HII,2025-07-01 17:34:00+00:00,244.72,244.72,244.72,244.72,100.0,1.0,244.72
HII,2025-07-01 17:56:00+00:00,246.24,246.24,246.24,246.24,132.0,5.0,246.24
HII,2025-07-01 17:59:00+00:00,246.285,246.285,246.285,246.285,192.0,7.0,246.285
HII,2025-07-01 18:02:00+00:00,246.52,246.52,246.52,246.52,200.0,3.0,246.52
HII,2025-07-01 18:17:00+00:00,246.63,246.63,246.63,246.63,163.0,8.0,246.63
HII,2025-07-01 18:30:00+00:00,246.59,246.59,246.59,246.59,345.0,15.0,246.59
HII,2025-07-01 18:36:00+00:00,247.63,247.63,247.63,247.63,247.0,8.0,247.63
HII,2025-07-01 18:55:00+00:00,247.23,247.23,247.23,247.23,289.0,8.0,247.23
HII,2025-07-01 18:59:00+00:00,247.16,247.16,247.16,247.16,100.0,1.0,247.16
HII,2025-07-01 19:00:00+00:00,246.895,246.895,246.895,246.895,155.0,7.0,246.895
HII,2025-07-01 19:01:00+00:00,247.26,247.26,247.26,247.26,282.0,10.0,247.26
HII,2025-07-01 19:06:00+00:00,247.39,247.39,247.39,247.39,274.0,6.0,247.39
HII,2025-07-01 19:15:00+00:00,246.72,246.72,246.72,246.72,243.0,6.0,246.72
HII,2025-07-01 19:16:00+00:00,246.89,246.89,246.89,246.89,139.0,3.0,246.89
HII,2025-07-01 19:18:00+00:00,246.74,246.74,246.74,246.74,183.0,6.0,246.74
HII,2025-07-01 19:37:00+00:00,246.04,246.1,246.04,246.1,939.0,21.0,246.07
HII,2025-07-01 19:47:00+00:00,245.86,245.86,245.86,245.86,228.0,7.0,245.86
HII,2025-07-01 19:50:00+00:00,245.1,245.1,245.1,245.1,447.0,10.0,245.1
HII,2025-07-01 19:51:00+00:00,245.52,245.52,245.52,245.52,539.0,14.0,245.52
HII,2025-07-01 19:56:00+00:00,245.985,245.985,245.98,245.98,411.0,12.0,245.9825
HII,2025-07-01 19:57:00+00:00,245.955,245.955,245.87,245.87,289.0,5.0,245.9125
HII,2025-07-01 19:58:00+00:00,245.945,245.945,245.945,245.945,240.0,9.0,245.945
HII,2025-07-02 13:30:00+00:00,244.695,244.695,244.695,244.695,270.0,4.0,244.695
HII,2025-07-02 13:31:00+00:00,244.0,244.0,243.5,243.5,633.0,8.0,243.833693
HII,2025-07-02 13:32:00+00:00,243.5,243.5,243.5,243.5,225.0,3.0,243.5
HII,2025-07-02 13:35:00+00:00,245.87,245.87,245.13,245.13,346.0,9.0,245.5
HII,2025-07-02 14:01:00+00:00,245.73,245.73,245.73,245.73,154.0,2.0,245.73
HII,2025-07-02 14:10:00+00:00,245.885,245.885,245.885,245.885,242.0,5.0,245.885
HII,2025-07-02 14:12:00+00:00,245.2,245.2,244.94,244.94,554.0,8.0,244.992
HII,2025-07-02 14:15:00+00:00,245.29,245.29,245.205,245.205,437.0,7.0,245.2475
HII,2025-07-02 14:30:00+00:00,246.37,246.37,246.37,246.37,314.0,20.0,246.37
HII,2025-07-02 14:36:00+00:00,246.595,246.595,246.595,246.595,100.0,1.0,246.595
HII,2025-07-02 14:38:00+00:00,246.9,246.9,246.9,246.9,254.0,9.0,246.9
HII,2025-07-02 14:52:00+00:00,247.55,247.55,247.55,247.55,201.0,3.0,247.55
HII,2025-07-02 14:58:00+00:00,247.84,247.84,247.84,247.84,369.0,15.0,247.84
HII,2025-07-02 15:21:00+00:00,247.46,247.46,247.46,247.46,200.0,3.0,247.46
HII,2025-07-02 15:24:00+00:00,247.94,248.03,247.94,248.03,780.0,20.0,248.0
HII,2025-07-02 15:43:00+00:00,250.215,250.215,250.215,250.215,225.0,4.0,250.215
HII,2025-07-02 15:54:00+00:00,249.4,249.4,249.4,249.4,109.0,3.0,249.4
HII,2025-07-02 16:01:00+00:00,249.14,249.205,249.14,249.205,436.0,11.0,249.181667
HII,2025-07-02 16:05:00+00:00,249.69,249.69,249.69,249.69,217.0,7.0,249.69
HII,2025-07-02 16:32:00+00:00,249.795,249.795,249.795,249.795,112.0,2.0,249.795
HII,2025-07-02 16:41:00+00:00,249.98,249.98,249.98,249.98,227.0,6.0,249.98
HII,2025-07-02 17:17:00+00:00,249.52,249.52,249.52,249.52,100.0,1.0,249.52
HII,2025-07-02 17:46:00+00:00,249.87,249.87,249.87,249.87,130.0,5.0,249.87
HII,2025-07-02 18:13:00+00:00,249.56,249.56,249.56,249.56,369.0,11.0,249.56
HII,2025-07-02 18:31:00+00:00,249.705,249.705,249.705,249.705,115.0,6.0,249.705
HII,2025-07-02 18:39:00+00:00,249.96,249.96,249.96,249.96,222.0,6.0,249.96
HII,2025-07-02 18:41:00+00:00,250.12,250.12,250.12,250.12,100.0,1.0,250.12
HII,2025-07-02 18:44:00+00:00,250.275,250.275,250.275,250.275,187.0,3.0,250.275
HII,2025-07-02 18:49:00+00:00,249.61,249.615,249.61,249.615,225.0,3.0,249.6125
HII,2025-07-02 18:51:00+00:00,249.58,249.58,249.58,249.58,233.0,5.0,249.58
HII,2025-07-02 18:58:00+00:00,248.975,248.975,248.975,248.975,100.0,1.0,248.975
HII,2025-07-02 19:05:00+00:00,248.99,248.99,248.99,248.99,195.0,3.0,248.99
HII,2025-07-02 19:22:00+00:00,250.21,250.21,250.21,250.21,165.0,7.0,250.21
HII,2025-07-02 19:26:00+00:00,250.065,250.065,250.065,250.065,111.0,2.0,250.065
HII,2025-07-02 19:28:00+00:00,250.07,250.07,250.07,250.07,200.0,2.0,250.07
HII,2025-07-02 19:30:00+00:00,250.055,250.055,250.055,250.055,243.0,6.0,250.055
HII,2025-07-02 19:40:00+00:00,249.865,249.865,249.865,249.865,103.0,2.0,249.865
HII,2025-07-02 19:45:00+00:00,249.84,249.86,249.84,249.86,350.0,8.0,249.85
HII,2025-07-02 19:47:00+00:00,249.725,249.725,249.725,249.725,180.0,2.0,249.725
HII,2025-07-02 19:51:00+00:00,250.33,250.33,250.33,250.33,258.0,9.0,250.33
HII,2025-07-02 19:55:00+00:00,250.11,250.11,250.11,250.11,505.0,10.0,250.11
HII,2025-07-02 19:56:00+00:00,250.26,250.27,250.26,250.27,323.0,6.0,250.265349
HII,2025-07-02 19:57:00+00:00,250.11,250.11,250.11,250.11,302.0,16.0,250.11
HII,2025-07-02 19:58:00+00:00,250.13,250.22,250.13,250.22,550.0,22.0,250.183333
HII,2025-07-02 19:59:00+00:00,250.12,250.12,250.12,250.12,681.0,27.0,250.12
HII,2025-07-03 14:08:00+00:00,250.69,250.69,250.3,250.66,1648.0,21.0,250.636154
HII,2025-07-03 14:27:00+00:00,252.35,252.35,252.35,252.35,127.0,3.0,252.35
HII,2025-07-03 14:45:00+00:00,251.86,251.86,251.86,251.86,213.0,8.0,251.86
HII,2025-07-03 14:56:00+00:00,251.89,251.89,251.89,251.89,100.0,1.0,251.89
HII,2025-07-03 15:08:00+00:00,252.11,252.11,252.11,252.11,132.0,4.0,252.11
HII,2025-07-03 15:24:00+00:00,252.36,252.36,252.36,252.36,165.0,4.0,252.36
HII,2025-07-03 15:43:00+00:00,252.45,252.45,252.45,252.45,100.0,1.0,252.45
HII,2025-07-03 15:55:00+00:00,252.21,252.21,252.21,252.21,138.0,3.0,252.21
