symbol,timestamp,open,high,low,close,volume,trade_count,vwap
K,2025-06-30 13:30:00+00:00,79.115,79.115,79.115,79.115,100.0,1.0,79.115
K,2025-06-30 13:31:00+00:00,79.265,79.265,79.265,79.265,472.0,4.0,79.265
K,2025-06-30 13:32:00+00:00,79.285,79.325,79.285,79.325,600.0,3.0,79.318333
K,2025-06-30 13:33:00+00:00,79.385,79.44,79.38,79.44,3032.0,15.0,79.403499
K,2025-06-30 13:34:00+00:00,79.415,79.415,79.41,79.41,532.0,4.0,79.41094
K,2025-06-30 13:35:00+00:00,79.41,79.42,79.41,79.42,1711.0,17.0,79.411333
K,2025-06-30 13:36:00+00:00,79.45,79.45,79.45,79.45,290.0,4.0,79.45
K,2025-06-30 13:37:00+00:00,79.44,79.44,79.44,79.44,432.0,4.0,79.44
K,2025-06-30 13:38:00+00:00,79.43,79.43,79.4,79.4,2685.0,17.0,79.408654
K,2025-06-30 13:39:00+00:00,79.4,79.41,79.39,79.41,1100.0,10.0,79.402809
K,2025-06-30 13:40:00+00:00,79.38,79.38,79.37,79.37,630.0,7.0,79.378
K,2025-06-30 13:41:00+00:00,79.33,79.33,79.29,79.29,505.0,6.0,79.322
K,2025-06-30 13:42:00+00:00,79.3,79.31,79.3,79.31,416.0,5.0,79.30625
K,2025-06-30 13:43:00+00:00,79.31,79.31,79.3,79.31,2319.0,16.0,79.306737
K,2025-06-30 13:44:00+00:00,79.3,79.3,79.3,79.3,300.0,2.0,79.3
K,2025-06-30 13:45:00+00:00,79.27,79.29,79.27,79.29,359.0,5.0,79.28
K,2025-06-30 13:46:00+00:00,79.3,79.3,79.29,79.29,509.0,4.0,79.294
K,2025-06-30 13:47:00+00:00,79.3,79.3,79.3,79.3,300.0,2.0,79.3
K,2025-06-30 13:48:00+00:00,79.27,79.3,79.27,79.3,1300.0,11.0,79.294615
K,2025-06-30 13:49:00+00:00,79.325,79.325,79.325,79.325,4310.0,2.0,79.325
K,2025-06-30 13:50:00+00:00,79.32,79.32,79.31,79.31,415.0,5.0,79.3175
K,2025-06-30 13:51:00+00:00,79.3,79.3,79.3,79.3,526.0,5.0,79.3
