symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KEY,2025-06-30 13:30:00+00:00,17.355,17.355,17.325,17.325,700.0,8.0,17.34
KEY,2025-06-30 13:31:00+00:00,17.34,17.34,17.325,17.34,3088.0,14.0,17.3315
KEY,2025-06-30 13:32:00+00:00,17.395,17.395,17.355,17.355,666.0,8.0,17.3675
KEY,2025-06-30 13:33:00+00:00,17.355,17.365,17.35,17.365,861.0,7.0,17.361429
KEY,2025-06-30 13:34:00+00:00,17.345,17.39,17.345,17.375,4798.0,25.0,17.374826
KEY,2025-06-30 13:35:00+00:00,17.375,17.385,17.33,17.33,3944.0,14.0,17.373077
KEY,2025-06-30 13:36:00+00:00,17.33,17.33,17.33,17.33,917.0,4.0,17.33
KEY,2025-06-30 13:37:00+00:00,17.34,17.34,17.335,17.335,1998.0,14.0,17.337667
KEY,2025-06-30 13:38:00+00:00,17.355,17.37,17.355,17.365,3764.0,17.0,17.363333
KEY,2025-06-30 13:39:00+00:00,17.355,17.355,17.34,17.35,900.0,6.0,17.348889
KEY,2025-06-30 13:40:00+00:00,17.355,17.355,17.35,17.35,3681.0,8.0,17.350429
KEY,2025-06-30 13:41:00+00:00,17.35,17.35,17.33,17.335,3886.0,12.0,17.343554
KEY,2025-06-30 13:42:00+00:00,17.335,17.335,17.335,17.335,551.0,3.0,17.335
KEY,2025-06-30 13:43:00+00:00,17.33,17.335,17.325,17.335,1645.0,12.0,17.333
KEY,2025-06-30 13:44:00+00:00,17.335,17.345,17.325,17.335,1497.0,12.0,17.333929
KEY,2025-06-30 13:45:00+00:00,17.355,17.365,17.355,17.365,2504.0,12.0,17.355799
KEY,2025-06-30 13:46:00+00:00,17.38,17.38,17.375,17.375,1168.0,12.0,17.377953
KEY,2025-06-30 13:49:00+00:00,17.395,17.395,17.38,17.38,2716.0,13.0,17.384092
KEY,2025-06-30 13:50:00+00:00,17.375,17.375,17.375,17.375,1024.0,4.0,17.375
KEY,2025-06-30 13:51:00+00:00,17.37,17.385,17.37,17.385,700.0,5.0,17.3825
KEY,2025-06-30 13:52:00+00:00,17.385,17.385,17.385,17.385,500.0,4.0,17.385
KEY,2025-06-30 13:53:00+00:00,17.395,17.395,17.385,17.39,1214.0,7.0,17.390417
KEY,2025-06-30 13:54:00+00:00,17.4,17.4,17.385,17.385,600.0,3.0,17.388333
KEY,2025-06-30 13:55:00+00:00,17.385,17.385,17.385,17.385,778.0,4.0,17.385
KEY,2025-06-30 13:56:00+00:00,17.395,17.395,17.395,17.395,1111.0,9.0,17.395
KEY,2025-06-30 13:57:00+00:00,17.4,17.405,17.395,17.405,1226.0,7.0,17.399995
KEY,2025-06-30 13:58:00+00:00,17.4,17.4,17.39,17.39,839.0,11.0,17.395833
KEY,2025-06-30 13:59:00+00:00,17.385,17.405,17.385,17.405,5200.0,35.0,17.396901
KEY,2025-06-30 14:00:00+00:00,17.405,17.405,17.4,17.4,869.0,10.0,17.404375
KEY,2025-06-30 14:01:00+00:00,17.395,17.405,17.39,17.39,3072.0,11.0,17.39326
KEY,2025-06-30 14:02:00+00:00,17.405,17.415,17.405,17.415,2567.0,10.0,17.406849
KEY,2025-06-30 14:03:00+00:00,17.385,17.385,17.385,17.385,126.0,2.0,17.385
KEY,2025-06-30 14:05:00+00:00,17.395,17.395,17.38,17.38,3151.0,10.0,17.385
KEY,2025-06-30 14:06:00+00:00,17.365,17.375,17.365,17.375,776.0,6.0,17.366429
KEY,2025-06-30 14:07:00+00:00,17.38,17.385,17.37,17.37,1550.0,8.0,17.381664
KEY,2025-06-30 14:10:00+00:00,17.36,17.36,17.36,17.36,877.0,7.0,17.36
