symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KMB,2025-06-30 13:30:00+00:00,127.7,127.7,127.7,127.7,198.0,4.0,127.7
KMB,2025-06-30 13:32:00+00:00,127.925,127.925,127.925,127.925,200.0,1.0,127.925
KMB,2025-06-30 13:35:00+00:00,127.93,128.02,127.93,128.02,425.0,4.0,127.975
KMB,2025-06-30 13:39:00+00:00,128.235,128.235,128.235,128.235,100.0,1.0,128.235
KMB,2025-06-30 13:40:00+00:00,128.235,128.235,128.235,128.235,100.0,1.0,128.235
KMB,2025-06-30 13:45:00+00:00,128.105,128.105,128.105,128.105,106.0,3.0,128.105
KMB,2025-06-30 13:46:00+00:00,128.04,128.04,128.04,128.04,100.0,1.0,128.04
KMB,2025-06-30 13:48:00+00:00,128.02,128.03,128.0,128.02,401.0,5.0,128.0175
KMB,2025-06-30 13:49:00+00:00,127.935,127.935,127.935,127.935,250.0,3.0,127.935
KMB,2025-06-30 13:50:00+00:00,127.89,127.89,127.89,127.89,122.0,2.0,127.89
KMB,2025-06-30 13:51:00+00:00,127.82,127.825,127.82,127.825,901.0,10.0,127.820625
KMB,2025-06-30 13:53:00+00:00,128.025,128.025,128.025,128.025,424.0,5.0,128.025
KMB,2025-06-30 13:55:00+00:00,128.04,128.04,128.04,128.04,204.0,3.0,128.04
KMB,2025-06-30 13:56:00+00:00,128.0,128.01,128.0,128.01,369.0,4.0,128.005587
KMB,2025-06-30 14:01:00+00:00,127.84,127.84,127.8,127.8,1296.0,17.0,127.824146
KMB,2025-06-30 14:03:00+00:00,127.87,127.87,127.87,127.87,207.0,2.0,127.87
KMB,2025-06-30 14:06:00+00:00,128.145,128.145,128.145,128.145,578.0,12.0,128.145
KMB,2025-06-30 14:11:00+00:00,128.27,128.27,128.27,128.27,535.0,3.0,128.27
KMB,2025-06-30 14:15:00+00:00,128.215,128.215,128.215,128.215,800.0,4.0,128.215
KMB,2025-06-30 14:20:00+00:00,128.245,128.245,128.23,128.23,664.0,8.0,128.242
KMB,2025-06-30 14:21:00+00:00,128.19,128.19,128.19,128.19,411.0,7.0,128.19
KMB,2025-06-30 14:23:00+00:00,128.24,128.28,128.24,128.28,313.0,13.0,128.26
KMB,2025-06-30 14:26:00+00:00,128.23,128.23,128.23,128.23,100.0,1.0,128.23
KMB,2025-06-30 14:31:00+00:00,128.08,128.08,128.08,128.08,302.0,3.0,128.08
KMB,2025-06-30 14:38:00+00:00,128.0,128.04,128.0,128.04,721.0,10.0,128.024
KMB,2025-06-30 14:43:00+00:00,127.93,127.93,127.93,127.93,425.0,6.0,127.93
KMB,2025-06-30 14:49:00+00:00,127.95,127.99,127.95,127.99,332.0,4.0,127.963333
KMB,2025-06-30 14:50:00+00:00,127.99,127.99,127.99,127.99,520.0,6.0,127.99
KMB,2025-06-30 14:55:00+00:00,128.045,128.045,128.045,128.045,205.0,3.0,128.045
KMB,2025-06-30 14:56:00+00:00,128.035,128.035,128.035,128.035,200.0,2.0,128.035
KMB,2025-06-30 14:57:00+00:00,128.125,128.125,128.125,128.125,227.0,3.0,128.125
KMB,2025-06-30 15:00:00+00:00,128.15,128.2,128.15,128.2,643.0,11.0,128.165
KMB,2025-06-30 15:01:00+00:00,128.28,128.345,128.28,128.345,960.0,11.0,128.314375
KMB,2025-06-30 15:04:00+00:00,128.39,128.39,128.39,128.39,165.0,3.0,128.39
KMB,2025-06-30 15:10:00+00:00,128.58,128.58,128.58,128.58,108.0,2.0,128.58
KMB,2025-06-30 15:11:00+00:00,128.52,128.52,128.48,128.48,323.0,7.0,128.5
KMB,2025-06-30 15:12:00+00:00,128.5,128.5,128.5,128.5,166.0,3.0,128.5
KMB,2025-06-30 15:18:00+00:00,128.415,128.415,128.41,128.41,456.0,8.0,128.412604
KMB,2025-06-30 15:20:00+00:00,128.325,128.36,128.32,128.36,604.0,7.0,128.3275
KMB,2025-06-30 15:23:00+00:00,128.4,128.4,128.4,128.4,144.0,2.0,128.4
KMB,2025-06-30 15:33:00+00:00,128.45,128.45,128.45,128.45,100.0,1.0,128.45
KMB,2025-06-30 15:34:00+00:00,128.33,128.33,128.33,128.33,142.0,6.0,128.33
KMB,2025-06-30 15:35:00+00:00,128.38,128.38,128.38,128.38,292.0,5.0,128.38
KMB,2025-06-30 15:37:00+00:00,128.42,128.42,128.42,128.42,100.0,1.0,128.42
KMB,2025-06-30 15:39:00+00:00,128.465,128.465,128.45,128.45,300.0,3.0,128.455
KMB,2025-06-30 15:42:00+00:00,128.43,128.43,128.425,128.425,200.0,2.0,128.4275
KMB,2025-06-30 15:43:00+00:00,128.4,128.4,128.4,128.4,190.0,4.0,128.4
KMB,2025-06-30 15:46:00+00:00,128.31,128.31,128.31,128.31,140.0,2.0,128.31
KMB,2025-06-30 15:47:00+00:00,128.34,128.34,128.31,128.31,300.0,3.0,128.32
KMB,2025-06-30 15:52:00+00:00,128.145,128.145,128.105,128.105,1600.0,8.0,128.115
