symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LMT,2025-06-30 13:32:00+00:00,459.46,459.46,459.46,459.46,100.0,1.0,459.46
LMT,2025-06-30 13:40:00+00:00,459.19,459.205,459.19,459.205,250.0,3.0,459.1975
LMT,2025-06-30 13:47:00+00:00,458.7,458.7,458.7,458.7,207.0,6.0,458.7
LMT,2025-06-30 13:56:00+00:00,458.51,458.51,458.51,458.51,322.0,8.0,458.51
LMT,2025-06-30 14:00:00+00:00,457.875,457.875,457.875,457.875,297.0,9.0,457.875
LMT,2025-06-30 14:03:00+00:00,458.95,458.95,458.95,458.95,444.0,10.0,458.95
LMT,2025-06-30 14:10:00+00:00,459.24,459.24,459.24,459.24,162.0,7.0,459.24
LMT,2025-06-30 14:14:00+00:00,458.77,458.77,458.77,458.77,100.0,1.0,458.77
LMT,2025-06-30 14:15:00+00:00,458.72,458.72,458.72,458.72,288.0,7.0,458.72
LMT,2025-06-30 14:17:00+00:00,459.395,459.395,459.395,459.395,204.0,8.0,459.395
LMT,2025-06-30 14:20:00+00:00,459.2,459.2,459.15,459.15,219.0,4.0,459.175
LMT,2025-06-30 14:30:00+00:00,459.75,459.75,459.75,459.75,478.0,18.0,459.75
LMT,2025-06-30 14:38:00+00:00,459.95,459.95,459.95,459.95,110.0,2.0,459.95
LMT,2025-06-30 14:53:00+00:00,459.85,459.85,459.85,459.85,108.0,3.0,459.85
LMT,2025-06-30 15:09:00+00:00,461.715,461.715,461.715,461.715,191.0,5.0,461.715
LMT,2025-06-30 15:12:00+00:00,461.69,461.69,461.69,461.69,110.0,2.0,461.69
LMT,2025-06-30 15:16:00+00:00,461.81,461.81,461.81,461.81,105.0,4.0,461.81
LMT,2025-06-30 15:17:00+00:00,461.795,461.795,461.795,461.795,139.0,7.0,461.795
LMT,2025-06-30 15:21:00+00:00,461.68,461.68,461.68,461.68,110.0,4.0,461.68
LMT,2025-06-30 15:43:00+00:00,461.41,461.46,461.41,461.46,418.0,10.0,461.426667
LMT,2025-06-30 15:58:00+00:00,460.76,460.76,460.76,460.76,492.0,18.0,460.76
LMT,2025-06-30 16:04:00+00:00,460.965,460.965,460.965,460.965,177.0,6.0,460.965
LMT,2025-06-30 16:06:00+00:00,461.57,461.57,461.57,461.57,173.0,3.0,461.57
LMT,2025-06-30 16:09:00+00:00,461.39,461.39,461.39,461.39,200.0,2.0,461.39
LMT,2025-06-30 16:13:00+00:00,461.38,461.38,461.38,461.38,156.0,8.0,461.38
LMT,2025-06-30 16:21:00+00:00,461.23,461.23,461.23,461.23,227.0,7.0,461.23
LMT,2025-06-30 16:30:00+00:00,461.61,461.61,461.61,461.61,110.0,2.0,461.61
LMT,2025-06-30 16:38:00+00:00,462.305,462.305,462.305,462.305,159.0,5.0,462.305
LMT,2025-06-30 17:09:00+00:00,462.01,462.01,462.01,462.01,202.0,6.0,462.01
LMT,2025-06-30 17:10:00+00:00,461.94,461.94,461.94,461.94,278.0,12.0,461.94
LMT,2025-06-30 17:20:00+00:00,462.26,462.26,462.26,462.26,262.0,5.0,462.26
LMT,2025-06-30 17:29:00+00:00,462.45,462.45,462.45,462.45,175.0,4.0,462.45
LMT,2025-06-30 17:33:00+00:00,462.62,462.62,462.62,462.62,112.0,5.0,462.62
LMT,2025-06-30 17:39:00+00:00,462.165,462.165,462.165,462.165,123.0,4.0,462.165
LMT,2025-06-30 17:40:00+00:00,462.14,462.14,462.12,462.12,218.0,8.0,462.13
LMT,2025-06-30 17:41:00+00:00,462.185,462.185,462.185,462.185,126.0,5.0,462.185
LMT,2025-06-30 17:42:00+00:00,462.15,462.15,462.15,462.15,222.0,5.0,462.15
LMT,2025-06-30 17:44:00+00:00,462.08,462.08,462.08,462.08,210.0,3.0,462.08
LMT,2025-06-30 17:45:00+00:00,462.0,462.0,462.0,462.0,134.0,5.0,462.0
LMT,2025-06-30 17:47:00+00:00,461.82,461.82,461.82,461.82,113.0,3.0,461.82
LMT,2025-06-30 17:52:00+00:00,461.54,461.56,461.54,461.55,347.0,7.0,461.55
LMT,2025-06-30 17:54:00+00:00,461.54,461.54,461.54,461.54,187.0,11.0,461.54
