symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MDT,2025-06-30 13:30:00+00:00,86.275,86.35,86.23,86.35,1437.0,37.0,86.277015
MDT,2025-06-30 13:31:00+00:00,86.38,86.38,86.36,86.36,1151.0,16.0,86.36625
MDT,2025-06-30 13:32:00+00:00,86.65,86.81,86.65,86.81,1026.0,17.0,86.772857
MDT,2025-06-30 13:33:00+00:00,86.815,86.87,86.74,86.87,878.0,22.0,86.815714
MDT,2025-06-30 13:34:00+00:00,86.895,87.07,86.89,87.07,2100.0,25.0,86.982643
MDT,2025-06-30 13:35:00+00:00,87.01,87.03,87.0,87.005,966.0,11.0,87.020625
MDT,2025-06-30 13:36:00+00:00,87.03,87.035,86.97,86.97,604.0,8.0,87.018776
MDT,2025-06-30 13:37:00+00:00,86.92,86.92,86.92,86.92,140.0,2.0,86.92
MDT,2025-06-30 13:38:00+00:00,86.94,86.95,86.81,86.83,517.0,9.0,86.8825
MDT,2025-06-30 13:39:00+00:00,86.94,87.04,86.93,87.04,1820.0,20.0,86.947333
MDT,2025-06-30 13:40:00+00:00,87.07,87.07,87.03,87.035,1000.0,11.0,87.058333
MDT,2025-06-30 13:41:00+00:00,87.11,87.11,87.1,87.1,701.0,9.0,87.105
MDT,2025-06-30 13:42:00+00:00,87.055,87.19,87.055,87.19,563.0,8.0,87.118
MDT,2025-06-30 13:44:00+00:00,87.255,87.255,87.215,87.215,300.0,3.0,87.241667
MDT,2025-06-30 13:45:00+00:00,87.24,87.25,87.055,87.065,1397.0,14.0,87.111967
MDT,2025-06-30 13:46:00+00:00,87.015,87.03,87.01,87.03,1211.0,7.0,87.015876
MDT,2025-06-30 13:47:00+00:00,87.02,87.11,87.02,87.11,320.0,4.0,87.051667
MDT,2025-06-30 13:49:00+00:00,87.09,87.155,87.09,87.1,1310.0,11.0,87.11153
MDT,2025-06-30 13:50:00+00:00,87.14,87.14,87.135,87.135,826.0,14.0,87.135776
MDT,2025-06-30 13:51:00+00:00,87.205,87.27,87.18,87.27,1758.0,21.0,87.22
MDT,2025-06-30 13:52:00+00:00,87.22,87.285,87.22,87.285,417.0,8.0,87.256667
MDT,2025-06-30 13:53:00+00:00,87.23,87.23,87.195,87.195,460.0,4.0,87.2125
MDT,2025-06-30 13:54:00+00:00,87.24,87.29,87.24,87.27,959.0,17.0,87.264286
MDT,2025-06-30 13:55:00+00:00,87.27,87.27,87.245,87.255,749.0,10.0,87.252
MDT,2025-06-30 13:56:00+00:00,87.26,87.3,87.215,87.3,761.0,12.0,87.256
MDT,2025-06-30 13:57:00+00:00,87.305,87.305,87.265,87.265,945.0,17.0,87.2775
MDT,2025-06-30 13:58:00+00:00,87.265,87.27,87.25,87.27,2826.0,15.0,87.253243
MDT,2025-06-30 13:59:00+00:00,87.21,87.22,87.21,87.22,942.0,14.0,87.218438
MDT,2025-06-30 14:00:00+00:00,87.18,87.18,87.145,87.145,850.0,15.0,87.169087
MDT,2025-06-30 14:01:00+00:00,87.19,87.23,87.175,87.23,1661.0,13.0,87.203929
