symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MPWR,2025-06-30 13:30:00+00:00,737.475,737.475,735.03,735.03,305.0,4.0,736.051667
MPWR,2025-06-30 13:31:00+00:00,734.54,734.54,734.54,734.54,119.0,5.0,734.54
MPWR,2025-06-30 13:33:00+00:00,732.35,732.35,730.55,730.55,200.0,2.0,731.45
MPWR,2025-06-30 13:38:00+00:00,732.84,732.84,732.84,732.84,101.0,2.0,732.84
MPWR,2025-06-30 13:41:00+00:00,734.01,734.01,734.01,734.01,100.0,1.0,734.01
MPWR,2025-06-30 13:56:00+00:00,734.97,734.97,734.97,734.97,100.0,1.0,734.97
MPWR,2025-06-30 14:03:00+00:00,736.27,736.27,736.14,736.14,257.0,9.0,736.205
MPWR,2025-06-30 14:13:00+00:00,737.88,737.88,737.88,737.88,109.0,2.0,737.88
MPWR,2025-06-30 14:14:00+00:00,737.67,737.81,737.67,737.81,217.0,3.0,737.74
MPWR,2025-06-30 14:21:00+00:00,734.4,734.4,734.4,734.4,215.0,7.0,734.4
MPWR,2025-06-30 14:30:00+00:00,736.06,736.06,735.89,735.89,318.0,5.0,736.003333
MPWR,2025-06-30 14:31:00+00:00,735.39,735.39,735.39,735.39,126.0,4.0,735.39
MPWR,2025-06-30 14:36:00+00:00,735.33,735.33,735.33,735.33,416.0,27.0,735.33
MPWR,2025-06-30 14:37:00+00:00,735.565,735.565,735.565,735.565,130.0,4.0,735.565
MPWR,2025-06-30 14:38:00+00:00,735.5,735.5,735.5,735.5,127.0,11.0,735.5
MPWR,2025-06-30 14:50:00+00:00,735.1,735.1,733.055,733.805,613.0,19.0,734.237
MPWR,2025-06-30 14:58:00+00:00,731.035,731.035,731.035,731.035,135.0,5.0,731.035
MPWR,2025-06-30 15:00:00+00:00,731.27,731.27,731.27,731.27,140.0,4.0,731.27
MPWR,2025-06-30 15:01:00+00:00,731.165,731.165,731.165,731.165,166.0,8.0,731.165
MPWR,2025-06-30 15:03:00+00:00,730.755,730.755,730.755,730.755,125.0,2.0,730.755
MPWR,2025-06-30 15:05:00+00:00,732.51,732.51,731.95,731.95,303.0,9.0,732.23
MPWR,2025-06-30 15:14:00+00:00,733.22,733.22,733.22,733.22,100.0,1.0,733.22
MPWR,2025-06-30 15:18:00+00:00,731.41,731.535,731.41,731.535,238.0,6.0,731.4725
MPWR,2025-06-30 15:20:00+00:00,731.98,731.98,731.98,731.98,191.0,8.0,731.98
MPWR,2025-06-30 15:35:00+00:00,734.14,734.14,734.14,734.14,101.0,2.0,734.14
MPWR,2025-06-30 15:48:00+00:00,739.825,739.825,739.825,739.825,200.0,3.0,739.825
MPWR,2025-06-30 15:54:00+00:00,740.505,740.75,740.505,740.75,217.0,10.0,740.6275
MPWR,2025-06-30 15:59:00+00:00,739.905,739.905,739.65,739.65,219.0,4.0,739.7775
MPWR,2025-06-30 16:05:00+00:00,739.64,739.64,739.38,739.445,620.0,9.0,739.471
MPWR,2025-06-30 16:06:00+00:00,739.34,739.34,739.34,739.34,449.0,18.0,739.34
MPWR,2025-06-30 16:12:00+00:00,740.23,740.23,740.23,740.23,215.0,4.0,740.23
MPWR,2025-06-30 16:13:00+00:00,739.72,739.72,739.72,739.72,161.0,3.0,739.72
MPWR,2025-06-30 16:14:00+00:00,740.21,740.21,740.21,740.21,320.0,13.0,740.21
MPWR,2025-06-30 16:17:00+00:00,738.07,738.07,738.07,738.07,210.0,6.0,738.07
MPWR,2025-06-30 16:23:00+00:00,735.5,735.5,735.5,735.5,100.0,1.0,735.5
MPWR,2025-06-30 16:36:00+00:00,736.43,736.43,736.43,736.43,101.0,2.0,736.43
MPWR,2025-06-30 16:44:00+00:00,736.75,736.79,736.75,736.79,315.0,10.0,736.77
MPWR,2025-06-30 18:49:00+00:00,729.48,729.48,729.48,729.48,180.0,6.0,729.48
MPWR,2025-06-30 18:50:00+00:00,728.42,728.42,728.42,728.42,504.0,11.0,728.42
MPWR,2025-06-30 19:21:00+00:00,732.05,732.05,732.05,732.05,209.0,7.0,732.05
MPWR,2025-06-30 19:26:00+00:00,734.32,734.32,734.32,734.32,103.0,3.0,734.32
MPWR,2025-06-30 19:32:00+00:00,733.085,733.085,733.085,733.085,100.0,1.0,733.085
MPWR,2025-06-30 19:45:00+00:00,734.66,734.66,734.66,734.66,277.0,6.0,734.66
MPWR,2025-06-30 19:47:00+00:00,735.035,735.035,735.035,735.035,122.0,4.0,735.035
MPWR,2025-06-30 19:51:00+00:00,734.605,734.605,734.605,734.605,114.0,2.0,734.605
MPWR,2025-06-30 19:52:00+00:00,734.885,734.885,734.885,734.885,233.0,7.0,734.885
MPWR,2025-06-30 19:53:00+00:00,734.55,734.55,734.205,734.205,200.0,2.0,734.3775
MPWR,2025-06-30 19:54:00+00:00,734.47,734.47,734.47,734.47,132.0,5.0,734.47
MPWR,2025-06-30 19:55:00+00:00,733.815,733.815,733.815,733.815,181.0,16.0,733.815
MPWR,2025-06-30 19:58:00+00:00,733.69,733.69,733.29,733.29,337.0,14.0,733.49
MPWR,2025-06-30 19:59:00+00:00,732.06,732.06,731.24,731.24,589.0,30.0,731.583333
MPWR,2025-07-01 13:53:00+00:00,734.4,734.4,734.4,734.4,385.0,10.0,734.4
MPWR,2025-07-01 13:58:00+00:00,731.99,731.99,731.99,731.99,138.0,7.0,731.99
MPWR,2025-07-01 14:00:00+00:00,733.84,733.84,733.84,733.84,340.0,7.0,733.84
MPWR,2025-07-01 14:10:00+00:00,734.145,734.145,734.145,734.145,360.0,13.0,734.145
MPWR,2025-07-01 14:11:00+00:00,734.99,734.99,734.99,734.99,268.0,7.0,734.99
MPWR,2025-07-01 14:28:00+00:00,728.61,728.61,728.61,728.61,170.0,4.0,728.61
MPWR,2025-07-01 14:43:00+00:00,725.34,725.43,725.34,725.43,473.0,15.0,725.385
MPWR,2025-07-01 14:46:00+00:00,726.81,726.95,726.81,726.95,215.0,4.0,726.88
MPWR,2025-07-01 14:47:00+00:00,726.95,726.95,726.95,726.95,321.0,5.0,726.95
MPWR,2025-07-01 14:48:00+00:00,726.95,726.95,726.95,726.95,227.0,6.0,726.95
MPWR,2025-07-01 15:05:00+00:00,728.84,728.84,728.555,728.555,416.0,12.0,728.652603
MPWR,2025-07-01 15:08:00+00:00,727.0,727.0,725.0,725.0,846.0,21.0,726.111111
MPWR,2025-07-01 15:40:00+00:00,733.435,733.435,733.435,733.435,148.0,4.0,733.435
MPWR,2025-07-01 15:45:00+00:00,734.94,734.94,734.93,734.93,254.0,10.0,734.935
MPWR,2025-07-01 15:53:00+00:00,739.995,739.995,739.995,739.995,296.0,10.0,739.995
MPWR,2025-07-01 15:56:00+00:00,738.19,738.19,738.19,738.19,234.0,7.0,738.19
MPWR,2025-07-01 15:57:00+00:00,737.885,737.885,737.885,737.885,141.0,3.0,737.885
MPWR,2025-07-01 16:11:00+00:00,740.34,740.42,740.34,740.42,310.0,4.0,740.393333
MPWR,2025-07-01 16:17:00+00:00,742.92,742.92,742.92,742.92,147.0,10.0,742.92
MPWR,2025-07-01 16:18:00+00:00,742.915,742.915,742.915,742.915,241.0,7.0,742.915
MPWR,2025-07-01 16:22:00+00:00,742.39,743.02,742.39,743.02,210.0,3.0,742.705
MPWR,2025-07-01 16:24:00+00:00,743.01,743.01,743.01,743.01,110.0,2.0,743.01
MPWR,2025-07-01 16:36:00+00:00,749.41,749.675,749.41,749.675,587.0,27.0,749.544458
MPWR,2025-07-01 16:44:00+00:00,745.12,745.12,743.59,743.59,328.0,11.0,744.355
MPWR,2025-07-01 16:47:00+00:00,743.19,743.19,743.19,743.19,105.0,2.0,743.19
MPWR,2025-07-01 16:57:00+00:00,744.26,744.26,743.605,744.095,909.0,14.0,743.845847
MPWR,2025-07-01 17:06:00+00:00,747.995,747.995,747.995,747.995,301.0,7.0,747.995
MPWR,2025-07-01 17:31:00+00:00,748.64,748.64,748.64,748.64,121.0,5.0,748.64
MPWR,2025-07-01 17:54:00+00:00,754.02,754.02,754.02,754.02,361.0,17.0,754.02
MPWR,2025-07-01 17:58:00+00:00,751.885,752.015,751.885,752.015,369.0,4.0,751.941346
MPWR,2025-07-01 18:10:00+00:00,755.485,755.485,755.485,755.485,342.0,24.0,755.485
MPWR,2025-07-01 18:11:00+00:00,755.23,755.23,755.23,755.23,102.0,3.0,755.23
MPWR,2025-07-01 18:14:00+00:00,755.07,755.24,755.07,755.24,773.0,21.0,755.127706
MPWR,2025-07-01 18:18:00+00:00,755.09,755.09,755.09,755.09,180.0,14.0,755.09
MPWR,2025-07-01 18:20:00+00:00,755.37,755.37,755.37,755.37,203.0,6.0,755.37
MPWR,2025-07-01 18:26:00+00:00,752.695,752.695,752.695,752.695,201.0,7.0,752.695
MPWR,2025-07-01 18:28:00+00:00,753.06,753.06,753.06,753.06,145.0,7.0,753.06
MPWR,2025-07-01 18:35:00+00:00,752.92,753.11,752.92,753.11,372.0,12.0,753.015
MPWR,2025-07-01 18:54:00+00:00,752.045,752.045,752.045,752.045,218.0,6.0,752.045
MPWR,2025-07-01 19:03:00+00:00,746.28,746.28,746.28,746.28,142.0,7.0,746.28
MPWR,2025-07-01 19:06:00+00:00,748.77,748.77,748.77,748.77,304.0,18.0,748.77
MPWR,2025-07-01 19:45:00+00:00,748.23,748.23,748.23,748.23,259.0,14.0,748.23
MPWR,2025-07-01 19:55:00+00:00,746.85,746.85,746.59,746.59,946.0,24.0,746.786
MPWR,2025-07-01 19:56:00+00:00,746.57,746.57,746.57,746.57,135.0,10.0,746.57
MPWR,2025-07-01 19:58:00+00:00,747.52,747.52,747.52,747.52,493.0,31.0,747.52
MPWR,2025-07-01 19:59:00+00:00,746.93,747.155,746.65,746.65,950.0,35.0,747.033333
MPWR,2025-07-02 13:34:00+00:00,746.53,746.53,746.53,746.53,100.0,1.0,746.53
MPWR,2025-07-02 13:48:00+00:00,752.205,752.205,752.205,752.205,197.0,8.0,752.205
MPWR,2025-07-02 13:55:00+00:00,748.715,748.715,748.715,748.715,253.0,5.0,748.715
MPWR,2025-07-02 14:12:00+00:00,752.75,752.75,752.75,752.75,172.0,6.0,752.75
MPWR,2025-07-02 14:17:00+00:00,749.875,749.875,749.875,749.875,155.0,4.0,749.875
MPWR,2025-07-02 14:30:00+00:00,755.56,755.56,755.56,755.56,106.0,3.0,755.56
MPWR,2025-07-02 14:42:00+00:00,756.535,756.6,756.535,756.6,410.0,12.0,756.569982
MPWR,2025-07-02 14:44:00+00:00,757.98,757.98,757.705,757.705,462.0,13.0,757.8425
MPWR,2025-07-02 14:45:00+00:00,757.71,757.71,757.71,757.71,104.0,2.0,757.71
MPWR,2025-07-02 14:51:00+00:00,761.62,761.62,760.93,760.93,329.0,10.0,761.275
MPWR,2025-07-02 14:52:00+00:00,757.99,757.99,757.9,757.9,205.0,5.0,757.945
MPWR,2025-07-02 14:53:00+00:00,758.485,758.485,758.485,758.485,226.0,5.0,758.485
MPWR,2025-07-02 15:03:00+00:00,758.21,758.21,758.21,758.21,125.0,5.0,758.21
MPWR,2025-07-02 15:05:00+00:00,759.935,759.935,759.935,759.935,115.0,3.0,759.935
MPWR,2025-07-02 15:06:00+00:00,760.35,760.35,760.35,760.35,279.0,15.0,760.35
MPWR,2025-07-02 15:09:00+00:00,762.13,762.13,761.2,761.41,426.0,7.0,761.58
MPWR,2025-07-02 15:17:00+00:00,759.945,759.945,759.945,759.945,113.0,4.0,759.945
MPWR,2025-07-02 15:21:00+00:00,759.0,759.16,759.0,759.16,323.0,7.0,759.08
MPWR,2025-07-02 15:24:00+00:00,759.6,759.6,759.6,759.6,244.0,9.0,759.6
MPWR,2025-07-02 15:30:00+00:00,759.26,759.26,759.26,759.26,132.0,5.0,759.26
MPWR,2025-07-02 15:34:00+00:00,759.52,759.52,759.52,759.52,142.0,4.0,759.52
MPWR,2025-07-02 15:37:00+00:00,760.74,760.74,760.74,760.74,552.0,27.0,760.74
MPWR,2025-07-02 15:40:00+00:00,760.065,760.065,760.065,760.065,104.0,2.0,760.065
MPWR,2025-07-02 16:06:00+00:00,759.03,759.03,758.745,758.745,456.0,10.0,758.8875
MPWR,2025-07-02 16:08:00+00:00,758.97,758.97,758.79,758.79,537.0,16.0,758.88
MPWR,2025-07-02 16:11:00+00:00,759.65,759.65,759.65,759.65,101.0,2.0,759.65
MPWR,2025-07-02 16:12:00+00:00,759.54,760.0,759.54,760.0,202.0,4.0,759.77
MPWR,2025-07-02 16:15:00+00:00,760.38,760.38,760.38,760.38,106.0,2.0,760.38
MPWR,2025-07-02 16:16:00+00:00,760.2,760.2,760.2,760.2,154.0,5.0,760.2
MPWR,2025-07-02 16:23:00+00:00,762.18,762.18,762.18,762.18,109.0,4.0,762.18
MPWR,2025-07-02 16:24:00+00:00,762.18,762.18,762.18,762.18,100.0,1.0,762.18
MPWR,2025-07-02 16:26:00+00:00,762.07,762.07,762.07,762.07,299.0,14.0,762.07
MPWR,2025-07-02 16:29:00+00:00,760.92,760.92,760.33,760.33,751.0,20.0,760.723333
MPWR,2025-07-02 16:41:00+00:00,763.61,763.61,763.55,763.55,228.0,6.0,763.58
MPWR,2025-07-02 16:44:00+00:00,763.77,763.95,763.77,763.95,310.0,12.0,763.86
MPWR,2025-07-02 16:57:00+00:00,764.15,764.15,764.15,764.15,223.0,18.0,764.15
MPWR,2025-07-02 17:06:00+00:00,764.35,764.35,764.35,764.35,148.0,7.0,764.35
MPWR,2025-07-02 17:13:00+00:00,763.235,763.235,763.235,763.235,155.0,10.0,763.235
MPWR,2025-07-02 17:22:00+00:00,762.92,762.92,762.92,762.92,237.0,8.0,762.92
MPWR,2025-07-02 17:33:00+00:00,764.31,764.31,764.31,764.31,138.0,8.0,764.31
MPWR,2025-07-02 17:37:00+00:00,764.86,764.86,764.86,764.86,480.0,16.0,764.86
MPWR,2025-07-02 17:57:00+00:00,768.98,768.98,768.98,768.98,443.0,13.0,768.98
MPWR,2025-07-02 17:58:00+00:00,768.875,768.875,768.875,768.875,222.0,9.0,768.875
MPWR,2025-07-02 18:00:00+00:00,768.01,768.01,768.01,768.01,438.0,17.0,768.01
MPWR,2025-07-02 18:05:00+00:00,766.92,766.92,766.92,766.92,203.0,6.0,766.92
MPWR,2025-07-02 18:12:00+00:00,768.275,768.275,768.275,768.275,200.0,3.0,768.275
MPWR,2025-07-02 18:24:00+00:00,769.11,769.11,769.11,769.11,140.0,4.0,769.11
MPWR,2025-07-02 18:26:00+00:00,768.075,768.075,768.075,768.075,302.0,11.0,768.075
MPWR,2025-07-02 18:33:00+00:00,769.41,769.41,769.41,769.41,160.0,4.0,769.41
MPWR,2025-07-02 18:44:00+00:00,766.49,766.49,766.49,766.49,145.0,3.0,766.49
MPWR,2025-07-02 18:46:00+00:00,764.865,764.865,764.865,764.865,357.0,10.0,764.865
MPWR,2025-07-02 19:01:00+00:00,763.06,763.97,763.06,763.97,520.0,18.0,763.493333
MPWR,2025-07-02 19:03:00+00:00,763.735,763.735,763.735,763.735,345.0,11.0,763.735
MPWR,2025-07-02 19:08:00+00:00,764.81,764.81,764.81,764.81,443.0,31.0,764.81
